"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.860791693070043,NA,0
"mouse_C57BL6",0.860791693070043,1,0,NA
