"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.47509031231948,NA,0
"mouse_C57BL6",0.47509031231948,1,0,NA
