"","PSID","Gene","Module"
"FP236383.3","FP236383.3","FP236383.3","turquoise"
"RPL10P9","RPL10P9","RPL10P9","yellow"
"RNU4-2","RNU4-2","RNU4-2","skyblue"
"PNMA6B","PNMA6B","PNMA6B","yellow"
"FP236383.1","FP236383.1","FP236383.1","turquoise"
"MAPK8IP1P2","MAPK8IP1P2","MAPK8IP1P2","green"
"F8A3","F8A3","F8A3","brown"
"MTRNR2L8","MTRNR2L8","MTRNR2L8","green"
"RNU4-1","RNU4-1","RNU4-1","skyblue"
"RNY1","RNY1","RNY1","turquoise"
"RPL13P12","RPL13P12","RPL13P12","green"
"RNU6-2","RNU6-2","RNU6-2","brown"
"MTRNR2L12","MTRNR2L12","MTRNR2L12","brown"
"AC073539.7","AC073539.7","AC073539.7","purple"
"HBB","HBB","HBB","darkgrey"
"IGKJ1","IGKJ1","IGKJ1","red"
"AC007922.3","AC007922.3","AC007922.3","brown"
"TRGJP2","TRGJP2","TRGJP2","purple"
"RMRP","RMRP","RMRP","turquoise"
"TRBJ2-1","TRBJ2-1","TRBJ2-1","magenta"
"IGHG1","IGHG1","IGHG1","green"
"SLPI","SLPI","SLPI","tan"
"AC005829.2","AC005829.2","AC005829.2","green"
"IGLC2","IGLC2","IGLC2","green"
"AL731566.2","AL731566.2","AL731566.2","magenta"
"RNU6-322P","RNU6-322P","RNU6-322P","turquoise"
"MIR320D1","MIR320D1","MIR320D1","tan"
"MT-TN","MT-TN","MT-TN","pink"
"RNU7-67P","RNU7-67P","RNU7-67P","grey60"
"S100A8","S100A8","S100A8","tan"
"HBA2","HBA2","HBA2","darkgrey"
"MT-TF","MT-TF","MT-TF","tan"
"MICF","MICF","MICF","blue"
"TRBJ2-7","TRBJ2-7","TRBJ2-7","blue"
"AF228730.4","AF228730.4","AF228730.4","turquoise"
"AL591926.5","AL591926.5","AL591926.5","greenyellow"
"TRBJ2-2P","TRBJ2-2P","TRBJ2-2P","purple"
"HLA-DRB5","HLA-DRB5","HLA-DRB5","red"
"FP671120.1","FP671120.1","FP671120.1","magenta"
"IGLC3","IGLC3","IGLC3","green"
"SNORD3A","SNORD3A","SNORD3A","green"
"TRBJ2-3","TRBJ2-3","TRBJ2-3","turquoise"
"RNA5SP243","RNA5SP243","RNA5SP243","tan"
"MIR4682","MIR4682","MIR4682","turquoise"
"RNF5P1","RNF5P1","RNF5P1","red"
"RNU6ATAC32P","RNU6ATAC32P","RNU6ATAC32P","purple"
"NPAS4","NPAS4","NPAS4","midnightblue"
"FP671120.4","FP671120.4","FP671120.4","turquoise"
"IGKV1-5","IGKV1-5","IGKV1-5","green"
"RNU7-141P","RNU7-141P","RNU7-141P","brown"
"AC126544.1","AC126544.1","AC126544.1","green"
"MIR4666A","MIR4666A","MIR4666A","lightyellow"
"RNU6-892P","RNU6-892P","RNU6-892P","greenyellow"
"AC093909.6","AC093909.6","AC093909.6","turquoise"
"RNU6-722P","RNU6-722P","RNU6-722P","turquoise"
"MIR3149","MIR3149","MIR3149","turquoise"
"DES","DES","DES","darkgrey"
"MIR4645","MIR4645","MIR4645","red"
"CARTPT","CARTPT","CARTPT","tan"
"SFN","SFN","SFN","midnightblue"
"RN7SL3","RN7SL3","RN7SL3","brown"
"CSF3","CSF3","CSF3","midnightblue"
"TRGJP1","TRGJP1","TRGJP1","blue"
"RNU6-45P","RNU6-45P","RNU6-45P","pink"
"MT1H","MT1H","MT1H","black"
"TRBJ2-4","TRBJ2-4","TRBJ2-4","blue"
"AC084121.3","AC084121.3","AC084121.3","pink"
"MIR4678","MIR4678","MIR4678","purple"
"RNU6-794P","RNU6-794P","RNU6-794P","salmon"
"MIR4482","MIR4482","MIR4482","midnightblue"
"HSPA7","HSPA7","HSPA7","midnightblue"
"RNU6-483P","RNU6-483P","RNU6-483P","yellow"
"CCL2","CCL2","CCL2","midnightblue"
"AC233266.2","AC233266.2","AC233266.2","pink"
"RNU6-1011P","RNU6-1011P","RNU6-1011P","turquoise"
"S100A9","S100A9","S100A9","tan"
"RNU6-1085P","RNU6-1085P","RNU6-1085P","magenta"
"AC008060.4","AC008060.4","AC008060.4","pink"
"RNA5SP18","RNA5SP18","RNA5SP18","yellow"
"CYP4F29P","CYP4F29P","CYP4F29P","darkred"
"RNU6-925P","RNU6-925P","RNU6-925P","magenta"
"AF246928.1","AF246928.1","AF246928.1","turquoise"
"HLA-DQB1","HLA-DQB1","HLA-DQB1","red"
"HBA1","HBA1","HBA1","darkgrey"
"AP001542.1","AP001542.1","AP001542.1","yellow"
"BCRP9","BCRP9","BCRP9","purple"
"CHI3L1","CHI3L1","CHI3L1","turquoise"
"RNA5SP508","RNA5SP508","RNA5SP508","yellow"
"RNU6ATAC","RNU6ATAC","RNU6ATAC","skyblue"
"RNU6-703P","RNU6-703P","RNU6-703P","lightcyan"
"RNU7-160P","RNU7-160P","RNU7-160P","blue"
"MIR138-2","MIR138-2","MIR138-2","cyan"
"RNU5B-2P","RNU5B-2P","RNU5B-2P","cyan"
"RNU6-510P","RNU6-510P","RNU6-510P","tan"
"AC015726.2","AC015726.2","AC015726.2","orange"
"AL021997.1","AL021997.1","AL021997.1","yellow"
"IGLV3-19","IGLV3-19","IGLV3-19","green"
"RN7SL471P","RN7SL471P","RN7SL471P","brown"
"RNU6-325P","RNU6-325P","RNU6-325P","yellow"
"RNU4-39P","RNU4-39P","RNU4-39P","black"
"AC097493.4","AC097493.4","AC097493.4","magenta"
"MIR621","MIR621","MIR621","grey60"
"AC127455.1","AC127455.1","AC127455.1","blue"
"CR392039.2","CR392039.2","CR392039.2","blue"
"AL158151.4","AL158151.4","AL158151.4","grey60"
"AC024257.2","AC024257.2","AC024257.2","turquoise"
"RNA5SP490","RNA5SP490","RNA5SP490","pink"
"FOS","FOS","FOS","midnightblue"
"CCL19","CCL19","CCL19","darkgrey"
"MIR548AY","MIR548AY","MIR548AY","tan"
"MTCO1P40","MTCO1P40","MTCO1P40","midnightblue"
"MIR4521","MIR4521","MIR4521","magenta"
"RNVU1-19","RNVU1-19","RNVU1-19","brown"
"SOCS3","SOCS3","SOCS3","midnightblue"
"IGKV4-1","IGKV4-1","IGKV4-1","green"
"RPL39P38","RPL39P38","RPL39P38","blue"
