"","black","blue","brown","cyan","darkgreen","darkgrey","darkorange","darkred","darkturquoise","green","greenyellow","grey","grey60","lightcyan","lightgreen","lightyellow","magenta","midnightblue","orange","pink","purple","red","royalblue","salmon","skyblue","tan","turquoise","white","yellow"
"1","GJA1","PSMD10P3","RPS21","SYT4","LINC01549","TAGLN","MX1","SNORA75B","RNU7-182P","IGHV1-18","KRT18P52","DHFRP2","RNU6-563P","SLC8A1","CLEC14A","LINC01107","ST6GALNAC3","SERPINH1","RN7SL415P","NKX6-2","RNU6-205P","ITGB2","PPIAP82","MTCYBP2","OR10K1","SIX2","PSMD2","DLK1","FAM216B"
"2","FGFR3","AL117329.1","RPS15","TMEM130","SYNJ2","CNN1","RSAD2","MIR888","OR1A2","IGHV5-51","FAM161A","AL356292.1","CYP4A43P","FGF14","ACVRL1","AC005697.1","WWOX","DNAJB1","RPS16P9","MOG","LRRC37A9P","NCKAP1L","ATP5MFP5","ARSEP1","OR1A1","FOXD2","DCTN2","OTP","CFAP73"
"3","MYORG","POU6F2","RPL23","ST8SIA3","SEC14L5","AOC3","PARP14","RNU4-58P","CSHL1","IGLV3-21","SH3YL1","AC079341.1","RNU6-340P","KCND2","ESAM","AC021231.1","CRADD","HSPH1","AC012493.2","MAG","AC015849.5","MYO1F","AL121950.1","ANOS2P","AL365204.2","SIX1","DDX23","SOX14","DYDC2"
"4","SLC15A2","AP003555.1","RPL8","L1CAM","B3GAT1","MYH11","STAT1","AC092436.3","RPEP2","IGHV3-43","AC011474.1","LYPD8","AL021939.1","NEGR1","PODXL","ANP32AP1","AC091948.1","CCDC194","AL772337.2","CARNS1","CLDN19","INPP5D","RPL15P20","ZFY","AP000542.2","OLFML2A","SUPT16H","FEZF1","TEKT1"
"5","GABRG1","HHAT","RPL13A","SYNGR3","PICSAR","ACTG2","GBP5","RN7SL649P","GMCL2","IGLV3-25","SHANK2","KRT18P58","AC245291.1","NLGN1","PECAM1","LINC00596","AC114763.1","DNAJA4","AL020991.1","ENPP2","MUC12","APBB1IP","Z95114.4","GYG2P1","LINC01427","TSKU","HDLBP","HMX3","ROPN1L"
"6","SALL3","TMEM132D","UQCRB","PACSIN1","ROGDI","FLNA","NLRC5","CALM2P1","AC005785.1","IGLC6","LINC02346","GALE","MTND1P4","MIR99AHG","LSR","DPH6","TPD52","HSPD1","RPP40P1","SLC45A3","AC015688.5","SYK","NIFKP4","CCBE1","AC087473.1","STRA6","XRCC6","LHX5-AS1","CFAP43"
"7","AMOT","Z82190.2","RPL27","SLC12A5","RAPGEF5","TGFB1I1","IFIH1","MTCYBP45","FTLP5","IGHD1-26","AL591885.1","AL136298.2","OR1D5","ZCCHC7","KANK3","NECTIN3-AS1","DENND1A","HSPA4L","AC112721.2","FA2H","LINC02071","CYFIP1","AC005005.4","AC004160.1","LINC02444","SPTLC3","VCP","C22orf42","CAPSL"
"8","GPAM","U91319.1","MRPL51","SULT4A1","PEX5L","FBLIM1","DDX60","VDAC1P12","AC092284.1","IGHV3-33","TMEM241","ARMC6","GPR32","SMYD3","ADGRF5","SUMF1","VTI1A","ZFAND2A","AC135012.2","FOLH1","LINC00520","CD86","AL158154.2","AC080079.1","OR5AS1","BMP5","DDX1","HMX2","C11orf88"
"9","MYO10","AP003555.3","FAU","CARMIL2","KANK4","CALD1","EPSTI1","OR7E10P","SNX19P3","MIR4507","LINC00620","KLHL8","RBMX2P5","ZFPM2","MYCT1","CXXC4-AS1","RAD51B","TRIM26","AC112721.1","PHLDB1","AL355773.1","LY86","OR10G3","AC104852.1","TMEM212","AFAP1L1","EIF3B","AC007159.1","STOML3"
"10","ATP13A4","AC009365.1","COX4I1","DNM1","MBOAT1","CASQ2","DDX60L","AP003721.2","NF1P10","AC141272.1","LINC01776","AC090568.2","AC026202.1","MBD5","ETS1","NAALADL2","C15orf41","USPL1","LINC01804","PLLP","LINC01588","TBXAS1","AC093426.1","SAMD3","HELLPAR","AP003385.4","USP7","SHISAL2B","AK7"
