"","Var1","Freq"
"1","black",1177
"2","blue",1850
"3","brown",1690
"4","cyan",669
"5","darkgreen",247
"6","darkgrey",224
"7","darkorange",200
"8","darkred",276
"9","darkturquoise",229
"10","green",1638
"11","greenyellow",875
"12","grey",2
"13","grey60",384
"14","lightcyan",424
"15","lightgreen",314
"16","lightyellow",298
"17","magenta",1112
"18","midnightblue",581
"19","orange",224
"20","pink",1115
"21","purple",956
"22","red",1586
"23","royalblue",294
"24","salmon",714
"25","skyblue",105
"26","tan",812
"27","turquoise",3240
"28","white",186
"29","yellow",1668
