"","black","blue","brown","cyan","darkgreen","darkgrey","darkorange","darkred","darkturquoise","green","greenyellow","grey","grey60","lightcyan","lightgreen","lightyellow","magenta","midnightblue","orange","pink","purple","red","royalblue","salmon","skyblue","tan","turquoise","white","yellow"
"1","SLC15A2","AP003555.3","MRPL51","DNM1","KANK4","CNN1","IFIH1","SNORA75B","RPEP2","IGLC6","LINC02346","DHFRP2","MTND1P4","KCND2","ESAM","LINC00596","CRADD","HSPD1","LINC01804","MOG","LINC02071","SYK","OR10G3","GYG2P1","OR1A1","SIX1","USP7","SOX14","ROPN1L"
"2","GPAM","TMEM132D","RPL8","ST8SIA3","B3GAT1","MYH11","DDX60L","AP003721.2","NF1P10","IGHV3-33","LINC00620","GALE","RNU6-563P","MIR99AHG","LSR","AC021231.1","WWOX","SERPINH1","AC135012.2","FA2H","AC015849.5","MYO1F","PPIAP82","CCBE1","LINC01427","FOXD2","DDX23","OTP","CAPSL"
"3","GJA1","AP003555.1","UQCRB","L1CAM","PICSAR","CALD1","NLRC5","RNU4-58P","SNX19P3","AC141272.1","LINC01776","KRT18P58","RBMX2P5","ZFPM2","ADGRF5","AC005697.1","VTI1A","DNAJB1","AL020991.1","ENPP2","AC015688.5","ITGB2","Z95114.4","AC080079.1","HELLPAR","AP003385.4","XRCC6","C22orf42","DYDC2"
"4","FGFR3","AL117329.1","RPS15","TMEM130","RAPGEF5","FLNA","EPSTI1","VDAC1P12","OR1A2","IGHV5-51","AL591885.1","AL356292.1","GPR32","FGF14","PODXL","NECTIN3-AS1","AC091948.1","DNAJA4","AC112721.2","MAG","AL355773.1","LY86","AC005005.4","ZFY","TMEM212","SIX2","HDLBP","HMX3","AK7"
"5","ATP13A4","PSMD10P3","RPL27","SLC12A5","MBOAT1","ACTG2","PARP14","AC092436.3","CSHL1","MIR4507","TMEM241","AC090568.2","OR1D5","NLGN1","PECAM1","LINC01107","ST6GALNAC3","ZFAND2A","AL772337.2","PLLP","LINC01588","CD86","RPL15P20","ARSEP1","OR10K1","BMP5","VCP","AC007159.1","TEKT1"
"6","MYO10","AC009365.1","RPL13A","CARMIL2","PEX5L","FBLIM1","DDX60","RN7SL649P","AC005785.1","IGHV3-43","KRT18P52","KLHL8","AL021939.1","MBD5","MYCT1","CXXC4-AS1","RAD51B","CCDC194","RN7SL415P","CARNS1","MUC12","TBXAS1","AL158154.2","AC104852.1","LINC02444","SPTLC3","DCTN2","LHX5-AS1","STOML3"
"7","MYORG","HHAT","FAU","SYT4","SYNJ2","AOC3","STAT1","MIR888","AC092284.1","IGHD1-26","AC011474.1","LYPD8","CYP4A43P","ZCCHC7","KANK3","NAALADL2","DENND1A","USPL1","AC012493.2","NKX6-2","RNU6-205P","NCKAP1L","AL121950.1","SAMD3","AP000542.2","STRA6","PSMD2","FEZF1","C11orf88"
"8","SALL3","U91319.1","COX4I1","PACSIN1","SEC14L5","TAGLN","MX1","CALM2P1","FTLP5","IGLV3-25","SH3YL1","AL136298.2","RNU6-340P","NEGR1","ETS1","ANP32AP1","AC114763.1","HSPA4L","RPS16P9","FOLH1","CLDN19","INPP5D","ATP5MFP5","AC004160.1","AL365204.2","AFAP1L1","SUPT16H","HMX2","CFAP43"
"9","AMOT","Z82190.2","RPS21","SULT4A1","ROGDI","CASQ2","RSAD2","OR7E10P","RNU7-182P","IGLV3-21","SHANK2","AC079341.1","AC026202.1","SLC8A1","ACVRL1","DPH6","C15orf41","HSPH1","AC112721.1","PHLDB1","LINC00520","APBB1IP","NIFKP4","ANOS2P","AC087473.1","TSKU","DDX1","DLK1","FAM216B"
"10","GABRG1","POU6F2","RPL23","SYNGR3","LINC01549","TGFB1I1","GBP5","MTCYBP45","GMCL2","IGHV1-18","FAM161A","ARMC6","AC245291.1","SMYD3","CLEC14A","SUMF1","TPD52","TRIM26","RPP40P1","SLC45A3","LRRC37A9P","CYFIP1","AC093426.1","MTCYBP2","OR5AS1","OLFML2A","EIF3B","SHISAL2B","CFAP73"
