"","HuAgeMSNDsplitRnaseq_04....PDbyCON_FC1.25__"
"1","CA12"
"2","CCNA1"
"3","CDH8"
"4","CDK5"
"5","DRD2"
"6","F12"
"7","FABP6"
"8","FGF13"
"9","FOXA1"
"10","GFRA1"
"11","LIN7B"
"12","MAD2L1"
"13","MLF1"
"14","NELL2"
"15","PCDH8"
"16","PCP4"
"17","PRKAR2B"
"18","RPE65"
"19","SFRP5"
"20","SLIT1"
"21","SOX11"
"22","TPBG"
"23","TSPAN13"
