"","HuAgeMSNDsplitRnaseq_03....HDbyCON_FC1.25__"
"1","ACP1"
"2","ALDH1A1"
"3","ARL4C"
"4","ATP2B1"
"5","ATP6AP2"
"6","CDK5R2"
"7","CIRBP"
"8","CNTN6"
"9","DLG1"
"10","DUSP4"
"11","EIF4A2"
"12","ENSA"
"13","GAPDH"
"14","GHITM"
"15","GRIK2"
"16","MUTYH"
"17","NDUFA4"
"18","NDUFA5"
"19","PEBP1"
"20","PGAM1"
"21","PRNP"
"22","PTPRR"
"23","RAN"
"24","SNCA"
"25","SPTBN1"
"26","SYT1"
"27","TOMM20"
"28","TRPC3"
"29","UBB"
"30","VGF"
"31","WSB2"
"32","YWHAZ"
