"","HuAgeMSNDsplitRnaseq_02....MSbyCON_FC1.25__"
"1","ADAMTS8"
"2","ADRA1B"
"3","CA4"
"4","CACNA1G"
"5","CDH12"
"6","CENPF"
"7","CIDEA"
"8","MEPE"
"9","MPL"
"10","MPPED1"
"11","MYH7B"
"12","NASP"
"13","PRSS16"
"14","PRTN3"
"15","RAB40B"
"16","RIT2"
"17","RPA3"
"18","SERPINI1"
"19","SFTPD"
"20","SLC30A3"
"21","STAT4"
"22","TAC3"
"23","TNNT2"
"24","VIP"
"25","YBX2"
