"","HuAgeMSNDsplitRnaseq_03....PDbyCON_FC1.25__"
"1","ADH5"
"2","ALDH1A1"
"3","CAPZA1"
"4","CNTN6"
"5","ENO2"
"6","FABP3"
"7","FRY"
"8","GFER"
"9","GHITM"
"10","GPX3"
"11","GTF2H5"
"12","ITGB1BP1"
"13","LDHA"
"14","NDFIP1"
"15","NDUFA5"
"16","PIAS2"
"17","PLD3"
"18","SNCA"
"19","STOML2"
"20","SYT1"
"21","UBE2N"
"22","UQCRB"
"23","UQCRH"
"24","VAPB"
