"","red....ADbyCON_FC1.25__"
"1","ALOX5AP"
"2","C1QA"
"3","C1QB"
"4","C3AR1"
"5","CASP1"
"6","CD163"
"7","CD180"
"8","CPVL"
"9","DOK1"
"10","EBI3"
"11","FCGR2A"
"12","GPSM3"
"13","IL10RA"
"14","IL1R2"
"15","LAT2"
"16","LCP1"
"17","LILRA2"
"18","MS4A6A"
"19","PYGL"
"20","RNASE2"
"21","SIPA1"
"22","SLC7A7"
"23","TLR8"
"24","TNFRSF10B"
"25","TNFRSF1B"
"26","TYROBP"
"27","VSIG4"
