"","HuAgeMSNDsplitRnaseq_14....HDbyCON_FC1.25__"
"1","ANK3"
"2","CDK5R1"
"3","CHGB"
"4","DKK3"
"5","DLG3"
"6","ENC1"
"7","GABRG2"
"8","GRIA1"
"9","NDRG4"
"10","NEFL"
"11","NRN1"
"12","OLFM1"
"13","RASGRP1"
"14","RGS4"
"15","SCG2"
"16","SCN3B"
"17","SEMA3E"
"18","SLN"
"19","SNCB"
"20","SST"
"21","STMN2"
"22","SYN2"
"23","UCHL1"
"24","YWHAH"
