"","HuAgeMSNDsplitRnaseq_08....HDbyCON_FC1.25__"
"1","ATP2B2"
"2","B4GALT6"
"3","BASP1"
"4","CAP2"
"5","CHN1"
"6","DYNC1I1"
"7","EDIL3"
"8","ELAVL2"
"9","FOLH1"
"10","GABRA1"
"11","GABRD"
"12","GALR1"
"13","GLRB"
"14","GNB5"
"15","LIG4"
"16","MBP"
"17","NEUROD6"
"18","PLP1"
"19","RTN1"
"20","SCN8A"
"21","SRD5A1"
"22","TSPAN7"
"23","VPS4B"
"24","VSNL1"
