"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"tan","ADbyCON_FC1.25__","User",2.06150068427526e-31
"pink","MSbyCON_FC1.25__","User",1.78625358551076e-14
"cyan","PDbyCON_FC1.25__","User",1.20437393560517e-13
"lightgreen","ADbyCON_FC1.25__","User",4.39207705499525e-06
"cyan","HDbyCON_FC1.25__","User",4.55297430285688e-06
"darkgrey","ADbyCON_FC1.25__","User",0.000230365102405763
"red","ADbyCON_FC1.25__","User",0.0185546337803767
"brown","HDbyCON_FC1.25__","User",0.0237513296711072
"pink","HDbyCON_FC1.25__","User",0.0253780036942804
"midnightblue","ADbyCON_FC1.25__","User",0.0290590154031785
