"","InputCategories","UserDefinedCategories","Type","NumOverlap","Pvalues","CorrectedPvalues"
"78","purple","HDbyCON_FC1.25__","User",3,0.995719845591385,1
"79","purple","MSbyCON_FC1.25__","User",5,0.98794877651194,1
"80","purple","PDbyCON_FC1.25__","User",2,0.999797267007086,1
"81","red","ADbyCON_FC1.25__","User",27,0.000165666373039078,0.0185546337803767
"82","red","HDbyCON_FC1.25__","User",6,0.998421188742533,1
"83","red","MSbyCON_FC1.25__","User",10,0.990513047605197,1
"84","red","PDbyCON_FC1.25__","User",3,0.999998164858779,1
"85","royalblue","ADbyCON_FC1.25__","User",0,1,1
"86","royalblue","HDbyCON_FC1.25__","User",0,1,1
"87","royalblue","MSbyCON_FC1.25__","User",1,0.968802076246578,1
"88","royalblue","PDbyCON_FC1.25__","User",1,0.964483909361987,1
"89","salmon","ADbyCON_FC1.25__","User",0,1,1
"90","salmon","HDbyCON_FC1.25__","User",2,0.993016537112924,1
"91","salmon","MSbyCON_FC1.25__","User",5,0.921656772613671,1
"92","salmon","PDbyCON_FC1.25__","User",6,0.815417990597511,1
"93","skyblue","ADbyCON_FC1.25__","User",0,1,1
"94","skyblue","HDbyCON_FC1.25__","User",0,1,1
"95","skyblue","MSbyCON_FC1.25__","User",0,1,1
"96","skyblue","PDbyCON_FC1.25__","User",0,1,1
"97","tan","ADbyCON_FC1.25__","User",53,1.84062561096005e-33,2.06150068427526e-31
"98","tan","HDbyCON_FC1.25__","User",8,0.532612069818375,1
"99","tan","MSbyCON_FC1.25__","User",18,0.00714233694897337,0.799941738285018
"100","tan","PDbyCON_FC1.25__","User",9,0.561903342194627,1
"101","turquoise","ADbyCON_FC1.25__","User",14,0.997794477986592,1
"102","turquoise","HDbyCON_FC1.25__","User",41,0.0434164809154121,1
"103","turquoise","MSbyCON_FC1.25__","User",27,0.980203745675607,1
"104","turquoise","PDbyCON_FC1.25__","User",51,0.00715467356784212,0.801323439598317
"105","white","ADbyCON_FC1.25__","User",0,1,1
"106","white","HDbyCON_FC1.25__","User",1,0.838065921103613,1
"107","white","MSbyCON_FC1.25__","User",4,0.172560472670366,1
"108","white","PDbyCON_FC1.25__","User",5,0.05896648636588,1
"109","yellow","ADbyCON_FC1.25__","User",4,0.999444474599597,1
"110","yellow","HDbyCON_FC1.25__","User",17,0.452740162915248,1
"111","yellow","MSbyCON_FC1.25__","User",18,0.666790035466352,1
"112","yellow","PDbyCON_FC1.25__","User",23,0.178409847962939,1
