"","meanx","meany","tvalue","FC","logFC","pvalue","Contrast","adj.P.Val"
"Gm13272",0,0.923282215648035,-2.2675656979833,Inf,Inf,0.0859585006825121,"monocytesBYo",0.232277990790181
"Gm17806",0,0.924431624452771,-1.48910748818026,Inf,Inf,0.210694503303992,"monocytesBYo",0.402729781976345
"Gm18701",0,0.725169067210001,-2.44170042473265,Inf,Inf,0.0710779940224153,"monocytesBYo",0.204987415168543
"Gm18921",0,1.37835244994751,-1.58659411737308,Inf,Inf,0.187792209526871,"monocytesBYo",0.370973037892934
"Gm20594",0,4.29452773613313,-1.61590104811029,Inf,Inf,0.181420122445455,"monocytesBYo",0.362955088520601
"Gm20878",0,0.675866867946754,-2.40591775230031,Inf,Inf,0.0738808114900765,"monocytesBYo",0.21080150409978
"Gm24225",0,22.2077127137541,-2.43370428596262,Inf,Inf,0.0716936897315841,"monocytesBYo",0.206252210394257
"Gm24623",0,8.95072944740958,-2.24468630510753,Inf,Inf,0.0881626893042476,"monocytesBYo",0.235302590840616
"Gm24830",0,0.90614267780347,-1.6285372366997,Inf,Inf,0.178742272522713,"monocytesBYo",0.359777572106267
"Gm24960",0,2.4255432636895,-1.61679835811972,Inf,Inf,0.181228597485299,"monocytesBYo",0.362790064344515
"Gm2564",0,0.720861681552685,-1.53501366081975,Inf,Inf,0.199573684663873,"monocytesBYo",0.388010249215121
"Gm25810",0,5.67614313386296,-1.62690108730857,Inf,Inf,0.17908667537403,"monocytesBYo",0.360208611628299
"Gm29474",0,3.90710267069129,-2.18171834563516,Inf,Inf,0.0945627280667933,"monocytesBYo",0.24466073999126
"Gm32858",0,4.48237227059932,-2.25187263162775,Inf,Inf,0.0874636086870051,"monocytesBYo",0.234286278204443
"Gm37616",0,0.467141877376946,-1.62672829934589,Inf,Inf,0.17912308682192,"monocytesBYo",0.360249095432849
"Gm42807",0,2.6339285214455,-1.46581533319664,Inf,Inf,0.21657553342848,"monocytesBYo",0.410073649951923
"Gm47029",0,1.53206594977553,-1.43686561025752,Inf,Inf,0.224116239666554,"monocytesBYo",0.420176478546034
"Gm47669",0,3.16821329159047,-1.63252818357045,Inf,Inf,0.177905082121111,"monocytesBYo",0.358930149284927
"Gm48440",0,1.2547409183748,-1.44764976847156,Inf,Inf,0.221276870855609,"monocytesBYo",0.416515631237866
"Mir466j",0,3.14245774040533,-1.61265913961823,Inf,Inf,0.182113839263267,"monocytesBYo",0.363980889513168
"Mir7671",0,12.2208070711028,-2.40016425852421,Inf,Inf,0.0743430814691992,"monocytesBYo",0.211890233360357
"Mir8110",0,5.16660258757178,-1.5909423167289,Inf,Inf,0.18683235468406,"monocytesBYo",0.369853157244166
"Rpl31-ps23",0,1.31003360342843,-1.63247766410397,Inf,Inf,0.177915654163473,"monocytesBYo",0.358930149284927
"Urad",0,2.84644173339613,-2.28449080937582,Inf,Inf,0.0843677270768493,"monocytesBYo",0.229917125661633
"mt-Th",0,421.511634389708,-1.62979713197907,Inf,Inf,0.178477539306996,"monocytesBYo",0.359506382781451
"mt-Tl1",0,1326.01810775668,-1.62658821562062,Inf,Inf,0.179152612187993,"monocytesBYo",0.360275723973727
"mt-Tl2",0,238.98962054239,-1.62168819194723,Inf,Inf,0.18018857823616,"monocytesBYo",0.36137357595128
"mt-Tr",0,256.298483832348,-1.62900933577552,Inf,Inf,0.178643025722477,"monocytesBYo",0.359610867283478
"mt-Tv",1.72942290299765,3173.89832672441,-1.50396320318072,1835.23551192887,10.8417494976433,0.206145296343331,"monocytesBYo",0.396845839801907
"mt-Ta",0.776127771868882,1325.48828381715,-1.56842047473479,1707.82225795816,10.737942118575,0.191340193578871,"monocytesBYo",0.376201484406804
