"","HuAgeMSNDsplit_02....HuAgeMSNDsplitRnaseq_08__"
"1","AQP1"
"2","C4BPA"
"3","CA2"
"4","CACNA1A"
"5","CD82"
"6","CHKB"
"7","CHST3"
"8","CXCL5"
"9","DGKG"
"10","F11R"
"11","GAB1"
"12","GALNT6"
"13","GDF9"
"14","GNRH1"
"15","KLF1"
"16","LAMP2"
"17","LEMD3"
"18","MAPK11"
"19","MFAP3"
"20","MLN"
"21","MPZ"
"22","NUDT4"
"23","PTGER1"
"24","RGS3"
"25","RYBP"
"26","SCRT1"
"27","SYPL1"
"28","TK1"
"29","TNFRSF25"
"30","XPO4"
"31","ZNF117"
"32","ZNF175"
"33","ZNF45"
