"","HuAgeMSNDsplit_05....HuAgeMSNDsplitRnaseq_06__"
"1","ABCD1"
"2","ADCY9"
"3","CAPN10"
"4","DVL2"
"5","EXOSC10"
"6","GSTM4"
"7","IDUA"
"8","ING4"
"9","ITGAX"
"10","METTL3"
"11","MYO9B"
"12","PHF20"
"13","POLG2"
"14","POMT1"
"15","PTDSS2"
"16","SCAMP2"
"17","SLC2A4"
"18","TEX264"
"19","TUBD1"
"20","UBTF"
"21","UPF3A"
"22","USP4"
"23","XRCC1"
"24","ZNF133"
"25","ZNF202"
"26","ZNF26"
