"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"HuAgeMSNDsplit_04","HuAgeMSNDsplitRnaseq_06__","User",2.08038231148239e-84
"HuAgeMSNDsplit_08","HuAgeMSNDsplitRnaseq_12__","User",1.22057077409928e-80
"HuAgeMSNDsplit_10","HuAgeMSNDsplitRnaseq_07__","User",3.59642079874583e-54
"HuAgeMSNDsplit_14","HuAgeMSNDsplitRnaseq_18__","User",3.00295588365887e-49
"HuAgeMSNDsplit_20","HuAgeMSNDsplitRnaseq_07__","User",2.46795630178343e-41
"HuAgeMSNDsplit_19","HuAgeMSNDsplitRnaseq_03__","User",1.22862813685107e-35
"HuAgeMSNDsplit_16","HuAgeMSNDsplitRnaseq_15__","User",6.35153296012743e-28
"HuAgeMSNDsplit_06","HuAgeMSNDsplitRnaseq_08__","User",1.29170315281223e-26
"HuAgeMSNDsplit_03","HuAgeMSNDsplitRnaseq_14__","User",4.99424451874417e-20
"HuAgeMSNDsplit_07","HuAgeMSNDsplitRnaseq_01__","User",1.40497725698862e-13
"HuAgeMSNDsplit_09","HuAgeMSNDsplitRnaseq_01__","User",6.49914369513087e-07
"HuAgeMSNDsplit_02","HuAgeMSNDsplitRnaseq_24__","User",1.70558944174041e-06
"HuAgeMSNDsplit_07","HuAgeMSNDsplitRnaseq_03__","User",1.23384782052019e-05
"HuAgeMSNDsplit_06","HuAgeMSNDsplitRnaseq_22__","User",1.41867019528861e-05
"HuAgeMSNDsplit_21","HuAgeMSNDsplitRnaseq_03__","User",3.83884046296334e-05
"HuAgeMSNDsplit_05","HuAgeMSNDsplitRnaseq_08__","User",0.0116799202904355
"HuAgeMSNDsplit_11","HuAgeMSNDsplitRnaseq_06__","User",0.0146413899475124
"HuAgeMSNDsplit_14","HuAgeMSNDsplitRnaseq_24__","User",0.0284968076164815
