"","myeoligoBYo","AveExpr","F","P.Value","adj.P.Val"
"Nkx2-9",1.87166954670012,0.178679019165816,103.887098449578,4.27745936515728e-11,9.46302335353745e-07
"Gm37774",1.38128185948388,0.0920854572989257,97.4085077063948,8.88781815377293e-11,9.83126005079593e-07
"Hoxd1",1.70882801803503,0.15411607158083,78.935682029283,8.99577655982078e-10,6.6337854944305e-06
"Atf1-ps",-2.55559432862518,2.41163700726761,73.1290145449203,2.02511984496466e-09,1.12004315825383e-05
"1110025M09Rik",-2.84297850216539,3.41222671008237,65.0437775164452,6.8027890385891e-09,3.00996203801413e-05
"Cyp2j12",2.94302775623367,0.439750469834919,57.8560870238769,2.19172486450014e-08,7.68723340189136e-05
"Map3k1",-3.02070904321009,2.95681498763698,57.2439851098147,2.43233891485059e-08,7.68723340189136e-05
"Gm12858",-4.03830848902625,2.07373563774076,55.7142250957247,3.16617366095052e-08,8.75565748765104e-05
"Klk6",4.90877864276607,0.61031643956591,54.3772001773025,4.0028130458829e-08,9.83935922378528e-05
"Khnyn",-3.24775409107779,3.91604589499952,53.2044797565586,4.93252029100529e-08,0.00010912214639791
"Zfp36l1-ps",-2.75451672761367,1.10180669104547,51.3624501412474,6.89054366780634e-08,0.0001385813614208
"Midn",-3.55862485588084,4.76928726213018,49.1624147729566,1.03800432789329e-07,0.000184065350846372
"Tmem176b",-3.38125574892864,7.91577239630209,48.9448983267392,1.08161169868591e-07,0.000184065350846372
"Dyrk2",-3.91055504334594,4.45040978138147,46.8686198477273,1.61174606460162e-07,0.000254690415622726
"Sp7",4.08284410587608,0.627565751234124,46.1038093497416,1.87213884252578e-07,0.00027611551742132
"Fosl1",-2.22402175535963,1.91307364373114,45.0472565677196,2.30845589044821e-07,0.000319187310402411
"Mob1a",-2.37155888360834,5.98128233831142,43.9032339674633,2.90642815276076e-07,0.000334695232387412
"Itgb4",4.91550198238944,0.996052664692813,43.8318881571292,2.94884488237784e-07,0.000334695232387412
"Zkscan17",-2.52302310434044,2.64682808202861,43.5994001219277,3.09172196767193e-07,0.000334695232387412
"Mthfr",-2.39567529146976,3.50402476024006,43.490462421394,3.16120240310435e-07,0.000334695232387412
"Insc",2.55338113856874,0.435932052096594,43.252864014943,3.31860507021899e-07,0.000334695232387412
"Gm45246",-1.41381744498351,3.48934353063376,43.2385615816644,3.3283438559522e-07,0.000334695232387412
"Gm10110",-1.86964132214701,3.02170180104488,42.8150101023528,3.63106319731994e-07,0.0003492609178883
"Ccnd3-ps",-3.09004695844152,2.18210329367234,42.0551266711446,4.2505112015704e-07,0.000357164943175017
"Rab37",1.72996832410805,0.528911900750839,41.9808490508469,4.31686470617091e-07,0.000357164943175017
"Chic2",-2.41911347462448,3.17878525416736,41.9584727489596,4.33707039354636e-07,0.000357164943175017
"Tbkbp1",-3.02775535873958,4.08036715246364,41.934294437294,4.35901707079757e-07,0.000357164943175017
"Gm7332",-2.99236013759684,4.13546796527577,41.5253119138859,4.74882394748013e-07,0.000375207972107511
"Cmtm3",-3.58225181288872,5.83466939998182,40.697623280001,5.65657260708336e-07,0.000431518468229328
"Gm4900",-2.69232226614714,3.38052454484267,40.2807138643339,6.18262502124843e-07,0.00045592737781693
"Laptm4a",-2.14197889737716,7.45025119932238,38.9709500774949,8.20514488716306e-07,0.000553105330255032
"Gm8577",-2.46152562051992,1.80403583070443,38.9060763680755,8.32219640836939e-07,0.000553105330255032
"Git2",-1.74138915195919,3.89985893125809,38.8433021870651,8.4371620034806e-07,0.000553105330255032
"Nup98",-2.22827373838989,2.78170128156136,38.7459776154597,8.61877628281455e-07,0.000553105330255032
"AC114543.1",1.09309510566433,0.139751873332052,38.5833633667907,8.93162418514019e-07,0.000553105330255032
"AC102327.1",-2.26098732920553,2.08425233310166,38.4948009251932,9.10709821950987e-07,0.000553105330255032
"Zfp263",-2.30868675498238,5.38950870200112,38.3225980296088,9.45894263465821e-07,0.000553105330255032
"Dchs1",-3.4019728672302,1.65335395615178,38.2337478166429,9.64614469792943e-07,0.000553105330255032
"Gm11405",-1.53360208872945,2.43609098476027,38.1525872933436,9.82061207007771e-07,0.000553105330255032
"Parp12",-2.39070978051243,3.26965205263375,37.9643077764731,1.02384856183164e-06,0.000553105330255032
"Rars",-2.64478301868065,3.72563673337566,37.9589894624839,1.02505621029952e-06,0.000553105330255032
"Crtc2",-2.35763963028007,4.72914433516568,37.0873152625166,1.24518525929722e-06,0.000625549707132296
"Fam102b",-2.79198127702057,3.87266292591854,37.0217095697106,1.26368717558413e-06,0.000625549707132296
"Etv3",-2.89753128565787,3.91392164623594,37.0120058195963,1.26644867774447e-06,0.000625549707132296
"Naa20",-1.93096743174213,4.64378250785509,36.9911018564168,1.2724195100553e-06,0.000625549707132296
"Trip6",-3.18460665118038,3.47855693587827,36.7954734183298,1.32977980686982e-06,0.000637647262927855
"Irf1",-3.67423952692348,5.71904780986883,36.7133688363883,1.35467257413593e-06,0.000637647262927855
"Wtip",-1.87547138575314,1.84167381940755,36.3483943288405,1.47152026177789e-06,0.000678217557319003
