"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.449602711224354,NA,0
"mouse_C57BL6",0.449602711224354,1,0,NA
