"","other","endo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"2010109P13Rik",0,2.75211370633509,0.393159100905014,0,0.250192155121372,0,0.393159100905014,0,0,0
"4833403J16Rik",0.856413669897177,3.52555396009712,0.58453357459054,1.42795128956548,0.666203250286853,2.04677739637556,0.58453357459054,2.37779775247107,0.761054614499845,0.955032209144404
"4930555A03Rik",0.979074503302165,2.71984048800102,0.4080169962873,1.69634557002753,0.436299379548155,2.90689758980041,0.4080169962873,3.87586345306721,0.191845067191305,0.585424613216135
"4930578C19Rik",0.128299103164701,3.47042090003018,0.527935657879402,0.196382342397522,0.46080930383769,0.0494265005303492,0.527935657879402,0.0408046885571694,0.0654500184919854,0.514007850911482
"4933421A08Rik",0.644479011463171,3.94463847674236,1.32564750550165,0.460976512339403,1.15317998793572,0.0705911924834544,1.32564750550165,0,0.253296690174742,1.22182814931135
"9930004E17Rik",1.6327553584905,3.54248967474437,1.42048935177825,2.05720490389545,1.92625194934257,1.30307331271079,1.42048935177825,1.73743108361438,1.42714418745578,3.07099420467241
"AC110211.2",0.408303149078154,3.66227874341986,1.16490249708466,0.153025668865177,0.852592984592183,0,1.16490249708466,0,0,0.489682140368566
"AC113125.1",1.47588382347461,5.8313556438151,3.57056939230557,0.187467928290083,2.40852083385997,0,3.57056939230557,0,0.0505114282120568,0.549385942316209
"AC164883.6",0.154681888531499,3.73361231540821,0.623509289927711,0.191824215669403,0.536287159531745,0,0.623509289927711,0,0,0.61383749014209
"AI467606",5.8895186812529,5.46342433395773,2.38742291323888,8.90059068485327,4.72431248364769,8.98731213784345,2.38742291323888,9.59293782199129,7.53895697969959,9.43140782544133
"AU021092",0.404099488584093,8.1481271903782,1.65220383041478,0.280011652206507,1.13194801511018,0.338522966085874,1.65220383041478,0,0.750991548088319,0.145045738972502
"Abcb1a",0.36756241427993,5.73450003516725,1.02988652905747,0.458896016460494,0.879216609135904,0.302247783647833,1.02988652905747,0.188821999111544,0.419553966194769,0.82232688754496
"Abcc6",0.109924054560853,3.70695517031593,0.641253467942376,0.0946397073214044,0.469003478788095,0.0217134168747068,0.641253467942376,0.0225014810236999,0.0767749979796873,0.199070288220367
"Abcc9",0.211246157231381,2.56799944443423,0.546153627456627,0.212796281684646,0.460473579037878,0.115059069064226,0.546153627456627,0.110679255350915,0.105886184536975,0.442246810432796
"Abcg2",1.32099084869916,4.43425069633571,1.66662416422844,1.40771917856561,1.7886259920906,0.813309166281831,1.66662416422844,0.544171585259444,2.73572986145637,1.11596560764226
"Ablim1",0.856325774424131,4.18397635561003,1.47687743941711,0.729299390203513,1.37815525358685,0.253207352023115,1.47687743941711,0.275284686070795,0.736711050241055,1.26670537512523
"Acer2",0.779739688763217,3.1396593608496,0.671944756443672,1.16905021355362,1.15967865911756,0.324887438310368,0.671944756443672,0.331768213794199,0.771746243187578,2.57109258363095
"Ackr2",0.319060975311704,5.4008379517707,1.08069218023128,0.287855793064446,0.851109887099286,0.126370712010602,1.08069218023128,0.168494282680802,0.236357586139111,0.482587812450154
"Ackr3",2.21495839678079,5.69338670404131,3.16169989980691,1.82136312004049,2.34057167323002,2.73912896336051,3.16169989980691,3.35694676444332,1.27337403658375,0.526651830213838
"Acvrl1",2.34256989741736,7.67118454547925,2.44586292806273,2.91826532661039,3.20937442561875,1.29101110687901,2.44586292806273,0.562599265547393,3.91227094336451,4.75105898313187
"Adamts1",3.87326031929626,8.93624176167037,6.62460533259202,2.09870611295923,5.46802235322961,0.753410086573066,6.62460533259202,0.101618505698916,5.81406961011721,0.779847744513633
"Adamtsl2",0.664105230928072,6.31560695949269,1.71095989268908,0.454545117957768,1.37166395751673,0.13119416495042,1.71095989268908,0.0190613039766408,1.32516395281228,0.106506859880611
"Adcy4",0.902392229460623,5.74863535216159,1.22314327930977,1.22751545118024,1.37478721665512,0.814866795350997,1.22314327930977,0.931593634553005,0.470848735035954,2.33928834727721
"Adgra2",0.72250250530334,5.28868153072489,1.85960186280267,0.298312945669118,1.36300082216001,0.102676890302894,1.85960186280267,0.106412136357716,0.159562081732775,0.667344780779143
"Adgre5",2.34332401930266,5.86915632513089,1.9847606324921,3.09779602099043,3.24303793493257,0.750568827777467,1.9847606324921,0.933037656334455,0.7740800559168,8.01922202365123
"Adgrf5",0.337630623424149,6.38455552802461,1.28841333086131,0.261561367491691,0.94317597340022,0.184112137140068,1.28841333086131,0.17659100246565,0.390115817014189,0.234971356000441
"Adgrl4",0.35757154896711,6.4731003968782,1.14143651976004,0.436130805512181,0.947544134433208,0.264029150913112,1.14143651976004,0.159456187092917,0.569298070359558,0.634973082767923
"Adora2a",1.52056063595948,5.10877280355436,1.89655627756042,1.64009097050801,1.97048207448061,1.18032972192507,1.89655627756042,1.56022184309239,0.0732496621301029,3.30277523178467
"Adrb2",6.12162853106975,5.68671037449821,3.61405729194628,8.26138859573135,6.0278835007282,6.27069782536614,3.61405729194628,6.09201501766689,9.92005952252589,9.20596596261415
"Afap1l1",1.3574179846014,4.42185968126953,2.21106588086325,0.993531287455807,2.11467178501923,0.0410804576194189,2.21106588086325,0.0503911485808521,2.14053142655573,0.978299315005825
"Ahnak",3.36085785978869,3.86661129293778,1.57304628210288,4.9884121694074,2.80849909551525,5.00628281982792,1.57304628210288,6.4299033094158,0.525837381112923,7.72119758969181
"Ajuba",1.35157032923442,3.57115307864698,1.45043891264854,1.54250816242364,1.66447096749069,1.0459892613828,1.45043891264854,0.954860865330768,2.87907481242197,0.911118268936743
"Akap12",1.02815291424524,5.63202353136374,2.35172373423863,0.44551227389083,1.78586772920478,0.0954048273861277,2.35172373423863,0.0713129970165408,0.414310023626735,0.925753656404071
"Akr1c14",0.157144587318452,4.39070746132495,0.698438320319129,0.212707930193672,0.565494610323401,0.0925727425564662,0.698438320319129,0.0569328535278327,0.206923339513723,0.405422612872628
"Angptl4",2.09028586604012,8.24803707860077,4.04636462876375,1.14843585022703,2.87117264031471,1.48228503992516,4.04636462876375,1.85942402118642,0.777559251323223,0.666126643979565
"Ankrd37",1.35966024496239,5.27270020376973,1.95180804327704,1.33066091628799,2.10410936114478,0.29068516516265,1.95180804327704,0.318203863940029,1.29944892836613,2.57682136702742
"Anxa1",3.09183436263933,4.06876055969076,0.916499517935874,5.11736812638628,2.63748242307086,4.58553374571547,0.916499517935874,5.26415501788309,1.19462178141111,8.86397020156527
"Anxa2",3.77508268585157,5.59297893106084,2.26491842276404,5.32371344670432,3.47776582202622,5.0471781226736,2.26491842276404,6.15449135538187,1.23543333896019,8.4150600640354
"Anxa3",3.33232022519993,4.99375415151984,1.55766303331931,5.09282450888546,2.81927742034488,5.15854642013127,1.55766303331931,5.25552400408606,6.17719923057592,3.81321039295427
"Apcdd1",1.67258638896775,8.8528515516721,4.0745473716211,0.468403674484109,2.90057659659518,0.0906796086683865,4.0745473716211,0.0923188759414059,0.255716532911182,1.13239257430828
"Apln",2.07600858387783,8.50467402326635,4.84649481292589,0.455416313384338,3.31282984995475,0.281916462013413,4.84649481292589,0.336964060825738,0.737890955482528,0.315084374356468
"Aplnr",1.33806164241513,9.04431286381507,2.32700248451152,1.43601980825579,2.48410486011298,0.113005599096041,2.32700248451152,0,0.473155673523981,4.12210771289454
"Apod",2.14043337838057,6.92089386903336,4.5813725304771,0.602169181627705,3.11292753644377,0.661189566369959,4.5813725304771,0.324878114215999,1.03956304743236,0.497524596717098
"Apol8",0.822808838425807,3.94761690282737,1.51808837765444,0.60504024965095,1.40608551279897,0,1.51808837765444,0,0.485690315319472,1.45043848356357
"Apold1",2.15433095382295,11.3793500029165,4.27444696022939,1.45235682935401,3.52425865296641,0.693284543451815,4.27444696022939,0.301403017898029,2.28879181676573,1.99706641568948
"Aqp11",1.229972669298,4.53615796113468,2.44506398625439,0.580040928440742,1.81487850957397,0.448027931498243,2.44506398625439,0.325911007654635,0.727719442995566,0.737318318829246
"Arap3",2.45174276501535,6.33762947634562,2.78727440587089,2.64388841818303,3.43213788335779,0.727127867406202,2.78727440587089,0.199280407620993,4.39879674690807,3.82250970213244
"Arhgap18",1.21993422092219,3.82784671825833,1.14298985073465,1.6132496070033,1.71365026030088,0.514193236964833,1.14298985073465,0.58688975123623,1.2210709926353,3.23706004829177
"Arhgap27",2.56954551809047,4.31639121915487,1.96833838267837,3.31395747420911,3.23697919577066,1.17081432973606,1.96833838267837,0.424763538990094,5.17915264917488,4.91579502150617
"Arhgap29",1.56997709106577,6.44778276288682,1.95431472215074,1.84340737284405,1.75705823891042,2.27495535244826,1.95431472215074,2.77851219990555,1.79690213802604,0.767786815188281
"Arhgef15",0.816124058334927,5.6027905223489,1.94893997663145,0.423243437827218,1.49713809744272,0.140002066791978,1.94893997663145,0,0.663905973318193,0.690473027728906
"Arhgef5",0.591956218471129,5.17895179601691,1.24382909763213,0.594941896398472,0.901822489057638,0.886572868744672,1.24382909763213,1.14980768838689,0.130684061913586,0.393360780497253
"Arl4a",2.93960721078555,6.40437518262216,4.00403094800986,2.44133243719385,3.58926086485283,2.01925165505967,4.00403094800986,2.28525611145488,2.52683266006118,2.54312380521328
"Asb4",0.379475048719333,4.69182431124119,0.835402041580549,0.519582587781001,0.744238332654364,0.454463333528463,0.835402041580549,0.575333380721059,0.284011476819547,0.688252747214385
"Atad3aos",0.810196113715482,3.75234860930403,1.29854430438095,0.750660508831766,1.180510721107,0.527369067285947,1.29854430438095,0.540183691299575,0.652529765929645,1.10136343277251
"Atf3",4.47222133710573,7.63042073231662,5.30748188018684,4.13614328631112,5.58094582775012,2.21277883663639,5.30748188018684,2.04733783837467,6.32406459473941,4.45478851540658
"Atp2a3",2.79487192736918,3.1691310253459,1.06358542154227,4.35653000721482,2.37645305690943,4.03908859562768,1.06358542154227,5.03447341558904,1.40513180621107,6.49439611816951
"BC028528",1.51536335949295,4.79618308051422,1.38905296931131,2.03598741602954,2.34961563450093,0.0413745334763359,1.38905296931131,0,1.88865575172383,4.62650397957071
"Bambi",2.74861874553976,6.59243908977786,3.84490574236148,2.26984516635052,3.61239122129856,1.3341995232626,3.84490574236148,1.36866412156438,3.03837956165569,2.58272802478873
"Bcam",2.95486197177529,5.66787314290845,2.662947959383,3.5494131290102,1.86416584726973,6.63252910694888,2.662947959383,8.1158708040525,1.42040409076364,0.198672957205987
"Bcl6b",1.18782439664596,7.78019653515236,2.97270373938767,0.450101489060271,2.15380515609626,0.179470342784259,2.97270373938767,0.164273638100186,1.14448863368548,0.0987077655871682
"Best1",1.07485494451343,2.89644389691121,0.799982047800052,1.54306734818735,1.47188009366957,0.43843302243348,0.799982047800052,0.383594413203225,3.12986139630512,1.34764082205055
"Bgn",1.69277573108084,6.55044487519134,4.03090794655137,0.254118685557935,2.64414816357071,0.290918827761317,4.03090794655137,0.0434465982396087,0.56574397658714,0.195299899310724
"Bhlhe40",6.11729618805056,9.13498527737119,6.89431114877966,5.81461923357768,6.11282194116938,6.88402263930396,6.89431114877966,8.67424954245687,2.02065281258542,6.1770292839149
