"","other","endo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","endo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.635368800403201,0.793701272372883,0.928511406819512,0.962620986014354,0.870375175208573,0.793701272372883,0.83181527306429,0.856026345583927,0.814538266879731,NA,0,0,0,0,0,0,0,0,0
"endo",0.635368800403201,1,0.860889016432936,0.404022777998524,0.747172922675809,0.394670359473482,0.860889016432936,0.33942104505323,0.463633258926736,0.303404469619313,0,NA,0,0,0,0,0,0,0,4.75175454539567e-14
"mouse_FVN_Swiss",0.793701272372883,0.860889016432936,1,0.513852032797111,0.896581591727399,0.48438992378558,1,0.434493054683732,0.570127708106628,0.399048057716656,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.928511406819512,0.404022777998524,0.513852032797111,1,0.814786894918252,0.93728727992724,0.513852032797111,0.911716328118461,0.863617342654661,0.90830604483464,0,0,0,NA,0,0,0,0,0,0
"No_data",0.962620986014354,0.747172922675809,0.896581591727399,0.814786894918252,1,0.709508735730187,0.896581591727399,0.659584048411886,0.809694080743234,0.743530209603965,0,0,0,0,NA,0,0,0,0,0
"5_months",0.870375175208573,0.394670359473482,0.48438992378558,0.93728727992724,0.709508735730187,1,0.48438992378558,0.987226044074193,0.757890004693519,0.748200843473293,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.793701272372883,0.860889016432936,1,0.513852032797111,0.896581591727399,0.48438992378558,1,0.434493054683732,0.570127708106628,0.399048057716656,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.83181527306429,0.33942104505323,0.434493054683732,0.911716328118461,0.659584048411886,0.987226044074193,0.434493054683732,1,0.675239627410624,0.73563497690369,0,0,0,0,0,0,0,NA,0,0
"brain",0.856026345583927,0.463633258926736,0.570127708106628,0.863617342654661,0.809694080743234,0.757890004693519,0.570127708106628,0.675239627410624,1,0.696434457447586,0,0,0,0,0,0,0,0,NA,0
"blood",0.814538266879731,0.303404469619313,0.399048057716656,0.90830604483464,0.743530209603965,0.748200843473293,0.399048057716656,0.73563497690369,0.696434457447586,1,0,4.75175454539567e-14,0,0,0,0,0,0,0,NA
