"","other","endo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","endo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.636940574655869,0.768703636324546,0.913852636107113,0.950235131851201,0.839213929760764,0.768703636324546,0.794632061251606,0.812957632256759,0.773147802953692,NA,0,0,0,0,0,0,0,0,0
"endo",0.636940574655869,1,0.875956243100894,0.387571227663262,0.774905762875382,0.373562898491934,0.875956243100894,0.31361031014285,0.468505197068999,0.264694768591868,0,NA,0,0,0,0,0,0,0,6.52367049269742e-13
"mouse_FVN_Swiss",0.768703636324546,0.875956243100894,1,0.449602711224354,0.891465891687047,0.424955261582763,1,0.366294588167298,0.538066227558069,0.308323600544982,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.913852636107113,0.387571227663262,0.449602711224354,1,0.772242954951072,0.912067832283481,0.449602711224354,0.884757398020927,0.802933587411929,0.891506418446981,0,0,0,NA,0,0,0,0,0,0
"No_data",0.950235131851201,0.774905762875382,0.891465891687047,0.772242954951072,1,0.640783395694288,0.891465891687047,0.583094814035983,0.769383034914221,0.68616914532176,0,0,0,0,NA,0,0,0,0,0
"5_months",0.839213929760764,0.373562898491934,0.424955261582763,0.912067832283481,0.640783395694288,1,0.424955261582763,0.985517573402714,0.670647977950689,0.672911937438658,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.768703636324546,0.875956243100894,1,0.449602711224354,0.891465891687047,0.424955261582763,1,0.366294588167298,0.538066227558069,0.308323600544982,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.794632061251606,0.31361031014285,0.366294588167298,0.884757398020927,0.583094814035983,0.985517573402714,0.366294588167298,1,0.571578716919372,0.663219450092877,0,0,0,0,0,0,0,NA,0,0
"brain",0.812957632256759,0.468505197068999,0.538066227558069,0.802933587411929,0.769383034914221,0.670647977950689,0.538066227558069,0.571578716919372,1,0.608019189950042,0,0,0,0,0,0,0,0,NA,0
"blood",0.773147802953692,0.264694768591868,0.308323600544982,0.891506418446981,0.68616914532176,0.672911937438658,0.308323600544982,0.663219450092877,0.608019189950042,1,0,6.52367049269742e-13,0,0,0,0,0,0,0,NA
