"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.366294588167298,0.538066227558069,0.308323600544982,NA,0,0,0
"peritoneum",0.366294588167298,1,0.571578716919372,0.663219450092877,0,NA,0,0
"brain",0.538066227558069,0.571578716919372,1,0.608019189950042,0,0,NA,0
"blood",0.308323600544982,0.663219450092877,0.608019189950042,1,0,0,0,NA
