"","other","endo"
"1700018A04Rik",0.0985801960607024,1.46185439632351
"1700020L24Rik",1.59089425207321,3.39036415972309
"1810006J02Rik",0.235830333257822,1.02429397152917
"1810063I02Rik",0.0727924820360759,1.71796037617707
"2010109P13Rik",0,2.75211370633509
"4833403J16Rik",0.856413669897177,3.52555396009712
"4930443O20Rik",0.141877721155735,1.13906324651428
"4930555A03Rik",0.979074503302165,2.71984048800102
"4930578C19Rik",0.128299103164701,3.47042090003018
"4933421A08Rik",0.644479011463171,3.94463847674236
"5033406O09Rik",0.52312669767266,0.951435134155447
"6030445D17Rik",0.207054011253829,2.45501440407262
"9830004L10Rik",0.0719154831293401,1.28859294609826
"9930004E17Rik",1.6327553584905,3.54248967474437
"AC110211.2",0.408303149078154,3.66227874341986
"AC118646.2",0.690258167671236,0.924689099219845
"AC122035.1",0.123621904514468,1.0439417782679
"AC126253.2",0.224830692619294,1.37994403116012
"AC164883.6",0.154681888531499,3.73361231540821
"AL592187.2",0.7925341330704,1.54534270880671
"AU021092",0.404099488584093,8.1481271903782
"AW112010",3.89364078180697,2.42683503791152
"Abcb1a",0.36756241427993,5.73450003516725
"Abcc4",0.994562070869356,2.93504731839644
"Abcc6",0.109924054560853,3.70695517031593
"Abcc9",0.211246157231381,2.56799944443423
"Abcg2",1.32099084869916,4.43425069633571
"Ablim1",0.856325774424131,4.18397635561003
"Ace2",0.178749242109143,1.59796835963782
"Acer2",0.779739688763217,3.1396593608496
"Ackr2",0.319060975311704,5.4008379517707
"Acnat1",0.096864588115645,1.49992863523666
"Acvrl1",2.34256989741736,7.67118454547925
"Adamts9",0.35100026899314,2.64072540085315
"Adamtsl2",0.664105230928072,6.31560695949269
"Adcy4",0.902392229460623,5.74863535216159
"Adgra2",0.72250250530334,5.28868153072489
"Adgre5",2.34332401930266,5.86915632513089
"Adgrf5",0.337630623424149,6.38455552802461
"Adgrg3",0.583497732245903,1.92846238012569
"Adgrl4",0.35757154896711,6.4731003968782
"Adh1",0.0532878086015775,1.18965854677624
"Adora2a",1.52056063595948,5.10877280355436
"Afap1l1",1.3574179846014,4.42185968126953
"Ahnak",3.36085785978869,3.86661129293778
"Akap12",1.02815291424524,5.63202353136374
"Akr1c14",0.157144587318452,4.39070746132495
"Aldh1a7",0.158247893389919,2.2074416366139
"Angptl4",2.09028586604012,8.24803707860077
"Ankrd37",1.35966024496239,5.27270020376973
"Anxa1",3.09183436263933,4.06876055969076
"Anxa2",3.77508268585157,5.59297893106084
"Anxa3",3.33232022519993,4.99375415151984
"Aoc3",0.182269858916697,2.17788784168404
"Apcdd1",1.67258638896775,8.8528515516721
"Apln",2.07600858387783,8.50467402326635
"Aplnr",1.33806164241513,9.04431286381507
"Apol8",0.822808838425807,3.94761690282737
"Apold1",2.15433095382295,11.3793500029165
"Aqp11",1.229972669298,4.53615796113468
"Arhgap18",1.21993422092219,3.82784671825833
"Arhgap28",0.164437328708065,1.55582386192924
"Arhgap29",1.56997709106577,6.44778276288682
"Arhgef15",0.816124058334927,5.6027905223489
"Arhgef5",0.591956218471129,5.17895179601691
"Art3",0.425956274188454,1.70232208573056
"Asb4",0.379475048719333,4.69182431124119
"Atad3aos",0.810196113715482,3.75234860930403
"Atp10a",0.582878693807382,2.22691536459885
"Atp10d",1.262341302193,2.29496063775605
"Atp2a3",2.79487192736918,3.1691310253459
"BC028528",1.51536335949295,4.79618308051422
"Bambi",2.74861874553976,6.59243908977786
"Bcam",2.95486197177529,5.66787314290845
"Bche",0.407020505878274,2.77152752872748
"Bcl6b",1.18782439664596,7.78019653515236
"Best1",1.07485494451343,2.89644389691121
"Birc3",3.30429435556114,4.96687252304089
"Bmx",0.70928316580666,1.00887217992369
"Bok",1.52197967983187,6.47710454063374
"Bsg",8.05271419748674,13.3416323483355
"Bvht",0.361257193212066,5.07776925191069
"C130074G19Rik",0.83509707452731,8.04670722477558
"Capg",3.91894138980706,5.19590728521214
"Car4",1.38709052297372,9.61752082753496
"Card10",1.30659753951093,3.27917866866963
"Casp12",0.479146465242804,1.68352982558476
"Casp6",3.44716189675843,5.41082353776416
"Casp8",2.92575687815559,3.46728089691204
"Casq2",0.136689283273732,1.38432349024168
"Cast",1.46697747142325,3.34914288009767
"Cavin1",1.5248880533481,6.95801946109932
"Ccdc125",1.27080522416377,2.40844295958121
"Ccdc141",0.596908081067412,4.63835337808618
"Ccdc152",1.01030522793581,4.83189087509098
"Ccl20",0.0355685983511,1.37466049207015
"Ccm2l",1.05265123306443,4.9232977559737
"Cd109",0.174471571512236,1.03532779313849
"Cd151",5.59400167119291,9.35175679230039
"Cd248",1.12341297634697,6.33552215744657
"Cd300lg",1.95079752111552,1.92553494294228
"Cd34",1.0074996120153,6.79870822529633
"Cd40",1.8892312577532,5.67145784021718
"Cd55",1.47285067046024,2.54269685097005
"Cd59a",1.3653032096097,4.34844206807633
"Cd69",1.36423140549184,1.204445022083
"Cd93",3.87742462983444,10.2876219117547
"Cdc42ep3",2.5425904297795,6.15638747800279
"Cdh5",0.513060456809886,6.92068162686586
"Cdkn2b",1.69221525014885,6.48965884733315
"Ces2b",0.171037395413993,3.84394011896085
"Ces2e",0.0219998421776107,1.96965189752942
"Cgnl1",0.770025172028757,3.97230422940626
"Chp2",0.582645362153052,5.45020113384376
"Cldn5",3.31107591861425,14.3335865626088
"Cldn6",0.152321398299297,2.87561619602459
"Clec14a",0.877011705646969,8.13706135883633
"Clec1a",0.627456319614097,3.69160090383571
