"","other","endo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","endo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.614318816047139,0.756690216122562,0.901611226560174,0.951180926100853,0.839668573724606,0.756690216122562,0.797141609125306,0.803612884487076,0.750839310214172,NA,0,0,0,0,0,0,0,0,0
"endo",0.614318816047139,1,0.850169670080379,0.341829612208419,0.744783300984629,0.342828209294418,0.850169670080379,0.278002812809721,0.45802979789546,0.201201114342458,0,NA,0,1.59872115546023e-14,0,1.33226762955019e-14,0,6.4943961319841e-10,0,9.50522973974799e-06
"mouse_FVN_Swiss",0.756690216122562,0.850169670080379,1,0.403676957816464,0.882862544340638,0.39174065366654,1,0.334998205528244,0.516745231143918,0.247634206410334,0,0,NA,0,0,0,0,5.6843418860808e-14,0,4.25805364301368e-08
"mouse_C57BL6",0.901611226560174,0.341829612208419,0.403676957816464,1,0.753192822233978,0.922456408294073,0.403676957816464,0.897771207396638,0.790706456232505,0.889959980221698,0,1.59872115546023e-14,0,NA,0,0,0,0,0,0
"No_data",0.951180926100853,0.744783300984629,0.882862544340638,0.753192822233978,1,0.638732336145033,0.882862544340638,0.583203531469144,0.761094503982747,0.652544426665443,0,0,0,0,NA,0,0,0,0,0
"5_months",0.839668573724606,0.342828209294418,0.39174065366654,0.922456408294073,0.638732336145033,1,0.39174065366654,0.985968684178396,0.672047137684982,0.691200621034596,0,1.33226762955019e-14,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.756690216122562,0.850169670080379,1,0.403676957816464,0.882862544340638,0.39174065366654,1,0.334998205528244,0.516745231143918,0.247634206410334,0,0,0,0,0,0,NA,5.6843418860808e-14,0,4.25805364301368e-08
"peritoneum",0.797141609125306,0.278002812809721,0.334998205528244,0.897771207396638,0.583203531469144,0.985968684178396,0.334998205528244,1,0.573633392863321,0.686491841876706,0,6.4943961319841e-10,5.6843418860808e-14,0,0,0,5.6843418860808e-14,NA,0,0
"brain",0.803612884487076,0.45802979789546,0.516745231143918,0.790706456232505,0.761094503982747,0.672047137684982,0.516745231143918,0.573633392863321,1,0.583085834361161,0,0,0,0,0,0,0,0,NA,0
"blood",0.750839310214172,0.201201114342458,0.247634206410334,0.889959980221698,0.652544426665443,0.691200621034596,0.247634206410334,0.686491841876706,0.583085834361161,1,0,9.50522973974799e-06,4.25805364301368e-08,0,0,0,4.25805364301368e-08,0,0,NA
