"","Gene","Category"
"1","C3orf80","astroBYo"
"2","C9orf50","astroBYo"
"3","C9orf116","astroBYo"
"4","C2orf72","astroBYo"
"5","C21orf62","astroBYo"
"6","KIAA1324L","astroBYo"
"7","A2M","astroBYo"
"8","AASS","astroBYo"
"9","ABCA1","astroBYo"
"10","ABCD2","astroBYo"
"11","ABHD1","astroBYo"
"12","ABHD3","astroBYo"
"13","ACAA2","astroBYo"
"14","ACADL","astroBYo"
"15","ACOT1","astroBYo"
"16","ACOT11","astroBYo"
"17","ACSBG1","astroBYo"
"18","ACSF2","astroBYo"
"19","ACSL6","astroBYo"
"20","ACSS1","astroBYo"
"21","ACTR3B","astroBYo"
"22","ADAMTS3","astroBYo"
"23","ADAMTS5","astroBYo"
"24","ADCY2","astroBYo"
"25","ADCYAP1R1","astroBYo"
"26","ADGRB3","astroBYo"
"27","ADGRG1","astroBYo"
"28","ADHFE1","astroBYo"
"29","ADORA2B","astroBYo"
"30","ADRA2A","astroBYo"
"31","ADRB1","astroBYo"
"32","AFF1","astroBYo"
"33","AGL","astroBYo"
"34","AGT","astroBYo"
"35","C5","astroBYo"
"36","AIFM3","astroBYo"
"37","AJUBA","astroBYo"
"38","AK4","astroBYo"
"39","AKR1B10","astroBYo"
"40","AKT2","astroBYo"
"41","ALCAM","astroBYo"
"42","ALDH1L1","astroBYo"
"43","ALDH6A1","astroBYo"
"44","ALDOC","astroBYo"
"45","ALMS1","astroBYo"
"46","ALPK1","astroBYo"
"47","ALPK3","astroBYo"
"48","ALPL","astroBYo"
"49","ALS2CL","astroBYo"
"50","AMIGO2","astroBYo"
"51","AMOT","astroBYo"
"52","AMPD2","astroBYo"
"53","ANKRD16","astroBYo"
"54","ANKRD9","astroBYo"
"55","AOX1","astroBYo"
"56","APOBEC1","astroBYo"
"57","APOC1","astroBYo"
"58","APOE","astroBYo"
"59","APPL2","astroBYo"
"60","AQP4","astroBYo"
"61","ARAP2","astroBYo"
