"","Gene","Category"
"171","FZD1","macrophagesBYo"
"172","GADD45A","macrophagesBYo"
"173","GAL","macrophagesBYo"
"174","GAPDH","macrophagesBYo"
"175","GAPT","macrophagesBYo"
"176","GATA6","macrophagesBYo"
"177","GBP2","macrophagesBYo"
"178","GCH1","macrophagesBYo"
"179","GDA","macrophagesBYo"
"180","GGCT","macrophagesBYo"
"181","GIMAP4","macrophagesBYo"
"182","GLB1","macrophagesBYo"
"183","GLIPR2","macrophagesBYo"
"184","GMNN","macrophagesBYo"
"185","GNAI3","macrophagesBYo"
"186","GPRC5B","macrophagesBYo"
"187","GPX1","macrophagesBYo"
"188","GPX7","macrophagesBYo"
"189","GRK6","macrophagesBYo"
"190","GSR","macrophagesBYo"
"191","GSTM1","macrophagesBYo"
"192","GYPC","macrophagesBYo"
"193","HACD4","macrophagesBYo"
"194","HAL","macrophagesBYo"
"195","HDC","macrophagesBYo"
"196","HDGF","macrophagesBYo"
"197","HHIPL1","macrophagesBYo"
"198","HIRIP3","macrophagesBYo"
"199","H2BC11","macrophagesBYo"
"200","HOPX","macrophagesBYo"
"201","HP","macrophagesBYo"
"202","HPSE","macrophagesBYo"
"203","HTRA3","macrophagesBYo"
"204","ICAM2","macrophagesBYo"
"205","ID2","macrophagesBYo"
"206","IDH1","macrophagesBYo"
"207","IER5L","macrophagesBYo"
"208","IFITM2","macrophagesBYo"
"209","IFITM2","macrophagesBYo"
"210","IKBKE","macrophagesBYo"
"211","IL18BP","macrophagesBYo"
"212","IL3RA","macrophagesBYo"
"213","IMPDH1","macrophagesBYo"
"214","INCENP","macrophagesBYo"
"215","INSIG1","macrophagesBYo"
"216","INSL6","macrophagesBYo"
"217","IQGAP1","macrophagesBYo"
"218","IRF2","macrophagesBYo"
"219","IRF4","macrophagesBYo"
"220","ITGA6","macrophagesBYo"
"221","ITGB1","macrophagesBYo"
"222","ITGB2","macrophagesBYo"
"223","ITGB7","macrophagesBYo"
"224","KBTBD11","macrophagesBYo"
"225","KCNN3","macrophagesBYo"
"226","KCTD9","macrophagesBYo"
"227","KIF22","macrophagesBYo"
"228","KIFC1","macrophagesBYo"
"229","KLF10","macrophagesBYo"
"230","KLF13","macrophagesBYo"
"231","KLF2","macrophagesBYo"
"232","LBP","macrophagesBYo"
"233","LDHA","macrophagesBYo"
"234","LDLR","macrophagesBYo"
"235","LGALS1","macrophagesBYo"
"236","LGALS3","macrophagesBYo"
"237","LGALS3BP","macrophagesBYo"
"238","LMNA","macrophagesBYo"
"239","LPL","macrophagesBYo"
"240","LRG1","macrophagesBYo"
"241","LTBP1","macrophagesBYo"
"242","LY6D","macrophagesBYo"
"243","MAN2A1","macrophagesBYo"
"244","MAP4K1","macrophagesBYo"
"245","MAPK12","macrophagesBYo"
"246","MARCO","macrophagesBYo"
"247","MCEMP1","macrophagesBYo"
"248","MCM2","macrophagesBYo"
"249","MCM6","macrophagesBYo"
"250","MCUB","macrophagesBYo"
"251","METRNL","macrophagesBYo"
"252","MFGE8","macrophagesBYo"
"253","MFSD5","macrophagesBYo"
"254","MGST1","macrophagesBYo"
"255","MICALL2","macrophagesBYo"
"256","MKI67","macrophagesBYo"
"257","MOCS1","macrophagesBYo"
"258","MSR1","macrophagesBYo"
"259","MSRB1","macrophagesBYo"
"260","MST1R","macrophagesBYo"
"261","RAB24","macrophagesBYo"
"262","MYO1C","macrophagesBYo"
"263","MYO1G","macrophagesBYo"
"264","MYOF","macrophagesBYo"
"265","MZB1","macrophagesBYo"
"266","MZF1","macrophagesBYo"
"267","NAP1L1","macrophagesBYo"
"268","NAT8L","macrophagesBYo"
"269","NBEAL2","macrophagesBYo"
"270","NCAPD2","macrophagesBYo"
"271","NET1","macrophagesBYo"
"272","NFE2","macrophagesBYo"
"273","NINJ1","macrophagesBYo"
"274","NT5E","macrophagesBYo"
"275","NUCB2","macrophagesBYo"
"276","NUPR1","macrophagesBYo"
"277","P2RY1","macrophagesBYo"
"278","P2RY2","macrophagesBYo"
"279","P4HA2","macrophagesBYo"
"280","PADI4","macrophagesBYo"
"281","PBK","macrophagesBYo"
"282","PDLIM1","macrophagesBYo"
"283","PDLIM2","macrophagesBYo"
"284","PDLIM7","macrophagesBYo"
"285","PELP1","macrophagesBYo"
"286","PFKL","macrophagesBYo"
"287","PHF19","macrophagesBYo"
"288","PI16","macrophagesBYo"
"289","PIM1","macrophagesBYo"
"290","PIMREG","macrophagesBYo"
"291","LILRA6","macrophagesBYo"
"292","PITPNA","macrophagesBYo"
"293","PLA2G7","macrophagesBYo"
"294","PLAUR","macrophagesBYo"
"295","PLEKHG3","macrophagesBYo"
"296","PLEKHO2","macrophagesBYo"
"297","PLIN2","macrophagesBYo"
"298","PLK1","macrophagesBYo"
"299","PLK2","macrophagesBYo"
"300","PLOD3","macrophagesBYo"
"301","PLSCR4","macrophagesBYo"
"302","PML","macrophagesBYo"
"303","POLD1","macrophagesBYo"
"304","POMK","macrophagesBYo"
"305","PRDX4","macrophagesBYo"
"306","PRDX5","macrophagesBYo"
"307","PRDX6","macrophagesBYo"
"308","PRR7","macrophagesBYo"
"309","PRSS35","macrophagesBYo"
"310","PRTN3","macrophagesBYo"
"311","PTGER4","macrophagesBYo"
"312","PTGES","macrophagesBYo"
"313","PTGIR","macrophagesBYo"
"314","PTPN7","macrophagesBYo"
"315","PTPRCAP","macrophagesBYo"
"316","PYGL","macrophagesBYo"
"317","RAB11FIP5","macrophagesBYo"
"318","RAB27A","macrophagesBYo"
"319","RAB3D","macrophagesBYo"
"320","RAB7B","macrophagesBYo"
"321","RAC2","macrophagesBYo"
"322","RACGAP1","macrophagesBYo"
"323","RAD51","macrophagesBYo"
"324","RAI14","macrophagesBYo"
"325","RAMP3","macrophagesBYo"
"326","RAP2B","macrophagesBYo"
"327","RASGRP2","macrophagesBYo"
"328","RASGRP4","macrophagesBYo"
"329","RASSF3","macrophagesBYo"
"330","RASSF4","macrophagesBYo"
"331","RETNLB","macrophagesBYo"
"332","RFC5","macrophagesBYo"
"333","RFK","macrophagesBYo"
"334","RGS18","macrophagesBYo"
"335","RHOC","macrophagesBYo"
"336","RILP","macrophagesBYo"
"337","RILPL2","macrophagesBYo"
"338","RIPK3","macrophagesBYo"
"339","RPIA","macrophagesBYo"
"340","RPN2","macrophagesBYo"
"341","RPRM","macrophagesBYo"
"342","RRAS","macrophagesBYo"
"343","RRM2","macrophagesBYo"
"344","S100A1","macrophagesBYo"
"345","S100A10","macrophagesBYo"
"346","S100A11","macrophagesBYo"
