"","Gene","Category"
"1","ABCB1","endoBYo"
"2","ABCC6","endoBYo"
"3","ABCC9","endoBYo"
"4","ABLIM1","endoBYo"
"5","ACER2","endoBYo"
"6","ACKR2","endoBYo"
"7","ACVRL1","endoBYo"
"8","ADAMTS9","endoBYo"
"9","ADAMTSL2","endoBYo"
"10","ADCY4","endoBYo"
"11","ADGRA2","endoBYo"
"12","ADGRE5","endoBYo"
"13","ADGRF5","endoBYo"
"14","ADGRL4","endoBYo"
"15","ADORA2A","endoBYo"
"16","AFAP1L1","endoBYo"
"17","AHNAK","endoBYo"
"18","AKAP12","endoBYo"
"19","ANGPTL4","endoBYo"
"20","ANKRD37","endoBYo"
"21","ANXA1","endoBYo"
"22","ANXA2","endoBYo"
"23","ANXA3","endoBYo"
"24","APCDD1","endoBYo"
"25","APLN","endoBYo"
"26","APLNR","endoBYo"
"27","APOLD1","endoBYo"
"28","AQP11","endoBYo"
"29","ARHGAP18","endoBYo"
"30","ARHGAP29","endoBYo"
"31","ARHGEF15","endoBYo"
"32","ARHGEF5","endoBYo"
"33","ASB4","endoBYo"
"34","ATP2A3","endoBYo"
"35","C16orf89","endoBYo"
"36","BAMBI","endoBYo"
"37","C1orf54","endoBYo"
"38","BCAM","endoBYo"
"39","BCL6B","endoBYo"
"40","BEST1","endoBYo"
"41","BIRC3","endoBYo"
"42","BOK","endoBYo"
"43","BSG","endoBYo"
"44","C1orf115","endoBYo"
"45","CAPG","endoBYo"
"46","CA4","endoBYo"
"47","CARD10","endoBYo"
"48","CASP6","endoBYo"
"49","CASP8","endoBYo"
"50","CAST","endoBYo"
"51","CAVIN1","endoBYo"
"52","CCDC141","endoBYo"
"53","CCDC152","endoBYo"
"54","CCM2L","endoBYo"
"55","CD151","endoBYo"
"56","CD248","endoBYo"
"57","CD34","endoBYo"
"58","CD40","endoBYo"
"59","CD59","endoBYo"
"60","CD93","endoBYo"
"61","CDC42EP3","endoBYo"
"62","CDH5","endoBYo"
"63","CDKN2B","endoBYo"
"64","CES2","endoBYo"
"65","CGNL1","endoBYo"
"66","CHP2","endoBYo"
"67","CLDN5","endoBYo"
"68","CLDN6","endoBYo"
"69","CLEC14A","endoBYo"
"70","CLEC1A","endoBYo"
"71","CLEC2D","endoBYo"
"72","CLIC5","endoBYo"
"73","CNN2","endoBYo"
"74","COL4A1","endoBYo"
"75","COL4A2","endoBYo"
"76","COX4I2","endoBYo"
"77","CREM","endoBYo"
"78","CRYBB3","endoBYo"
"79","CRYBG3","endoBYo"
"80","CSF3","endoBYo"
"81","CSRP2","endoBYo"
"82","CTSH","endoBYo"
"83","CTSW","endoBYo"
