"","x","freq"
"1","astroBYo",882
"2","endoBYo",369
"3","macrophagesBYo",444
"4","microgliaBYo",258
"5","monocytesBYo",863
"6","myeoligoBYo",123
"7","neuronBYo",683
"8","newoligoBYo",118
"9","preoligoBYo",128
