"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.642152156459431,0.467499136194082,0.348697931846931,NA,0.0132809800836236,0.091874539679045,0.221753906043579
"peritoneum",0.642152156459431,1,0.600148219210032,0.794723297248186,0.0132809800836236,NA,0.0232653586276141,0.000682996409452574
"brain",0.467499136194082,0.600148219210032,1,0.710248120991605,0.091874539679045,0.0232653586276141,NA,0.00442170581793633
"blood",0.348697931846931,0.794723297248186,0.710248120991605,1,0.221753906043579,0.000682996409452574,0.00442170581793633,NA
