"","other","preoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"1700001P01Rik",1.05527021508558,0.353603312469405,1.35186697303922,0.708039689049125,1.37521693851523,0,1.35186697303922,0,0.785869823117368,1.47985718183983
"2010203P06Rik",0.227042893067678,0,0.454085786135356,0,0.288963682086136,0,0.454085786135356,0,0,0
"AC110091.1",0.803505791996198,0.258002700298239,1.61590348161909,0.0244699271139241,1.04503034516121,0.00293749786791089,1.61590348161909,0.00391666382388118,0.0212622805957533,0.0523414895801465
"AC122356.1",0.728930349633442,0.777977102755859,1.29080452118662,0.243421293664716,0.963286473623972,0.0967126969400865,1.29080452118662,0.128950262586782,0.074362317490592,0.54984550713236
"AC140244.1",1.88158593654365,0.69699845569695,3.76906101529283,0.0819718075322831,2.45810923339165,0,3.76906101529283,0,0.262309784103306,0
"AC157572.1",0.581119936631917,0,0.527594629794184,0.555314588035944,0.659311968300557,0.220811865385176,0.527594629794184,0.294415820513568,0.416510022303886,1.00719767479485
"Ablim2",0.86833604547533,0.466890644707618,1.64382470923416,0.13960278959039,1.131064357876,0.0454718361815508,1.64382470923416,0.0516015222260684,0.181657268303799,0.203149831714168
"Acy3",2.56889846617918,0.794779010677622,3.17649666301906,1.81548511200658,2.28762249996225,2.89887750940033,3.17649666301906,3.76612892874853,0.332774505954003,0.957423137968818
"Adamts4",1.98550106541303,2.68193898781986,4.01349008664777,0.298065412133478,2.76446744004383,0.0174530157800361,4.01349008664777,0,0.363565408484113,0.590243910343018
"Ankub1",0.3452177014049,0.022434223694386,0.448948783593943,0.214105069775673,0.420866261563977,0.0564882915398112,0.448948783593943,0.0462481775171404,0.153767433325186,0.4758709769364
"B230206H07Rik",0.206115154473931,0,0.351413282996402,0.0532148977075277,0.246373565274255,0.0438757361545572,0.351413282996402,0.0585009815394097,0,0.100086494816797
"B3gnt9",1.81449242063193,2.88137669282402,3.29322001784517,0.653966307094359,2.52411269004215,0.129757747801846,3.29322001784517,0.173010330402462,0.386850998898308,1.49822878732069
"Bace2",0.628880342052618,0.148454410719411,1.07816599757418,0.175702152054597,0.790777054832328,0.0635578990751152,1.07816599757418,0.0403210930756854,0.104207346644149,0.409654228239739
"Car14",2.61782105670053,1.58310859203578,3.37349704224893,1.8272655112626,2.6031495303268,2.39948963806212,3.37349704224893,2.57201238572585,1.24833802746155,1.51249674570775
