"","other","preoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","preoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.870260671768993,0.755615542997545,0.96582274248591,0.974315200460087,0.948388779212172,0.755615542997545,0.940050129571711,0.775605901191693,0.847932695960913,NA,5.17622137257145e-05,0.00177399646316356,2.13743862609306e-08,3.92215460109924e-09,2.44024314977054e-07,0.00177399646316356,5.88524122768774e-07,0.00111439924312373,0.000127588526722899
"preoligo",0.870260671768993,1,0.947662131189621,0.728629127589456,0.893921926413011,0.783455919733635,0.947662131189621,0.774021949967924,0.622499615958915,0.527550523974427,5.17622137257145e-05,NA,2.64956282025608e-07,0.00311885310120985,1.63086796391987e-05,0.000916723302290201,2.64956282025608e-07,0.00115812319183628,0.0174282796313694,0.0525313434239876
"mouse_FVN_Swiss",0.755615542997545,0.947662131189621,1,0.560215752923225,0.804981623376123,0.646015820375172,1,0.642152156459431,0.467499136194082,0.348697931846931,0.00177399646316356,2.64956282025608e-07,NA,0.0371965416197648,0.000514262169743596,0.0125633976388131,0,0.0132809800836236,0.091874539679045,0.221753906043579
"mouse_C57BL6",0.96582274248591,0.728629127589456,0.560215752923225,1,0.913804943075589,0.944226829522241,0.560215752923225,0.934982827572845,0.797600900440468,0.933599095137807,2.13743862609306e-08,0.00311885310120985,0.0371965416197648,NA,4.90665223673581e-06,3.85091435184393e-07,0.0371965416197648,9.47041915555502e-07,0.000631742251888667,1.07132928506282e-06
"No_data",0.974315200460087,0.893921926413011,0.804981623376123,0.913804943075589,1,0.85348996214099,0.804981623376123,0.840654631809761,0.827617805499531,0.808692990194338,3.92215460109924e-09,1.63086796391987e-05,0.000514262169743596,4.90665223673581e-06,NA,0.000103345569062885,0.000514262169743596,0.000166120388316315,0.000258446873689477,0.000462222076158092
"5_months",0.948388779212172,0.783455919733635,0.646015820375172,0.944226829522241,0.85348996214099,1,0.646015820375172,0.998875640439917,0.622549875256741,0.807041767394383,2.44024314977054e-07,0.000916723302290201,0.0125633976388131,3.85091435184393e-07,0.000103345569062885,NA,0.0125633976388131,0,0.0174165547416427,0.000484824616702184
"cerebral_cortex",0.755615542997545,0.947662131189621,1,0.560215752923225,0.804981623376123,0.646015820375172,1,0.642152156459431,0.467499136194082,0.348697931846931,0.00177399646316356,2.64956282025608e-07,0,0.0371965416197648,0.000514262169743596,0.0125633976388131,NA,0.0132809800836236,0.091874539679045,0.221753906043579
"peritoneum",0.940050129571711,0.774021949967924,0.642152156459431,0.934982827572845,0.840654631809761,0.998875640439917,0.642152156459431,1,0.600148219210032,0.794723297248186,5.88524122768774e-07,0.00115812319183628,0.0132809800836236,9.47041915555502e-07,0.000166120388316315,0,0.0132809800836236,NA,0.0232653586276141,0.000682996409452574
"brain",0.775605901191693,0.622499615958915,0.467499136194082,0.797600900440468,0.827617805499531,0.622549875256741,0.467499136194082,0.600148219210032,1,0.710248120991605,0.00111439924312373,0.0174282796313694,0.091874539679045,0.000631742251888667,0.000258446873689477,0.0174165547416427,0.091874539679045,0.0232653586276141,NA,0.00442170581793633
"blood",0.847932695960913,0.527550523974427,0.348697931846931,0.933599095137807,0.808692990194338,0.807041767394383,0.348697931846931,0.794723297248186,0.710248120991605,1,0.000127588526722899,0.0525313434239876,0.221753906043579,1.07132928506282e-06,0.000462222076158092,0.000484824616702184,0.221753906043579,0.000682996409452574,0.00442170581793633,NA
