"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.560215752923225,NA,0.0371965416197648
"mouse_C57BL6",0.560215752923225,1,0.0371965416197648,NA
