"","other","preoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","preoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.767057991766628,0.803519797106634,0.924447063286538,0.962544674580254,0.839325538136763,0.803519797106634,0.80008096027887,0.839826713556519,0.809009275998123,NA,0,0,0,0,0,0,0,0,0
"preoligo",0.767057991766628,1,0.933979061815514,0.519278573837451,0.855776405898406,0.457472612540302,0.933979061815514,0.407216640082311,0.586702772933,0.406560474724635,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.803519797106634,0.933979061815514,1,0.516826270120013,0.8929912923986,0.46413238855316,1,0.420781692331259,0.561868954108284,0.406156848387346,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.924447063286538,0.519278573837451,0.516826270120013,1,0.814600348868386,0.91023240365989,0.516826270120013,0.880529147856999,0.852798439372502,0.903893001680382,0,0,0,NA,0,0,0,0,0,0
"No_data",0.962544674580254,0.855776405898406,0.8929912923986,0.814600348868386,1,0.662816442438351,0.8929912923986,0.614327928038465,0.806498615505149,0.754028869654575,0,0,0,0,NA,0,0,0,0,0
"5_months",0.839325538136763,0.457472612540302,0.46413238855316,0.91023240365989,0.662816442438351,1,0.46413238855316,0.987589544978444,0.697521675513785,0.692299189477053,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.803519797106634,0.933979061815514,1,0.516826270120013,0.8929912923986,0.46413238855316,1,0.420781692331259,0.561868954108284,0.406156848387346,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.80008096027887,0.407216640082311,0.420781692331259,0.880529147856999,0.614327928038465,0.987589544978444,0.420781692331259,1,0.610378262279311,0.674711152195137,0,0,0,0,0,0,0,NA,0,0
"brain",0.839826713556519,0.586702772933,0.561868954108284,0.852798439372502,0.806498615505149,0.697521675513785,0.561868954108284,0.610378262279311,1,0.699216410121814,0,0,0,0,0,0,0,0,NA,0
"blood",0.809009275998123,0.406560474724635,0.406156848387346,0.903893001680382,0.754028869654575,0.692299189477053,0.406156848387346,0.674711152195137,0.699216410121814,1,0,0,0,0,0,0,0,0,0,NA
