"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.480745627916055,0.607573228911142,0.532000540353892,NA,9.28010468470575e-09,2.8643754035329e-14,1.03166364340268e-10
"peritoneum",0.480745627916055,1,0.69109952175481,0.732254712486452,9.28010468470575e-09,NA,0,0
"brain",0.607573228911142,0.69109952175481,1,0.776227760591139,2.8643754035329e-14,0,NA,0
"blood",0.532000540353892,0.732254712486452,0.776227760591139,1,1.03166364340268e-10,0,0,NA
