"","other","preoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","preoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.77765801433189,0.899927390817664,0.879810300574936,0.976353857242904,0.806725001189991,0.899927390817664,0.77047606738952,0.828489134237978,0.806008826752492,NA,0,0,0,0,0,0,0,0,0
"preoligo",0.77765801433189,1,0.911788327005413,0.482957696038876,0.860413523384304,0.42175633668541,0.911788327005413,0.368029861083736,0.531016010115922,0.444966076012834,0,NA,0,7.7573729662106e-09,0,7.11732792257891e-07,0,1.92056716961098e-05,1.13294928993923e-10,1.42206245890009e-07
"mouse_FVN_Swiss",0.899927390817664,0.911788327005413,1,0.586680664649271,0.959542246225826,0.524882088046131,1,0.480745627916055,0.607573228911142,0.532000540353892,0,0,NA,3.41282557769773e-13,0,2.01693772794442e-10,0,9.28010468470575e-09,2.8643754035329e-14,1.03166364340268e-10
"mouse_C57BL6",0.879810300574936,0.482957696038876,0.586680664649271,1,0.773638209723193,0.929898157537244,0.586680664649271,0.908238496974513,0.884766334577084,0.923498341491318,0,7.7573729662106e-09,3.41282557769773e-13,NA,0,0,3.41282557769773e-13,0,0,0
"No_data",0.976353857242904,0.860413523384304,0.959542246225826,0.773638209723193,1,0.663966250701656,0.959542246225826,0.619570658526271,0.77359415478065,0.738039936705997,0,0,0,0,NA,0,0,6.21724893790088e-15,0,0
"5_months",0.806725001189991,0.42175633668541,0.524882088046131,0.929898157537244,0.663966250701656,1,0.524882088046131,0.992456161649662,0.748822563955373,0.752921322706239,0,7.11732792257891e-07,2.01693772794442e-10,0,0,NA,2.01693772794442e-10,0,0,0
"cerebral_cortex",0.899927390817664,0.911788327005413,1,0.586680664649271,0.959542246225826,0.524882088046131,1,0.480745627916055,0.607573228911142,0.532000540353892,0,0,0,3.41282557769773e-13,0,2.01693772794442e-10,NA,9.28010468470575e-09,2.8643754035329e-14,1.03166364340268e-10
"peritoneum",0.77047606738952,0.368029861083736,0.480745627916055,0.908238496974513,0.619570658526271,0.992456161649662,0.480745627916055,1,0.69109952175481,0.732254712486452,0,1.92056716961098e-05,9.28010468470575e-09,0,6.21724893790088e-15,0,9.28010468470575e-09,NA,0,0
"brain",0.828489134237978,0.531016010115922,0.607573228911142,0.884766334577084,0.77359415478065,0.748822563955373,0.607573228911142,0.69109952175481,1,0.776227760591139,0,1.13294928993923e-10,2.8643754035329e-14,0,0,0,2.8643754035329e-14,0,NA,0
"blood",0.806008826752492,0.444966076012834,0.532000540353892,0.923498341491318,0.738039936705997,0.752921322706239,0.532000540353892,0.732254712486452,0.776227760591139,1,0,1.42206245890009e-07,1.03166364340268e-10,0,0,0,1.03166364340268e-10,0,0,NA
