"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.586680664649271,NA,3.41282557769773e-13
"mouse_C57BL6",0.586680664649271,1,3.41282557769773e-13,NA
