"","other","preoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"AC140244.1",1.88158593654365,0.69699845569695,3.76906101529283,0.0819718075322831,2.45810923339165,0,3.76906101529283,0,0.262309784103306,0
"Acy3",2.56889846617918,0.794779010677622,3.17649666301906,1.81548511200658,2.28762249996225,2.89887750940033,3.17649666301906,3.76612892874853,0.332774505954003,0.957423137968818
"Cdc42ep2",4.19165587158415,1.58215595566221,4.04070305904409,3.99755209306647,3.97146837935185,4.1447964962425,4.04070305904409,5.22909670196854,0.847766134792093,5.66948452065835
"Dubr",2.94359604023104,0.598790597815241,2.99605459084347,2.60459412814318,3.02677913170405,2.12864117807631,2.99605459084347,2.53994122772598,1.95220390594558,3.33456783084142
"Fam43a",6.3613571988995,3.75772198454094,5.93040225040143,6.41298837704049,6.01626741897722,6.65944529009611,5.93040225040143,8.10731703844467,4.85124659648872,5.94153576390724
"Gm22513",2.21241645833344,0.5476794151648,2.90297127880306,1.40008886002644,2.8655918028939,0,2.90297127880306,0,2.89636162266065,1.58392272942397
"Gm9847",1.15226295728812,0.195447368357688,2.33244696719877,0,1.48428443367195,0,2.33244696719877,0,0,0
"Ldlrap1",3.49570030358236,1.03502690282578,3.21068727672263,3.43750252699006,3.6010984508686,2.59068704835608,3.21068727672263,2.93634465619353,2.8878096346357,4.58858486430024
"Nkx6-2",1.66535716845744,0.68409059456348,2.71293140173631,0.626071392601677,2.11900225663995,0.172516532482046,2.71293140173631,0,0.601660826857267,1.4017676294681
"Nod1",2.8129591653571,0.289575819642873,2.31316464049293,2.93485645639897,3.04302328957826,1.54943698732034,2.31316464049293,1.8866131643746,2.06831726985493,5.05928759337225
"Parvb",2.86658880546957,1.17776567948649,3.56452779904249,2.04478929534537,2.9308505281347,2.26766328664468,3.56452779904249,2.83103662511116,0.747378888144656,2.39870290682712
"Rgs16",2.09981852208693,1.17491136846769,3.9042673948727,0.405312364196976,2.75784939669045,0.059006828522429,3.9042673948727,0.0786757713632387,0.673021765060711,0.529566874733727
"Ttyh2",2.314706977415,1.39360124714868,4.08462569131673,0.650889886467685,2.99016224990329,0.226928545505603,4.08462569131673,0.167940005500978,0.938541212342716,0.942778417752701
"Unc5b",1.59205837532711,0.603510833407521,3.15711360996147,0.0990666022820956,2.06086269019286,0.0557096239663816,3.15711360996147,0.0476196435562318,0.110518243937212,0.149351311098016
