"","mouse_FVN_Swiss","mouse_C57BL6"
"0610009B22Rik",4.59618057164929,5.48168977598264
"0610009E02Rik",0.683524476634722,0.493514454998671
"0610009L18Rik",3.42409493381307,3.43946474278032
"0610009O20Rik",5.46130776684253,3.11089567725173
"0610010F05Rik",2.17776099226865,1.76640747214754
"0610012G03Rik",7.35581138810535,7.93709639390368
"0610025J13Rik",0.105342362169774,0.377838723943536
"0610030E20Rik",4.36819404100722,4.57963667473686
"0610037L13Rik",5.22447899860406,4.21077211574778
"0610039K10Rik",0.634782848630337,1.01327417676708
"0610040B10Rik",2.17951891898983,1.57898259132112
"0610040J01Rik",1.89829238869455,2.69009730540833
"0610043K17Rik",0.0847702804130126,0.375338990392765
"1010001B22Rik",1.79665229012429,0.80822861093572
"1010001N08Rik",0.00333652518061363,0.500944608011601
"1110002E22Rik",0.258544370495853,0.15585272699092
"1110002J07Rik",1.5077033416146,0.338660351789157
"1110002L01Rik",1.3229445188637,1.40199119605055
"1110004E09Rik",3.79764847619571,2.35429545513727
"1110004F10Rik",3.31687708347454,3.36730739099658
"1110006O24Rik",3.30122700696818,1.93442776692361
"1110008E08Rik",0.143611093774261,0.08782177442769
"1110008F13Rik",4.42384736503711,2.63356326703863
"1110008L16Rik",1.00016647389543,1.08823881977825
"1110008P14Rik",2.93694196053308,0.540687896702695
"1110012L19Rik",4.59979826073823,5.00744733937865
"1110015O18Rik",1.23359421288227,0.273107354667689
"1110017D15Rik",1.32681255161502,0.475927124256824
"1110018N20Rik",0.856592234005442,0
"1110019B22Rik",0,0.531051066250984
"1110019D14Rik",0.132806283971737,0.721502007450478
"1110020A21Rik",0.944078583425514,0.664855003359357
"1110025M09Rik",3.04835865810756,3.73061125556033
"1110032A03Rik",3.32854490662061,3.56146907397196
"1110032F04Rik",2.33651937808389,0.251235249473739
"1110034G24Rik",1.44639143627209,1.95108689894923
"1110035H17Rik",1.25682948649714,2.15681586124834
"1110038B12Rik",6.4057289428201,5.25009607183446
"1110038F14Rik",5.697668083074,5.97375484047314
"1110051M20Rik",1.60471766221478,0.987328171791354
"1110059E24Rik",1.35507455793953,2.56553978476102
"1110059G10Rik",3.62801463988614,4.59406285437679
"1110060G06Rik",0.300481599299084,0.103293253328529
"1110065P20Rik",5.07719189430802,1.19280273488568
"1190001M18Rik",0.315168567054685,0.998513757071266
"1190002N15Rik",3.53689290013101,2.89841713643549
"1190007I07Rik",1.93930853708714,2.90806779225867
"1200007C13Rik",0.117918959507197,0.60291402865834
"1300002E11Rik",2.16778884242711,1.68173701510728
"1300014J16Rik",0.777322924463916,1.76126099949759
"1300017J02Rik",0.0667962888415222,0.455069823866286
"1500002C15Rik",1.21265021308513,0.590747827980681
"1500004A13Rik",0.619100829142659,1.20250758816817
"1500009C09Rik",4.63125105155199,0.0872246735112066
"1500009L16Rik",1.08726182141179,0.340543904171656
"1500011B03Rik",4.26650064720502,3.14581820680734
"1500011K16Rik",6.38042606640892,6.41798115873372
"1500015A07Rik",3.31845632980364,1.24368209075872
"1500015O10Rik",0.269702072626609,0.874868660112259
"1500026H17Rik",0.553197884827049,0.870951921598283
