"","other","preoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"1600029O15Rik",0.526776347286109,0.10892876822375,0.534256708564483,0.468000083784737,0.586022677886152,0.259387043370402,0.534256708564483,0.197401003564568,0.280630661593888,0.980088402239788
"1700001P01Rik",1.05527021508558,0.353603312469405,1.35186697303922,0.708039689049125,1.37521693851523,0,1.35186697303922,0,0.785869823117368,1.47985718183983
"1700011D18Rik",0.261454266408825,0,0.323320988802103,0.174639101013604,0.205749720146792,0.349278202027209,0.323320988802103,0.465704269369612,0,0
"1700016P03Rik",1.76838816355826,2.95854336857635,3.5290424113965,0.37658509732706,2.46141297895657,0.160108722467425,3.5290424113965,0,0.984030119371834,0.221042192074758
"1700018M17Rik",0.302588143328724,0,0.294333415326087,0.27198751241494,0.385112182418375,0,0.294333415326087,0,0.513008211717102,0.357351828010706
"2010008C14Rik",4.84139962821043,0.76456835323452,0.98700796103921,7.70438842761326,2.71598239974719,9.66708918774036,0.98700796103921,10.2360862835387,6.91553943762354,5.45519999049249
"2010109P13Rik",0.196579550452507,0,0.393159100905014,0,0.250192155121372,0,0.393159100905014,0,0,0
"2010203P06Rik",0.227042893067678,0,0.454085786135356,0,0.288963682086136,0,0.454085786135356,0,0,0
"2310074N15Rik",1.35803424220413,0.20043100978794,1.52292033454127,1.0690585073571,1.26380495065528,1.3277639858594,1.52292033454127,1.77035198114587,0.679783918327824,0.616780927839868
"2610035F20Rik",0.884607593687856,1.28335820378466,1.85457512672702,0.0857298285406878,1.19463873148913,0.131709617258543,1.85457512672702,0.0579139242389388,0.141238678526942,0.0636000637165318
"3110031N09Rik",0.287491387252125,0,0.335741984645601,0.209335691126318,0.365898129229977,0,0.335741984645601,0,0.205868265801388,0.464005945802828
"3110079O15Rik",0.49382556489796,0.260682962485216,0.863274003076265,0.14141535619035,0.652203715550605,0,0.863274003076265,0,0.0401906426769802,0.412338497132139
"4833403J16Rik",1.09967560033118,0.119886934021079,0.58453357459054,1.42795128956548,0.666203250286853,2.04677739637556,0.58453357459054,2.37779775247107,0.761054614499845,0.955032209144404
"4930429H19Rik",0.667549063981178,0.796593133607269,1.3504377456589,0.086151976216431,0.909218603977983,0.0352188463964896,1.3504377456589,0,0.0563501542343834,0.219336169658196
"4930432E11Rik",0.388428013440392,0.0400969114383497,0.677756885394495,0.0917238627302972,0.490957873581834,0.019388122550918,0.677756885394495,0.0258508300678907,0.00912561437741688,0.253369750278065
"4930439D14Rik",0.870763141681909,0.301682090594878,0.716291327565103,0.934790847648236,1.13566964310378,0,0.716291327565103,0,1.45548406815108,1.53584664432327
"4930447K03Rik",0.913462741340998,0.0271893603477057,0.529154543914196,1.13894824146529,0.626427515341283,1.48124126759189,0.529154543914196,1.56298822734465,1.28179535894567,0.487253140929676
"4930478M09Rik",0.49666452085056,0,0.276142365521851,0.62753834165686,0.632118481082531,0,0.276142365521851,0,1.26957566018406,0.738547033117896
"4930523C07Rik",1.54791993457131,0.256632214715549,0.808186399379347,2.0337758128823,1.84471554970698,0.408910062984269,0.808186399379347,0.489746273922989,0.610875767634198,5.30951130488159
"4930555A03Rik",1.17334882387367,0,0.4080169962873,1.69634557002753,0.436299379548155,2.90689758980041,0.4080169962873,3.87586345306721,0.191845067191305,0.585424613216135
"4930572O13Rik",0.2684100048069,0.074082660162079,0.395600731231587,0.132827201104696,0.348347520678061,0,0.395600731231587,0,0,0.425047043535026
"4930578C19Rik",0.375349780603498,0.0117114158870128,0.527935657879402,0.196382342397522,0.46080930383769,0.0494265005303492,0.527935657879402,0.0408046885571694,0.0654500184919854,0.514007850911482
"4933437G19Rik",1.10410390780376,0.307654574554039,1.21021944104347,0.9116966495628,1.21661916434919,0.595574618991403,1.21021944104347,0.642137951728365,1.02591963653795,1.12094409998897
"5330417C22Rik",0.527630096289717,0.267467149686665,0.861105552206038,0.203318704037554,0.658198245029278,0.103526950605159,0.861105552206038,0.126916890011549,0.0873701378691275,0.410949447037185
"6430500D05Rik",0.264315583067249,0,0.414498952590731,0.0998656868507956,0.336401651176499,0,0.414498952590731,0,0,0.319570197922546
