"","CellType","Age","Study","Species","Tissue","AC140244.1","Acy3","Cdc42ep2","Dubr","Fam43a","Gm22513","Gm9847","Ldlrap1","Nkx6-2","Nod1","Parvb","Rgs16","Ttyh2","Unc5b"
"astro_SRR1033783","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",3.20716032181208,2.20858423307481,2.83981186224447,3.43738065004112,4.63914837657878,7.29519023298202,1.88698724147908,1.45972213873624,0.558146983424717,2.03960469116123,2.25058163876545,5.00441933006801,4.92533071426354,0.854686443471172
"astro_SRR1033784","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",1.68180976341595,2.52590891947538,2.52003034645022,4.42387303171785,5.31809107418844,7.02800337558642,2.49654721706932,1.4330945349976,0.373574466315397,1.832505600435,2.47390557809915,4.84570564196189,4.61890403086329,1.02660106536084
"endo_SRR1033795","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",5.24545255301756,4.32837555342149,3.83332267467263,2.37536801711616,8.1134907980044,2.99447417960928,5.46972649256364,4.02893457140562,0.0474002730706855,3.39369001823155,4.99163119707196,5.4364222718423,5.97333827121406,4.62701951431
"endo_SRR1033796","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",5.00063129992638,4.27641702736622,3.82509488210893,2.16209473218006,8.04949266892121,0.764249465955497,5.51569220630045,3.89721577057461,0.0475036046456933,3.33666240638695,4.86160909582195,5.41175668604121,5.78768034824819,4.42245317468304
"macrophages_SRR1106141","other","5_months","SRP035309","mouse_C57BL6","peritoneum",0,4.2393895510826,5.38725338105797,2.8596532920555,8.25057132369745,0,0,3.42849677759584,0,2.15936339804459,3.14948697944,0,0.237866789529276,0.0558159832988145
"macrophages_SRR1106142","other","5_months","SRP035309","mouse_C57BL6","peritoneum",0,3.38875712973942,5.17832227383551,2.39606670706931,8.14616269954728,0,0,2.88046957793274,0,1.71397289210123,2.75649458545378,0.472054628179432,0.231494242899682,0.0805957160189678
"macrophages_SRR1106143","other","5_months","SRP035309","mouse_C57BL6","peritoneum",0,3.68690996244062,5.43776484906987,2.46529721968298,8.23343615589479,0,0,2.9464811789309,0,1.80959013504485,2.7034565785842,0,0.232144331061365,0.0543893979848215
"macrophages_SRR1106169","other","5_months","SRP035309","mouse_C57BL6","peritoneum",0,3.74466632806189,5.22211731370616,2.68600929070169,8.09078754484109,0,0,3.08290954484436,0,2.02196405930476,2.88641001081936,0,0.0753556918273764,0
"macrophages_SRR1106186","other","5_months","SRP035309","mouse_C57BL6","peritoneum",0,3.56073508084764,4.90441015123535,1.95615020752069,7.79839321646935,0,0,2.58667118591959,0,1.73919089863808,2.64383299035214,0,0.0824144602607789,0.0277291574285151
"macrophages_SRR1106188","other","5_months","SRP035309","mouse_C57BL6","peritoneum",0,3.976315520319,5.24471224290641,2.87647064932569,8.12455129021805,0,0,2.69303967193776,0,1.87559760311406,2.84653860601749,0,0.148364517427389,0.0671876066062719
"microglia_SRR1033793","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",2.68779774799257,1.08221303666806,4.04673716762764,0.627189781878015,6.70742190138735,2.13030020462622,1.38876737459619,4.01321330745731,0.216480195760671,2.42075147433392,2.63824126364693,1.21754266392512,2.37327689960311,0.130082993177922
"microglia_SRR1033794","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",1.87948761374481,1.30252909772765,3.92168657708186,0.459987168233958,6.40272600964894,2.72511449163141,1.34286325066168,4.07559942448754,1.2836050040602,2.64712021111841,2.52074651841855,1.46867398771581,2.30365961921613,0.424837687820626
"microglia_SRR1106118","other","5_months","SRP035309","mouse_C57BL6","brain",0,0,0.514967872237002,0.692571195307518,2.51775667642414,0,0,1.40452287053258,0.382278928287188,0.534090177578198,0.430330138870934,0,0.348840671031432,0.124719092922243
"microglia_SRR1106122","other","5_months","SRP035309","mouse_C57BL6","brain",0,0.594246502711503,1.26882388589169,1.09691086294709,2.11390341367674,0,0,1.70290557915483,0.997853331569177,0.541726734736974,0.724756403619537,0,0.458947660007522,0.0352400374714189
"microglia_SRR5483445","other","No_data","GSE86573","mouse_C57BL6","brain",1.31154892051653,0.491198664658375,1.11673616859657,2.87176772856169,6.67697448568836,4.57072818672083,0,3.56487899727623,0.84273340346057,2.96345871148985,0.870057587383852,0.995900066459327,0.993534538252478,0.179929242549467
"microglia_SRR5483446","other","No_data","GSE86573","mouse_C57BL6","brain",0,0.578427362400139,0.750228088336481,2.64752988858078,6.46332656290531,4.40134534256725,0,3.93367784435743,0.785438470969398,3.15719372609667,0.661933930787479,1.0898256086509,1.26571198731492,0.0674420953971905
"microglia_SRR5483447","other","No_data","GSE86573","mouse_C57BL6","brain",0,0,0.588074658898722,2.4522398543308,6.48427184374903,5.50973458401516,0,3.83306288185742,0,3.14511699937296,1.04981638006148,1.27938315019333,1.62567120510723,0.14526075134574
"monocytes_SRR5483448","other","No_data","GSE86573","mouse_C57BL6","blood",0,1.29208158550108,5.72586110336615,3.45713852644557,6.07952372043593,0,0,5.37609445934575,0.772754590375797,5.53647722270504,2.42288794045718,0.306584161365932,1.08262411222694,0
"monocytes_SRR5483449","other","No_data","GSE86573","mouse_C57BL6","blood",0,0.830194026755927,5.93647106422289,3.33317014873163,6.38468462446366,0,0,4.86935806061443,0.465125404211587,5.27700815348485,2.54220945888729,0.326846635333868,0.777844860625315,0.15474258239235
"monocytes_SRR5483450","other","No_data","GSE86573","mouse_C57BL6","blood",0,1.04842220547636,5.99697829153016,3.48125824453993,6.38467144025151,4.91020557781638,0,4.86492804103269,1.92077953388457,5.28939109581509,2.07729755540828,0.764123271761241,1.06971252329477,0.39062544840288
"monocytes_SRR5483451","other","No_data","GSE86573","mouse_C57BL6","blood",0,0.428204936726203,5.48041602476942,3.3477503941347,5.04310856399259,3.00940806930345,0,3.81841551659798,2.67981913574552,4.62200033859146,2.51127135119614,0.746472538543976,0.955720572914138,0.0936399797452758
"monocytes_SRR5483452","other","No_data","GSE86573","mouse_C57BL6","blood",0,1.18821293538452,5.20769611940312,3.05352184035529,5.81569047039252,0,0,4.01412824391036,1.17035948312303,4.57156115626481,2.43984822818672,0.503807766663616,0.827990019702343,0.107748544949574
"myeoligo_SRR1033791","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",8.48795608586089,7.47531186407927,7.13422504269091,3.96115620404608,4.03199943332812,0,0.960620085558628,5.17013309329553,9.12318746424837,3.23751986079199,5.44212960883664,3.92651531963363,6.49763658883115,5.88939796362173
"myeoligo_SRR1033792","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",7.28069521363111,6.40544313897875,7.06022654748759,4.13972049334314,4.9753999032404,2.2451512080624,1.89965095646069,5.66451390153173,8.88984989707788,3.08050152715425,5.46717938784615,4.19335345549934,6.4911090637941,5.73038998510567
"neuron_SRR1033785","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",0.902549099508837,1.13068807222872,3.80979806066853,4.33625304765306,6.66690813746202,8.79469245618707,4.88670281015158,1.40029125109478,0.232088164148223,1.91754426670973,1.86939684533409,4.18480551533835,1.67349255407135,4.67861583603892
"neuron_SRR1033786","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",2.97944308867515,2.05787321441578,3.30365294582584,5.20229703431061,6.81300808638182,2.35650776190337,4.25201234076948,1.62537294732994,0.260042151565281,2.09530418430647,1.54352120453257,3.50344966271846,1.31263249674184,4.82678324307683
"newoligo_SRR1033789","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",6.59616007942098,5.59321832283751,5.74782774614401,5.64236397568626,6.50625815965222,3.21255569636951,1.70673670364476,5.17856107958494,8.00951704696253,3.12586261097369,6.60960350771547,6.28124540520812,6.08596404408035,5.51054959903187
"newoligo_SRR1033790","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",5.42371443569947,4.49483278063799,5.36311706229018,3.97949893997182,7.28624298774441,0,0.457056124811953,4.93291604796946,7.5714631839018,2.67808647601212,6.87931198153305,6.83603085133012,6.3545325532098,4.87115136694689
"preoligo_SRR1033787","preoligo","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",1.3939969113939,0.831663249104825,1.62270715925261,0.986845423776186,3.65985844612584,1.0953588303296,0.390894736715376,1.00505974953363,0.575576407114526,0.479802136726175,1.14121494881173,0.960976082557754,1.46887994877895,0.584848605591309
"preoligo_SRR1033788","preoligo","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",0,0.75789477225042,1.54160475207181,0.210735771854296,3.85558552295604,0,0,1.06499405611792,0.792604782012434,0.099349502559571,1.21431641016124,1.38884665437763,1.31832254551841,0.622173061223734
