"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.516826270120013,NA,0
"mouse_C57BL6",0.516826270120013,1,0,NA
