"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues","StudyGSE20164","StudyGSE20292","StudyGSE26927","StudyGSE33000","StudyGSE20333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissuecortex_brain","Tissuesubstantia_nigra_brain","p.value.StudyGSE20164","p.value.StudyGSE20292","p.value.StudyGSE26927","p.value.StudyGSE33000","p.value.StudyGSE20333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissuecortex_brain","p.value.Tissuesubstantia_nigra_brain"
"1","HuAgeMSNDsplit_03","neuronBYoFC5__","User",3.26386137573431e-16,5.63785129692462e-18,-7.00665653968757e-17,6.28837260041593e-17,1.79869140415345e-16,1.02999206386123e-17,5.35595873207839e-17,0.303095046411412,-0.199541962100136,-0.261175373840638,-0.668154397122619,-0.264314193565559,1.22731685925359e-16,1.30537941567255e-16,-1.3238108526048e-16,1,0.999999999999998,0.999999999999999,0.999999999999996,1,0.999999999999999,4.02547075678372e-18,1.75033515950695e-08,1.08115625391132e-13,1.62185038916596e-102,5.34589980541331e-14,0.999999999999997,0.999999999999997,0.999999999999997
"2","HuAgeMSNDsplit_03","NeuronByothers_Zhang_Cuffdiff2FCover20__","User",0.00419545673216819,5.63785129692462e-18,-7.00665653968757e-17,6.28837260041593e-17,1.79869140415345e-16,1.02999206386123e-17,5.35595873207839e-17,0.303095046411412,-0.199541962100136,-0.261175373840638,-0.668154397122619,-0.264314193565559,1.22731685925359e-16,1.30537941567255e-16,-1.3238108526048e-16,1,0.999999999999998,0.999999999999999,0.999999999999996,1,0.999999999999999,4.02547075678372e-18,1.75033515950695e-08,1.08115625391132e-13,1.62185038916596e-102,5.34589980541331e-14,0.999999999999997,0.999999999999997,0.999999999999997
"3","HuAgeMSNDsplit_04","nscBYnpc_Walker_FC5___","User",1.01743768392739e-72,7.34225099338973e-17,5.52367125563474e-17,-4.19789528659231e-17,9.75578667329613e-17,4.47589149988117e-17,-1.63551897719438e-16,-0.376202105199139,0.414361974946269,0.469581099966649,0.130156569428458,0.640308704584729,2.7376104855259e-18,2.02630609773963e-16,1.8702487475375e-18,0.999999999999998,0.999999999999999,0.999999999999999,0.999999999999998,0.999999999999999,0.999999999999996,9.19163837984015e-28,7.03740439551061e-34,3.02173955475459e-44,0.000258061710806315,1.12855373183882e-91,1,0.999999999999996,1
"4","HuAgeMSNDsplit_04","MicrogliByothers_Zhang_Cuffdiff2FCover20__","User",1.97005356239768e-72,7.34225099338973e-17,5.52367125563474e-17,-4.19789528659231e-17,9.75578667329613e-17,4.47589149988117e-17,-1.63551897719438e-16,-0.376202105199139,0.414361974946269,0.469581099966649,0.130156569428458,0.640308704584729,2.7376104855259e-18,2.02630609773963e-16,1.8702487475375e-18,0.999999999999998,0.999999999999999,0.999999999999999,0.999999999999998,0.999999999999999,0.999999999999996,9.19163837984015e-28,7.03740439551061e-34,3.02173955475459e-44,0.000258061710806315,1.12855373183882e-91,1,0.999999999999996,1
"5","HuAgeMSNDsplit_04","MonoByMicro_Zhang_Cuffdiff2FCover20__","User",4.3507336944599e-07,7.34225099338973e-17,5.52367125563474e-17,-4.19789528659231e-17,9.75578667329613e-17,4.47589149988117e-17,-1.63551897719438e-16,-0.376202105199139,0.414361974946269,0.469581099966649,0.130156569428458,0.640308704584729,2.7376104855259e-18,2.02630609773963e-16,1.8702487475375e-18,0.999999999999998,0.999999999999999,0.999999999999999,0.999999999999998,0.999999999999999,0.999999999999996,9.19163837984015e-28,7.03740439551061e-34,3.02173955475459e-44,0.000258061710806315,1.12855373183882e-91,1,0.999999999999996,1
"6","HuAgeMSNDsplit_04","microgliaBYoFC5__","User",2.9060004139391e-21,7.34225099338973e-17,5.52367125563474e-17,-4.19789528659231e-17,9.75578667329613e-17,4.47589149988117e-17,-1.63551897719438e-16,-0.376202105199139,0.414361974946269,0.469581099966649,0.130156569428458,0.640308704584729,2.7376104855259e-18,2.02630609773963e-16,1.8702487475375e-18,0.999999999999998,0.999999999999999,0.999999999999999,0.999999999999998,0.999999999999999,0.999999999999996,9.19163837984015e-28,7.03740439551061e-34,3.02173955475459e-44,0.000258061710806315,1.12855373183882e-91,1,0.999999999999996,1
"7","HuAgeMSNDsplit_04","macrophagesBYoFC5__","User",7.77114097404798e-08,7.34225099338973e-17,5.52367125563474e-17,-4.19789528659231e-17,9.75578667329613e-17,4.47589149988117e-17,-1.63551897719438e-16,-0.376202105199139,0.414361974946269,0.469581099966649,0.130156569428458,0.640308704584729,2.7376104855259e-18,2.02630609773963e-16,1.8702487475375e-18,0.999999999999998,0.999999999999999,0.999999999999999,0.999999999999998,0.999999999999999,0.999999999999996,9.19163837984015e-28,7.03740439551061e-34,3.02173955475459e-44,0.000258061710806315,1.12855373183882e-91,1,0.999999999999996,1
"8","HuAgeMSNDsplit_04","monocytesBYoFC5__","User",7.38219729386467e-06,7.34225099338973e-17,5.52367125563474e-17,-4.19789528659231e-17,9.75578667329613e-17,4.47589149988117e-17,-1.63551897719438e-16,-0.376202105199139,0.414361974946269,0.469581099966649,0.130156569428458,0.640308704584729,2.7376104855259e-18,2.02630609773963e-16,1.8702487475375e-18,0.999999999999998,0.999999999999999,0.999999999999999,0.999999999999998,0.999999999999999,0.999999999999996,9.19163837984015e-28,7.03740439551061e-34,3.02173955475459e-44,0.000258061710806315,1.12855373183882e-91,1,0.999999999999996,1
"9","HuAgeMSNDsplit_04","PGBCbyQGBC_Aulestia_FC5___","User",0.021335317931993,7.34225099338973e-17,5.52367125563474e-17,-4.19789528659231e-17,9.75578667329613e-17,4.47589149988117e-17,-1.63551897719438e-16,-0.376202105199139,0.414361974946269,0.469581099966649,0.130156569428458,0.640308704584729,2.7376104855259e-18,2.02630609773963e-16,1.8702487475375e-18,0.999999999999998,0.999999999999999,0.999999999999999,0.999999999999998,0.999999999999999,0.999999999999996,9.19163837984015e-28,7.03740439551061e-34,3.02173955475459e-44,0.000258061710806315,1.12855373183882e-91,1,0.999999999999996,1
"10","HuAgeMSNDsplit_06","myeoligoBYoFC5__","User",3.30471206355368e-09,1.52465930505774e-16,4.01967955449001e-17,8.36461976072567e-17,-1.44090468723324e-16,-8.99887803162969e-18,2.75170511376821e-16,0.116991620964471,-0.180408983437444,-0.218259077847342,0.50242673519487,-0.651596349495655,-4.46691295064028e-17,-3.56377254095985e-16,8.74409052109559e-17,0.999999999999997,0.999999999999999,0.999999999999998,0.999999999999997,1,0.999999999999994,0.00103141376435991,3.6729077137391e-07,6.56989542162519e-10,2.23760193593847e-51,6.24074725940176e-96,0.999999999999999,0.999999999999992,0.999999999999998
