"Module","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS"
"MEHuAgeMSNDsplit_01","-0.488456608553688","-0.60758056129689","-0.580316692344433","-0.424637203568023","3.00273185464618e-48","2.75833137934439e-80","9.15768225544817e-72","1.14896223817768e-35"
"MEHuAgeMSNDsplit_02","0.563697168293301","0.670471280357864","0.205818986884825","0.579793104871724","5.93987145212167e-67","1.79665686097774e-103","6.02304018789579e-09","1.31105987675885e-71"
"MEHuAgeMSNDsplit_03","-0.203183754001015","-0.256727644792481","-0.668008992520925","-0.19598640164678","9.46507328351218e-09","2.88640607371415e-13","1.8607653251409e-102","3.15510042560422e-08"
"MEHuAgeMSNDsplit_04","0.428998822412745","0.482361274853698","0.123285057306951","0.669620205626498","1.91800398322963e-36","6.27361565503373e-47","0.000540817623360123","4.04090009639698e-103"
"MEHuAgeMSNDsplit_05","0.258999361619188","0.383000965633343","0.783556493929949","-0.291938077453016","1.75206151121555e-13","8.54392637341295e-29","8.58359453170637e-164","7.20295640708508e-17"
"MEHuAgeMSNDsplit_06","-0.143943875976818","-0.19208020173539","0.503972807484898","-0.610415980129033","5.2304947116144e-05","5.95280555324962e-08","9.87773103925328e-52","3.20976814910599e-81"
"MEHuAgeMSNDsplit_07","-0.292993027831707","-0.328331714874194","-0.546271446393559","-0.267439777247168","5.51317926252385e-17","3.67127038821095e-21","3.42372388367906e-62","2.62655471178928e-14"
"MEHuAgeMSNDsplit_08","0.211837819208964","0.169453596665408","0.133601798504185","0.238858427007013","2.09705021523083e-09","1.82696113660699e-06","0.000175630519686585","1.23823909389637e-11"
"MEHuAgeMSNDsplit_09","-0.113810296403816","0.191588319016477","0.166615370335335","-0.430761778619485","0.00141300902284937","6.44227478379716e-08","2.72389828811256e-06","9.23342929949117e-37"
"MEHuAgeMSNDsplit_10","0.460408720955264","0.541949352801973","-0.0820180925180131","0.508339729271335","2.17220388148744e-42","4.7044476864823e-61","0.021635154432486","9.58747561061648e-53"
"MEHuAgeMSNDsplit_11","0.18014775308777","0.487631446842048","0.648407184246179","-0.355225352984788","3.82057429182605e-07","4.54752104028061e-48","1.03859375867035e-94","9.90721671786528e-25"
"MEHuAgeMSNDsplit_12","-0.334177661896873","-0.530495512347293","-0.195502245687591","-0.265398252230014","6.58540694828111e-22","4.06995905683196e-58","3.41580792358082e-08","4.18249631326878e-14"
"MEHuAgeMSNDsplit_13","0.350956586886386","0.552559965738518","0.538018053435772","0.477716854014026","3.85395126696424e-24","7.0600405330219e-64","4.93570097567185e-60","6.10370777022021e-46"
"MEHuAgeMSNDsplit_14","0.225628290025947","0.217939178958226","0.575158321745815","0.465467703911102","1.65788888931441e-10","6.96696198277742e-10","3.05397946849176e-70","2.08860818669332e-43"
"MEHuAgeMSNDsplit_15","-0.555541178780773","-0.620299243028774","0.295574635300764","-0.36134992803625","1.08905291530882e-64","1.49644897416132e-84","2.85244170219941e-17","1.36036999444133e-25"
"MEHuAgeMSNDsplit_16","0.330753391490851","0.411530163330276","-0.0582895877643741","0.692076980815191","1.80986207305198e-21","2.13372812170323e-33","0.102913286151686","8.08336018608894e-113"
"MEHuAgeMSNDsplit_17","0.0482199532629955","-0.0210455534734769","-0.38429860959698","-0.0163322001372317","0.177404720324781","0.556263541212142","5.39456355510826e-29","0.647956849137036"
"MEHuAgeMSNDsplit_18","0.201969694493425","0.16481584531566","-0.72062437262682","0.289896552435862","1.16328203633535e-08","3.49688519035978e-06","1.62158903868315e-126","1.20455375378187e-16"
"MEHuAgeMSNDsplit_19","0.0437995314661296","0.0650339223362368","0.240895906955422","0.647163430437804","0.2205684314765","0.0687633711324822","8.18734833456103e-12","3.08133626803132e-94"
"MEHuAgeMSNDsplit_20","0.213300916564264","0.228338985015237","-0.247085951673763","0.238858427007013","1.61490165017131e-09","9.86931814802567e-11","2.27588553899414e-12","1.23823909389637e-11"
"MEHuAgeMSNDsplit_21","-0.16128313612368","-0.101784588334996","-0.123285057306951","0.00408305003430791","5.66647746367871e-06","0.00433313408620509","0.000540817623360123","0.909124068174213"
"MEHuAgeMSNDsplit_22","0.306409941877124","0.400849281433887","-0.18312215625091","0.563460904734492","1.66723615265898e-18","1.27356386630164e-31","2.43077238900393e-07","6.9219379947307e-67"
