"Module","StudyGSE20164","StudyGSE20292","StudyGSE26927","StudyGSE33000","StudyGSE20333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissuecortex_brain","Tissuesubstantia_nigra_brain","p.value.StudyGSE20164","p.value.StudyGSE20292","p.value.StudyGSE26927","p.value.StudyGSE33000","p.value.StudyGSE20333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissuecortex_brain","p.value.Tissuesubstantia_nigra_brain"
"MEgrey60","-1.23138261740041e-16","-1.60814287233912e-16","-2.67310045626301e-16","2.01661604082304e-17","-3.1523178165016e-17","1.01264482910146e-16","0.0918549754117113","0.044262353310562","-0.0220083397902728","-0.376642736311829","0.0452664861396004","-2.37223435339828e-16","-7.405100838076e-17","-3.72748706900516e-16","0.999999999999997","0.999999999999996","0.999999999999994","1","0.999999999999999","0.999999999999998","0.010074038906265","0.215725255956303","0.538340238315213","7.89339455497897e-28","0.205481459891512","0.999999999999995","0.999999999999998","0.999999999999992"
"MEdarkred","-1.04896560187973e-16","-2.57104992677781e-16","-2.13858878522766e-17","-1.27014284506677e-16","7.90247858470372e-17","7.06899816460549e-17","0.0786939725286687","-0.128143269494663","-0.0933608405965872","-0.149657691095801","0.0900712493000245","-2.93818788743572e-16","-2.01119502996061e-17","-3.87060175577325e-17","0.999999999999998","0.999999999999994","1","0.999999999999997","0.999999999999998","0.999999999999998","0.027571269694433","0.000321752116499473","0.00890584709675137","2.58272418339579e-05","0.0116324962074449","0.999999999999993","1","0.999999999999999"
"MEblack","1.53573849600783e-16","-2.99646375420681e-17","-5.55585850763041e-17","3.25260651745651e-16","-8.44085272597855e-17","-1.52113564799716e-16","0.273948430798222","-0.27129196841544","-0.319684891677461","-0.448290519359613","-0.276604475773918","1.87838026383114e-16","2.64518225032151e-16","-7.83200544349216e-17","0.999999999999997","0.999999999999999","0.999999999999999","0.999999999999993","0.999999999999998","0.999999999999997","5.80234287026491e-15","1.07994493294594e-14","4.35771994295604e-20","5.06782546919589e-40","3.09651985810724e-15","0.999999999999996","0.999999999999994","0.999999999999998"
"MEmidnightblue","1.2093597607718e-16","-9.22656048785164e-17","-8.18979216041238e-17","3.66894015169095e-16","-1.1097148048568e-16","-9.84455572616838e-17","0.405711156964969","-0.553396456308484","-0.601769640043981","0.286706116128423","-0.417093290905213","2.26706674266719e-16","3.29841405924403e-16","-2.42048135007389e-17","0.999999999999997","0.999999999999998","0.999999999999998","0.999999999999992","0.999999999999998","0.999999999999998","2.01668448376388e-32","4.1866357390343e-64","2.11815163970142e-78","2.66806763081181e-16","2.38997761596259e-34","0.999999999999995","0.999999999999993","0.999999999999999"
"MEtan","-5.54298360683214e-17","-9.70360944374526e-17","-1.67400815431762e-16","2.72568426162856e-16","-2.0870891820346e-17","-1.99926880606327e-16","0.3557426063353","-0.354743052967704","-0.507456344066059","-0.215828870087451","-0.297217405868881","4.64038529823796e-17","5.29307500607423e-16","-1.15033850500712e-16","0.999999999999999","0.999999999999998","0.999999999999996","0.999999999999994","1","0.999999999999996","8.39173321297666e-25","1.15627077223873e-24","1.54099227353426e-52","1.02371369544053e-09","1.8688954881106e-17","0.999999999999999","0.999999999999988","0.999999999999997"
"MEturquoise","-3.42878937048541e-17","-1.19045398538908e-16","-1.13787018002354e-16","1.37693675905659e-16","7.02020906684364e-17","-1.58727198051878e-16","0.474793934541769","-0.462653563478544","-0.586086294081173","-0.583129508986026","-0.453437658757222","6.83047368665868e-17","9.66024135684584e-17","5.06864515636973e-17","0.999999999999999","0.999999999999997","0.999999999999997","0.999999999999997","0.999999999999998","0.999999999999996","2.51009592878393e-45","7.72159834915646e-43","1.68152066368777e-73","1.31748307281265e-72","5.13672235690024e-41","0.999999999999998","0.999999999999998","0.999999999999999"
"MEmagenta","-5.93600689435814e-17","6.82505267579625e-17","-5.5944832100252e-17","5.36788495597573e-16","-2.12503625807159e-17","-1.03432887255117e-16","0.0396059950486001","-0.129997442848068","0.172708998093366","0.11718507737879","-0.469885749212885","2.05131051034257e-16","1.91036422791946e-16","-9.25366554216378e-17","0.999999999999999","0.999999999999998","0.999999999999999","0.999999999999988","1","0.999999999999998","0.268020323418728","0.000262630517717023","1.14608788017988e-06","0.00101160518564606","2.61588119260836e-44","0.999999999999995","0.999999999999996","0.999999999999998"
"MEbrown","5.63785129692462e-18","-7.00665653968757e-17","6.28837260041593e-17","1.79869140415345e-16","1.02999206386123e-17","5.35595873207839e-17","0.303095046411412","-0.199541962100136","-0.261175373840638","-0.668154397122619","-0.264314193565559","1.22731685925359e-16","1.30537941567255e-16","-1.3238108526048e-16","1","0.999999999999998","0.999999999999999","0.999999999999996","1","0.999999999999999","4.02547075678372e-18","1.75033515950695e-08","1.08115625391132e-13","1.62185038916596e-102","5.34589980541331e-14","0.999999999999997","0.999999999999997","0.999999999999997"
"MElightgreen","1.35511719033532e-16","-6.67597487707949e-17","4.89517280877205e-17","-7.48099499014998e-18","9.95839695427936e-17","-7.48099499014998e-18","0.130364142597274","0.173054315284013","0.137746855916924","-0.682896651541766","0.169074928559091","7.9580439460436e-17","2.20093041014557e-17","1.91578523878189e-16","0.999999999999997","0.999999999999998","0.999999999999999","1","0.999999999999998","1","0.000252213670109219","1.09021734548765e-06","0.00010918568454488","9.5103502029222e-109","1.92769634836441e-06","0.999999999999998","1","0.999999999999996"
"MEred","1.52465930505774e-16","4.01967955449001e-17","8.36461976072567e-17","-1.44090468723324e-16","-8.99887803162969e-18","2.75170511376821e-16","0.116991620964471","-0.180408983437444","-0.218259077847342","0.50242673519487","-0.651596349495655","-4.46691295064028e-17","-3.56377254095985e-16","8.74409052109559e-17","0.999999999999997","0.999999999999999","0.999999999999998","0.999999999999997","1","0.999999999999994","0.00103141376435991","3.6729077137391e-07","6.56989542162519e-10","2.23760193593847e-51","6.24074725940176e-96","0.999999999999999","0.999999999999992","0.999999999999998"
