"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues","StudyGSE20164","StudyGSE20292","StudyGSE26927","StudyGSE33000","StudyGSE20333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissuecortex_brain","Tissuesubstantia_nigra_brain","p.value.StudyGSE20164","p.value.StudyGSE20292","p.value.StudyGSE26927","p.value.StudyGSE33000","p.value.StudyGSE20333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissuecortex_brain","p.value.Tissuesubstantia_nigra_brain"
"1","blue","HDbyO_FC1.25__","User",0.0449621480524418,-0.0145427828542799,-0.0035880500147563,0.0177211720360866,-0.0114526642559359,-0.0113848502168789,0.00593954631987898,-0.497910295250215,0.563697168293301,0.670471280357864,0.205818986884825,0.579793104871724,0.0219561285416266,-0.014019377703982,0.00114180284518825,0.68432404642129,0.920101850811512,0.620289553246788,0.748836852814776,0.750274453464622,0.868122789243685,2.38137008593363e-50,5.93987145212167e-67,1.79665686097774e-103,6.02304018789579e-09,1.31105987675885e-71,0.53930474177908,0.695105862973167,0.974536264323415
"2","brown","PDbyO_FC1.25__","User",1.43772252210997e-21,-0.00701982763806262,-0.00695578116895739,-0.0158693849217446,0.0289602779902848,-0.00564651845433914,0.00242441995359475,0.274398760341682,-0.203183754001015,-0.256727644792481,-0.668008992520925,-0.19598640164678,0.0126945892140764,0.0225363691692404,-0.0140883738156292,0.844419208945018,0.84582082498059,0.657287160618795,0.418075935396702,0.874573805770492,0.945964310625522,5.21881760767362e-15,9.46507328351218e-09,2.88640607371415e-13,1.8607653251409e-102,3.15510042560422e-08,0.722667760428299,0.528634698161427,0.693681002348999
"3","darkgreen","MSbyO_FC1.25__","User",7.72401895974079e-20,-0.000790629051385892,-0.0124008044369648,-0.0216831351644462,0.0204022431616734,0.000504973195103501,0.00571349317735266,-0.261194440399903,0.306409941877124,0.400849281433887,-0.18312215625091,0.563460904734492,-0.00890820508125634,0.0178681212698977,-0.0278084241328106,0.98236635575308,0.728830354268307,0.544361801700896,0.568399175802476,0.988736884799839,0.873098605704547,1.07657123156888e-13,1.66723615265898e-18,1.27356386630164e-31,2.43077238900393e-07,6.9219379947307e-67,0.803332390098029,0.617392671629531,0.436837952357433
"4","darkgreen","ADbyO_FC1.25__","User",0.0109269005476179,-0.000790629051385892,-0.0124008044369648,-0.0216831351644462,0.0204022431616734,0.000504973195103501,0.00571349317735266,-0.261194440399903,0.306409941877124,0.400849281433887,-0.18312215625091,0.563460904734492,-0.00890820508125634,0.0178681212698977,-0.0278084241328106,0.98236635575308,0.728830354268307,0.544361801700896,0.568399175802476,0.988736884799839,0.873098605704547,1.07657123156888e-13,1.66723615265898e-18,1.27356386630164e-31,2.43077238900393e-07,6.9219379947307e-67,0.803332390098029,0.617392671629531,0.436837952357433
"5","darkgreen","PDbyO_FC1.25__","User",0.0182121293569337,-0.000790629051385892,-0.0124008044369648,-0.0216831351644462,0.0204022431616734,0.000504973195103501,0.00571349317735266,-0.261194440399903,0.306409941877124,0.400849281433887,-0.18312215625091,0.563460904734492,-0.00890820508125634,0.0178681212698977,-0.0278084241328106,0.98236635575308,0.728830354268307,0.544361801700896,0.568399175802476,0.988736884799839,0.873098605704547,1.07657123156888e-13,1.66723615265898e-18,1.27356386630164e-31,2.43077238900393e-07,6.9219379947307e-67,0.803332390098029,0.617392671629531,0.436837952357433
"6","grey60","PDbyO_FC1.25__","User",6.51500382819316e-07,-0.0131531924003289,-0.0943908946864399,0.00680424102479146,0.0345118136552501,0.0112930369086783,0.0423114969523634,0.0387197631594566,0.0482199532629955,-0.0210455534734769,-0.38429860959698,-0.0163322001372317,0.00976921678748905,0.0291948418783341,-0.0452669579592373,0.713083765968585,0.00817791321526657,0.84913911628175,0.33450652514738,0.752222197683032,0.236665874372865,0.278884060519826,0.177404720324781,0.556263541212142,5.39456355510826e-29,0.647956849137036,0.784770088858933,0.414314117976277,0.205476730964757
"7","lightcyan","MSbyO_FC1.25__","User",0.000718276774480604,-0.010374011492427,-0.00692430704602093,-0.00340212051239573,0.0162910303518502,-0.00757459792655251,0.000276915099594738,-0.298521316451026,0.330753391490851,0.411530163330276,-0.0582895877643741,0.692076980815191,0.0757019401063648,0.0175754411508167,-0.0195027292428122,0.771803492136094,0.846509794831725,0.924229315715467,0.648784623217828,0.832299441352208,0.993823436575818,1.33347890933846e-17,1.80986207305198e-21,2.13372812170323e-33,0.102913286151686,8.08336018608894e-113,0.0340639360822924,0.623168235988408,0.585576786618312
"8","lightgreen","PDbyO_FC1.25__","User",1.4517155637049e-24,-0.0151177858007424,-0.0407904633256506,0.00921587075509729,0.0180949298500379,-0.0035348123657245,-0.0618198831523845,-0.0206059846205916,0.201969694493425,0.16481584531566,-0.72062437262682,0.289896552435862,0.0834940119828395,0.0248339081040266,-0.0413995612255352,0.672553006058218,0.253959220473799,0.79668620140055,0.612933134162388,0.921283463367875,0.0836571413208791,0.564542081203699,1.16328203633535e-08,3.49688519035978e-06,1.62158903868315e-126,1.20455375378187e-16,0.0193776035862769,0.487464596567081,0.246931551386549
"9","magenta","HDbyO_FC1.25__","User",5.62248651336049e-19,-0.00840941809201358,0.00686135880014801,0.00460793537754864,0.00959282988958733,0.00344299905752387,-0.0114326376832685,0.0288633691821018,-0.113810296403816,0.191588319016477,0.166615370335335,-0.430761778619485,0.014364978077702,0.00747797704252067,0.00677715237143993,0.814137197957393,0.847888085422901,0.897502444079394,0.788563200129462,0.92332167086029,0.74926130893522,0.419635952126895,0.00141300902284937,6.44227478379716e-08,2.72389828811256e-06,9.23342929949117e-37,0.687979649728099,0.834407491642452,0.849732562470687
"10","pink","ADbyO_FC1.25__","User",3.18736288264789e-23,-0.00131771508564315,0.0215597742114743,0.0176996396277803,-0.0430558647668213,0.00812547777575633,-0.032636422452237,-0.171237668497581,0.211837819208964,0.169453596665408,0.133601798504185,0.238858427007013,0.00162526779019417,-0.0405508304986786,0.0267218698123895,0.970614837873934,0.546654690915838,0.620714527880999,0.228512627975273,0.820303904713719,0.361450382053019,1.41650252733823e-06,2.09705021523083e-09,1.82696113660699e-06,0.000175630519686585,1.23823909389637e-11,0.963760648976193,0.256761787348225,0.454971840067902
