"Module","StudyGSE20164","StudyGSE20292","StudyGSE26927","StudyGSE33000","StudyGSE20333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissuecortex_brain","Tissuesubstantia_nigra_brain","p.value.StudyGSE20164","p.value.StudyGSE20292","p.value.StudyGSE26927","p.value.StudyGSE33000","p.value.StudyGSE20333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissuecortex_brain","p.value.Tissuesubstantia_nigra_brain"
"MEHuAgeMSNDsplit_06","-0.00174896729549","0.00217171448261566","0.0118643569767724","0.0185144413612444","-0.00546289183793787","-0.00754452363181583","0.0998568887933913","-0.143943875976818","-0.19208020173539","0.503972807484898","-0.610415980129033","0.004113701839672","0.0271021790269047","0.0108102946794436","0.961004578994164","0.951589327812087","0.740128169370763","0.604722321572623","0.878620623697981","0.832955466522159","0.00513359320000709","5.2304947116144e-05","5.95280555324962e-08","9.87773103925328e-52","3.20976814910599e-81","0.90844484001371","0.448577066355954","0.762488837358521"
"MEHuAgeMSNDsplit_05","0.0126261063660717","-0.0305928474942379","0.00122734727345922","0.0209895592773624","-0.00651874488224519","-0.00469625403598423","-0.30205662633137","0.258999361619188","0.383000965633343","0.783556493929949","-0.291938077453016","-0.0184414547204415","0.0214680867345946","-0.00865560221352382","0.724102707985911","0.392311367437186","0.972629229814221","0.557314805231045","0.85539786438303","0.895549043533583","5.29334650572774e-18","1.75206151121555e-13","8.54392637341295e-29","8.58359453170637e-164","7.20295640708508e-17","0.606147297787818","0.54836195766116","0.808799767141215"
"MEHuAgeMSNDsplit_11","0.00888858721406563","-0.00632629871022821","-0.0242885565695087","0.0583260837747358","0.0155623557400079","-0.00654988980470003","-0.258196297745194","0.18014775308777","0.487631446842048","0.648407184246179","-0.355225352984788","-8.95820814772809e-05","0.0547019142562471","-0.016243066281549","0.803756662228082","0.859621891689078","0.497077885603251","0.102697597306675","0.663506501440263","0.854714645542283","2.09138425963491e-13","3.82057429182605e-07","4.54752104028061e-48","1.03859375867035e-94","9.90721671786528e-25","0.998001862855295","0.125928708143246","0.649749551932668"
"MEHuAgeMSNDsplit_19","0.00701982763806262","0.0399406620063662","0.02224297778041","-0.0336028720476361","-0.000137719962300955","0.00833570963065794","-0.121855760522316","0.0437995314661296","0.0650339223362368","0.240895906955422","0.647163430437804","-0.0222870579270033","-0.0307460465094637","0.023922611224186","0.844419208945018","0.263994371471699","0.534016438572159","0.347399914647441","0.996928147054944","0.81573693391497","0.000627900564767441","0.2205684314765","0.0687633711324822","8.18734833456103e-12","3.08133626803132e-94","0.533206107624546","0.38994398191058","0.503584738459587"
"MEHuAgeMSNDsplit_08","-0.00131771508564315","0.0215597742114743","0.0176996396277803","-0.0430558647668213","0.00812547777575633","-0.032636422452237","-0.171237668497581","0.211837819208964","0.169453596665408","0.133601798504185","0.238858427007013","0.00162526779019417","-0.0405508304986786","0.0267218698123895","0.970614837873934","0.546654690915838","0.620714527880999","0.228512627975273","0.820303904713719","0.361450382053019","1.41650252733823e-06","2.09705021523083e-09","1.82696113660699e-06","0.000175630519686585","1.23823909389637e-11","0.963760648976193","0.256761787348225","0.454971840067902"
"MEHuAgeMSNDsplit_22","-0.000790629051385892","-0.0124008044369648","-0.0216831351644462","0.0204022431616734","0.000504973195103501","0.00571349317735266","-0.261194440399903","0.306409941877124","0.400849281433887","-0.18312215625091","0.563460904734492","-0.00890820508125634","0.0178681212698977","-0.0278084241328106","0.98236635575308","0.728830354268307","0.544361801700896","0.568399175802476","0.988736884799839","0.873098605704547","1.07657123156888e-13","1.66723615265898e-18","1.27356386630164e-31","2.43077238900393e-07","6.9219379947307e-67","0.803332390098029","0.617392671629531","0.436837952357433"
"MEHuAgeMSNDsplit_10","-0.0120990203318144","-0.00925339214331888","0.00773013458196245","-0.0131446940178019","-0.00922723747416397","-0.0202487102417948","-0.371663504964857","0.460408720955264","0.541949352801973","-0.0820180925180131","0.508339729271335","0.0180512315369398","-0.0118681788287363","-0.00528544220272625","0.735179005461202","0.795876660414106","0.828908514947417","0.71326096213636","0.796440936178848","0.571314040754082","4.35157442906727e-27","2.17220388148744e-42","4.7044476864823e-61","0.021635154432486","9.58747561061648e-53","0.613791230892883","0.740047477944497","0.882534322273697"
"MEHuAgeMSNDsplit_20","-0.0116198512097624","0.00922191802038242","0.0102709587621061","-0.0104038854779198","0.00179035950991241","-0.0238768631793422","-0.142917712671645","0.213300916564264","0.228338985015237","-0.247085951673763","0.238858427007013","0.00839584489329926","-0.00392191359568599","-0.00379373203401257","0.745296359036598","0.796555714121892","0.774008527119696","0.771164616840434","0.960082447615495","0.504401326468674","5.92084097931945e-05","1.61490165017131e-09","9.86931814802567e-11","2.27588553899414e-12","1.23823909389637e-11","0.814431726780086","0.912695847447581","0.915538404146499"
"MEHuAgeMSNDsplit_16","-0.010374011492427","-0.00692430704602093","-0.00340212051239573","0.0162910303518502","-0.00757459792655251","0.000276915099594738","-0.298521316451026","0.330753391490851","0.411530163330276","-0.0582895877643741","0.692076980815191","0.0757019401063648","0.0175754411508167","-0.0195027292428122","0.771803492136094","0.846509794831725","0.924229315715467","0.648784623217828","0.832299441352208","0.993823436575818","1.33347890933846e-17","1.80986207305198e-21","2.13372812170323e-33","0.102913286151686","8.08336018608894e-113","0.0340639360822924","0.623168235988408","0.585576786618312"
"MEHuAgeMSNDsplit_02","-0.0145427828542799","-0.0035880500147563","0.0177211720360866","-0.0114526642559359","-0.0113848502168789","0.00593954631987898","-0.497910295250215","0.563697168293301","0.670471280357864","0.205818986884825","0.579793104871724","0.0219561285416266","-0.014019377703982","0.00114180284518825","0.68432404642129","0.920101850811512","0.620289553246788","0.748836852814776","0.750274453464622","0.868122789243685","2.38137008593363e-50","5.93987145212167e-67","1.79665686097774e-103","6.02304018789579e-09","1.31105987675885e-71","0.53930474177908","0.695105862973167","0.974536264323415"
