"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues","StudyGSE20164","StudyGSE20292","StudyGSE26927","StudyGSE33000","StudyGSE20333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissuecortex_brain","Tissuesubstantia_nigra_brain","p.value.StudyGSE20164","p.value.StudyGSE20292","p.value.StudyGSE26927","p.value.StudyGSE33000","p.value.StudyGSE20333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissuecortex_brain","p.value.Tissuesubstantia_nigra_brain"
"1","black","PSVZbyQSVZ_Morizur_FC5___","User",2.48006510601222e-05,1.53573849600783e-16,-2.99646375420681e-17,-5.55585850763041e-17,3.25260651745651e-16,-8.44085272597855e-17,-1.52113564799716e-16,0.273948430798222,-0.27129196841544,-0.319684891677461,-0.448290519359613,-0.276604475773918,1.87838026383114e-16,2.64518225032151e-16,-7.83200544349216e-17,0.999999999999997,0.999999999999999,0.999999999999999,0.999999999999993,0.999999999999998,0.999999999999997,5.80234287026491e-15,1.07994493294594e-14,4.35771994295604e-20,5.06782546919589e-40,3.09651985810724e-15,0.999999999999996,0.999999999999994,0.999999999999998
"2","brown","neuronBYoFC5__","User",3.12195435939804e-16,5.63785129692462e-18,-7.00665653968757e-17,6.28837260041593e-17,1.79869140415345e-16,1.02999206386123e-17,5.35595873207839e-17,0.303095046411412,-0.199541962100136,-0.261175373840638,-0.668154397122619,-0.264314193565559,1.22731685925359e-16,1.30537941567255e-16,-1.3238108526048e-16,1,0.999999999999998,0.999999999999999,0.999999999999996,1,0.999999999999999,4.02547075678372e-18,1.75033515950695e-08,1.08115625391132e-13,1.62185038916596e-102,5.34589980541331e-14,0.999999999999997,0.999999999999997,0.999999999999997
"3","brown","NeuronByothers_Zhang_Cuffdiff2FCover20__","User",0.00401304556990001,5.63785129692462e-18,-7.00665653968757e-17,6.28837260041593e-17,1.79869140415345e-16,1.02999206386123e-17,5.35595873207839e-17,0.303095046411412,-0.199541962100136,-0.261175373840638,-0.668154397122619,-0.264314193565559,1.22731685925359e-16,1.30537941567255e-16,-1.3238108526048e-16,1,0.999999999999998,0.999999999999999,0.999999999999996,1,0.999999999999999,4.02547075678372e-18,1.75033515950695e-08,1.08115625391132e-13,1.62185038916596e-102,5.34589980541331e-14,0.999999999999997,0.999999999999997,0.999999999999997
"4","cyan","endoBYoFC5__","User",5.19698255077519e-30,-1.96714931670339e-16,1.41596803726607e-16,-1.02267369919695e-16,1.12377555178123e-16,-7.13405029495462e-17,1.29453739394769e-16,-0.28832298716198,0.219763510705413,0.22551536769421,0.547091412071576,0.470438332225988,-1.71954464556201e-16,1.30917412327625e-16,-7.09610321891763e-17,0.999999999999996,0.999999999999997,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999997,1.78532829490589e-16,4.97942153770035e-10,1.69386034456335e-10,2.07359678124788e-62,2.01298226684262e-44,0.999999999999996,0.999999999999997,0.999999999999998
"5","cyan","EndotheByothers_Zhang_Cuffdiff2FCover20__","User",1.02749864784921e-22,-1.96714931670339e-16,1.41596803726607e-16,-1.02267369919695e-16,1.12377555178123e-16,-7.13405029495462e-17,1.29453739394769e-16,-0.28832298716198,0.219763510705413,0.22551536769421,0.547091412071576,0.470438332225988,-1.71954464556201e-16,1.30917412327625e-16,-7.09610321891763e-17,0.999999999999996,0.999999999999997,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999997,1.78532829490589e-16,4.97942153770035e-10,1.69386034456335e-10,2.07359678124788e-62,2.01298226684262e-44,0.999999999999996,0.999999999999997,0.999999999999998
"6","cyan","MicroByMacro_Zhang_Cuffdiff2FCover20__","User",0.011912971370763,-1.96714931670339e-16,1.41596803726607e-16,-1.02267369919695e-16,1.12377555178123e-16,-7.13405029495462e-17,1.29453739394769e-16,-0.28832298716198,0.219763510705413,0.22551536769421,0.547091412071576,0.470438332225988,-1.71954464556201e-16,1.30917412327625e-16,-7.09610321891763e-17,0.999999999999996,0.999999999999997,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999997,1.78532829490589e-16,4.97942153770035e-10,1.69386034456335e-10,2.07359678124788e-62,2.01298226684262e-44,0.999999999999996,0.999999999999997,0.999999999999998
"7","lightyellow","QGBObyPGBO_GSE114574_Tejero_FC5___","User",0.000275547929187723,-2.50044126029469e-16,-9.47050597666088e-17,2.83356237779087e-16,-4.44739731153554e-16,-8.64515707285629e-17,3.76868675155961e-16,-0.104550399752066,0.031965458987591,0.0564102900649127,0.116980487854123,0.666624869971853,-5.16513914972094e-16,-2.86988315056913e-16,1.78459677591114e-16,0.999999999999994,0.999999999999998,0.999999999999994,0.99999999999999,0.999999999999998,0.999999999999992,0.00338116709565652,0.371411145947965,0.114513978760728,0.00103256454723597,6.85661076275692e-102,0.999999999999988,0.999999999999994,0.999999999999996
"8","magenta","qnpBYtap_Mukherjee_FC5___","User",0.00220495704229067,-5.93600689435814e-17,6.82505267579625e-17,-5.5944832100252e-17,5.36788495597573e-16,-2.12503625807159e-17,-1.03432887255117e-16,0.0396059950486001,-0.129997442848068,0.172708998093366,0.11718507737879,-0.469885749212885,2.05131051034257e-16,1.91036422791946e-16,-9.25366554216378e-17,0.999999999999999,0.999999999999998,0.999999999999999,0.999999999999988,1,0.999999999999998,0.268020323418728,0.000262630517717023,1.14608788017988e-06,0.00101160518564606,2.61588119260836e-44,0.999999999999995,0.999999999999996,0.999999999999998
"9","midnightblue","neuronBYoFC5__","User",0.000191455225091935,1.2093597607718e-16,-9.22656048785164e-17,-8.18979216041238e-17,3.66894015169095e-16,-1.1097148048568e-16,-9.84455572616838e-17,0.405711156964969,-0.553396456308484,-0.601769640043981,0.286706116128423,-0.417093290905213,2.26706674266719e-16,3.29841405924403e-16,-2.42048135007389e-17,0.999999999999997,0.999999999999998,0.999999999999998,0.999999999999992,0.999999999999998,0.999999999999998,2.01668448376388e-32,4.1866357390343e-64,2.11815163970142e-78,2.66806763081181e-16,2.38997761596259e-34,0.999999999999995,0.999999999999993,0.999999999999999
"10","midnightblue","NeuronByothers_Zhang_Cuffdiff2FCover20__","User",0.000530100600967712,1.2093597607718e-16,-9.22656048785164e-17,-8.18979216041238e-17,3.66894015169095e-16,-1.1097148048568e-16,-9.84455572616838e-17,0.405711156964969,-0.553396456308484,-0.601769640043981,0.286706116128423,-0.417093290905213,2.26706674266719e-16,3.29841405924403e-16,-2.42048135007389e-17,0.999999999999997,0.999999999999998,0.999999999999998,0.999999999999992,0.999999999999998,0.999999999999998,2.01668448376388e-32,4.1866357390343e-64,2.11815163970142e-78,2.66806763081181e-16,2.38997761596259e-34,0.999999999999995,0.999999999999993,0.999999999999999
"11","pink","PGBCbyQGBC_Aulestia_FC5___","User",7.90171968686755e-11,3.88186729397173e-17,4.89635865489821e-17,3.75337239587326e-17,2.51002967325761e-16,1.51709530083876e-16,-2.88540079416283e-16,-0.170739209793109,0.210546993454077,0.17169668062349,0.125744930141729,0.250824735369693,6.96057794735694e-17,1.35237280358622e-16,7.17267499734942e-18,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999994,0.999999999999997,0.999999999999994,1.52127824123125e-06,2.63654579098148e-09,1.32617154841677e-06,0.000416727181612076,1.032457730428e-12,0.999999999999998,0.999999999999997,1
"12","pink","QNSCbyPNSC_Ben_FC5___","User",0.00215159911810503,3.88186729397173e-17,4.89635865489821e-17,3.75337239587326e-17,2.51002967325761e-16,1.51709530083876e-16,-2.88540079416283e-16,-0.170739209793109,0.210546993454077,0.17169668062349,0.125744930141729,0.250824735369693,6.96057794735694e-17,1.35237280358622e-16,7.17267499734942e-18,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999994,0.999999999999997,0.999999999999994,1.52127824123125e-06,2.63654579098148e-09,1.32617154841677e-06,0.000416727181612076,1.032457730428e-12,0.999999999999998,0.999999999999997,1
"13","pink","npcBYnsc_Walker_FC5___","User",2.38639351599177e-07,3.88186729397173e-17,4.89635865489821e-17,3.75337239587326e-17,2.51002967325761e-16,1.51709530083876e-16,-2.88540079416283e-16,-0.170739209793109,0.210546993454077,0.17169668062349,0.125744930141729,0.250824735369693,6.96057794735694e-17,1.35237280358622e-16,7.17267499734942e-18,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999994,0.999999999999997,0.999999999999994,1.52127824123125e-06,2.63654579098148e-09,1.32617154841677e-06,0.000416727181612076,1.032457730428e-12,0.999999999999998,0.999999999999997,1
"14","pink","EndotheByothers_Zhang_Cuffdiff2FCover20__","User",0.0491986205940077,3.88186729397173e-17,4.89635865489821e-17,3.75337239587326e-17,2.51002967325761e-16,1.51709530083876e-16,-2.88540079416283e-16,-0.170739209793109,0.210546993454077,0.17169668062349,0.125744930141729,0.250824735369693,6.96057794735694e-17,1.35237280358622e-16,7.17267499734942e-18,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999994,0.999999999999997,0.999999999999994,1.52127824123125e-06,2.63654579098148e-09,1.32617154841677e-06,0.000416727181612076,1.032457730428e-12,0.999999999999998,0.999999999999997,1
"15","purple","astroBYoFC5__","User",3.681524432543e-17,-2.69568235463681e-16,-1.0045810754436e-18,2.311857844918e-16,-1.2417503006748e-16,-3.54584932379595e-17,-1.01616848616204e-16,-0.330570290514037,0.43383917934949,0.504392286555616,-0.110011109789423,0.53032414998645,2.05971307717934e-16,-1.91903784529934e-16,8.60517711774589e-17,0.999999999999994,1,0.999999999999995,0.999999999999997,0.999999999999999,0.999999999999998,1.90970739052939e-21,2.55065442331699e-37,7.90661203993463e-52,0.00203713924692853,4.49450515902347e-58,0.999999999999995,0.999999999999996,0.999999999999998
"16","purple","AstroByothers_Zhang_Cuffdiff2FCover20__","User",1.4610359073814e-05,-2.69568235463681e-16,-1.0045810754436e-18,2.311857844918e-16,-1.2417503006748e-16,-3.54584932379595e-17,-1.01616848616204e-16,-0.330570290514037,0.43383917934949,0.504392286555616,-0.110011109789423,0.53032414998645,2.05971307717934e-16,-1.91903784529934e-16,8.60517711774589e-17,0.999999999999994,1,0.999999999999995,0.999999999999997,0.999999999999999,0.999999999999998,1.90970739052939e-21,2.55065442331699e-37,7.90661203993463e-52,0.00203713924692853,4.49450515902347e-58,0.999999999999995,0.999999999999996,0.999999999999998
"17","purple","QSVZbyPSVZ_Morizur_FC5___","User",3.20593427016157e-06,-2.69568235463681e-16,-1.0045810754436e-18,2.311857844918e-16,-1.2417503006748e-16,-3.54584932379595e-17,-1.01616848616204e-16,-0.330570290514037,0.43383917934949,0.504392286555616,-0.110011109789423,0.53032414998645,2.05971307717934e-16,-1.91903784529934e-16,8.60517711774589e-17,0.999999999999994,1,0.999999999999995,0.999999999999997,0.999999999999999,0.999999999999998,1.90970739052939e-21,2.55065442331699e-37,7.90661203993463e-52,0.00203713924692853,4.49450515902347e-58,0.999999999999995,0.999999999999996,0.999999999999998
"18","red","myeoligoBYoFC5__","User",3.16102893035569e-09,1.52465930505774e-16,4.01967955449001e-17,8.36461976072567e-17,-1.44090468723324e-16,-8.99887803162969e-18,2.75170511376821e-16,0.116991620964471,-0.180408983437444,-0.218259077847342,0.50242673519487,-0.651596349495655,-4.46691295064028e-17,-3.56377254095985e-16,8.74409052109559e-17,0.999999999999997,0.999999999999999,0.999999999999998,0.999999999999997,1,0.999999999999994,0.00103141376435991,3.6729077137391e-07,6.56989542162519e-10,2.23760193593847e-51,6.24074725940176e-96,0.999999999999999,0.999999999999992,0.999999999999998
"19","red","MyeOligoByothers_Zhang_Cuffdiff2FCover20__","User",8.0240332080145e-09,1.52465930505774e-16,4.01967955449001e-17,8.36461976072567e-17,-1.44090468723324e-16,-8.99887803162969e-18,2.75170511376821e-16,0.116991620964471,-0.180408983437444,-0.218259077847342,0.50242673519487,-0.651596349495655,-4.46691295064028e-17,-3.56377254095985e-16,8.74409052109559e-17,0.999999999999997,0.999999999999999,0.999999999999998,0.999999999999997,1,0.999999999999994,0.00103141376435991,3.6729077137391e-07,6.56989542162519e-10,2.23760193593847e-51,6.24074725940176e-96,0.999999999999999,0.999999999999992,0.999999999999998
"20","red","npcBYnsc_Walker_FC5___","User",0.000172177669681495,1.52465930505774e-16,4.01967955449001e-17,8.36461976072567e-17,-1.44090468723324e-16,-8.99887803162969e-18,2.75170511376821e-16,0.116991620964471,-0.180408983437444,-0.218259077847342,0.50242673519487,-0.651596349495655,-4.46691295064028e-17,-3.56377254095985e-16,8.74409052109559e-17,0.999999999999997,0.999999999999999,0.999999999999998,0.999999999999997,1,0.999999999999994,0.00103141376435991,3.6729077137391e-07,6.56989542162519e-10,2.23760193593847e-51,6.24074725940176e-96,0.999999999999999,0.999999999999992,0.999999999999998
"21","royalblue","MicroByMono_Zhang_Cuffdiff2FCover20__","User",0.00228300934557982,-2.02921989107818e-16,-2.60371151722394e-16,6.46184494801361e-17,3.68845579079569e-16,-2.37535143464418e-16,-1.40187340902376e-16,-0.139645634202605,0.22095373132277,0.227211896009728,-0.253478527195961,0.253270745309204,1.93855348440408e-16,4.90601483049691e-16,-4.02455846426619e-16,0.999999999999995,0.999999999999994,0.999999999999999,0.999999999999992,0.999999999999995,0.999999999999997,8.74252422653961e-05,3.99322521308902e-10,1.22546221649587e-10,5.84494874134514e-13,6.11265989988805e-13,0.999999999999996,0.999999999999989,0.999999999999991
