"","Sample_Name","MsGroup_Name","CellType","Age","Study","Species","Tissue","CellTypeDescription"
"1","astro_SRR1033783","astro_1","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex","Astrocyte"
"2","astro_SRR1033784","astro_2","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex","Astrocyte"
"13","endo_SRR1033795","endo_1","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex","EndothelialCells"
"14","endo_SRR1033796","endo_2","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex","EndothelialCells"
"25","macrophages_SRR1106141","macrophages_1","other","5_months","SRP035309","mouse_C57BL6","peritoneum","Young macrophages 1A"
"26","macrophages_SRR1106142","macrophages_2","other","5_months","SRP035309","mouse_C57BL6","peritoneum","Young macrophages 1B"
"27","macrophages_SRR1106143","macrophages_3","other","5_months","SRP035309","mouse_C57BL6","peritoneum","Young macrophages 2A"
"28","macrophages_SRR1106169","macrophages_4","other","5_months","SRP035309","mouse_C57BL6","peritoneum","Young macrophages 3A"
"29","macrophages_SRR1106186","macrophages_5","other","5_months","SRP035309","mouse_C57BL6","peritoneum","Young macrophages 3B"
"30","macrophages_SRR1106188","macrophages_6","other","5_months","SRP035309","mouse_C57BL6","peritoneum","Young macrophages 3C"
"11","microglia_SRR1033793","microglia_1","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex","Microglia"
"12","microglia_SRR1033794","microglia_2","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex","Microglia"
"23","microglia_SRR1106118","microglia_6","other","5_months","SRP035309","mouse_C57BL6","brain","microglia2"
"24","microglia_SRR1106122","microglia_7","other","5_months","SRP035309","mouse_C57BL6","brain","microglia3"
"15","microglia_SRR5483445","microglia_3","other","No_data","GSE86573","mouse_C57BL6","brain","normal brain microglia"
"16","microglia_SRR5483446","microglia_4","other","No_data","GSE86573","mouse_C57BL6","brain","normal brain microglia"
"17","microglia_SRR5483447","microglia_5","other","No_data","GSE86573","mouse_C57BL6","brain","normal brain microglia"
"18","monocytes_SRR5483448","monocytes_1","other","No_data","GSE86573","mouse_C57BL6","blood","Ly6C high blood monocyte"
"19","monocytes_SRR5483449","monocytes_2","other","No_data","GSE86573","mouse_C57BL6","blood","Ly6C high blood monocyte"
"20","monocytes_SRR5483450","monocytes_3","other","No_data","GSE86573","mouse_C57BL6","blood","Ly6C high blood monocyte"
"21","monocytes_SRR5483451","monocytes_4","other","No_data","GSE86573","mouse_C57BL6","blood","Ly6C high blood monocyte"
"22","monocytes_SRR5483452","monocytes_5","other","No_data","GSE86573","mouse_C57BL6","blood","Ly6C high blood monocyte"
"9","myeoligo_SRR1033791","myeoligo_1","myeoligo","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex","MyelinatingOligodendrocytes"
"10","myeoligo_SRR1033792","myeoligo_2","myeoligo","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex","MyelinatingOligodendrocytes"
"3","neuron_SRR1033785","neuron_1","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex","Neuron"
"4","neuron_SRR1033786","neuron_2","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex","Neuron"
"7","newoligo_SRR1033789","newoligo_1","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex","NewlyOligodendrocytes"
"8","newoligo_SRR1033790","newoligo_2","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex","NewlyOligodendrocytes"
"5","preoligo_SRR1033787","preoligo_1","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex","OligodendrocytePrecursor"
"6","preoligo_SRR1033788","preoligo_2","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex","OligodendrocytePrecursor"
