"","PSID","Gene","Module","kTotal","kWithin","kOut","kDiff"
"1","A2M","A2M","HuAgeMSNDsplit_14",3.7043814435993,0.506940127132344,3.19744131646696,-2.69050118933462
"2","A4GALT","A4GALT","HuAgeMSNDsplit_02",4.39028363628473,1.89022933693358,2.50005429935115,-0.609824962417576
"3","A4GNT","A4GNT","HuAgeMSNDsplit_02",2.28774575228328,0.551095515620032,1.73665023666325,-1.18555472104322
"4","AAAS","AAAS","HuAgeMSNDsplit_13",3.20471431343011,0.144008775214661,3.06070553821545,-2.91669676300079
"5","AADAC","AADAC","HuAgeMSNDsplit_01",2.25385445167286,0.768025695146394,1.48582875652646,-0.717803061380071
"6","AAMP","AAMP","HuAgeMSNDsplit_09",4.91362651765532,0.906328233804085,4.00729828385124,-3.10097005004715
"7","AARS","AARS","HuAgeMSNDsplit_03",4.07690491443136,0.808399096386514,3.26850581804485,-2.46010672165834
"8","AASDHPPT","AASDHPPT","HuAgeMSNDsplit_03",4.51224899741185,1.41357989564025,3.09866910177159,-1.68508920613134
"9","AASS","AASS","HuAgeMSNDsplit_02",3.0104540930307,0.940060219407068,2.07039387362364,-1.13033365421657
"10","AATF","AATF","HuAgeMSNDsplit_02",4.12014056427851,1.60087900763363,2.51926155664488,-0.918382549011254
"11","ABAT","ABAT","HuAgeMSNDsplit_01",4.71782824097435,2.4830335540606,2.23479468691375,0.248238867146855
"12","ABCA1","ABCA1","HuAgeMSNDsplit_10",7.45034592981402,0.965703413333693,6.48464251648033,-5.51893910314663
"13","ABCA3","ABCA3","HuAgeMSNDsplit_09",5.78348480546202,0.763715344473083,5.01976946098894,-4.25605411651585
"14","ABCA4","ABCA4","HuAgeMSNDsplit_02",2.73964872427316,0.800969806958956,1.93867891731421,-1.13770911035525
"15","ABCA7","ABCA7","HuAgeMSNDsplit_02",4.2792198064321,1.94771865499706,2.33150115143504,-0.38378249643798
"16","ABCA8","ABCA8","HuAgeMSNDsplit_06",3.50013383385536,0.663514417015294,2.83661941684006,-2.17310499982477
"17","ABCB1","ABCB1","HuAgeMSNDsplit_14",3.52546211373145,0.582836806168135,2.94262530756332,-2.35978850139518
"18","ABCB11","ABCB11","HuAgeMSNDsplit_02",2.64809228875864,0.754067572513219,1.89402471624542,-1.1399571437322
"19","ABCB4","ABCB4","HuAgeMSNDsplit_02",2.57936048553769,0.719497208261754,1.85986327727593,-1.14036606901418
"20","ABCB6","ABCB6","HuAgeMSNDsplit_03",3.72958864090895,0.657940256657279,3.07164838425167,-2.4137081275944
"21","ABCB7","ABCB7","HuAgeMSNDsplit_17",4.71695066964048,0.0539310656479448,4.66301960399254,-4.60908853834459
"22","ABCB8","ABCB8","HuAgeMSNDsplit_03",3.13854460736927,0.517467001404424,2.62107760596485,-2.10361060456043
"23","ABCB9","ABCB9","HuAgeMSNDsplit_03",3.07498485704332,0.577561330801785,2.49742352624153,-1.91986219543975
"24","ABCC1","ABCC1","HuAgeMSNDsplit_01",2.65344183124435,1.00118745103243,1.65225438021192,-0.651066929179484
"25","ABCC2","ABCC2","HuAgeMSNDsplit_01",2.81992483199591,0.542065463268863,2.27785936872705,-1.73579390545818
"26","ABCC3","ABCC3","HuAgeMSNDsplit_02",2.7209633246283,0.865411219193216,1.85555210543508,-0.990140886241866
"27","ABCC4","ABCC4","HuAgeMSNDsplit_02",7.23357873778868,3.19273664770913,4.04084209007955,-0.848105442370428
"28","ABCC5","ABCC5","HuAgeMSNDsplit_02",3.06867513569717,0.90039292730695,2.16828220839022,-1.26788928108327
"29","ABCC6","ABCC6","HuAgeMSNDsplit_01",2.7257819776049,1.00712802737293,1.71865395023198,-0.711525922859054
"30","ABCC8","ABCC8","HuAgeMSNDsplit_03",3.39133832290926,0.696227145676183,2.69511117723308,-1.9988840315569
"31","ABCC9","ABCC9","HuAgeMSNDsplit_22",3.90545663207085,0.137542284069527,3.76791434800132,-3.6303720639318
"32","ABCD1","ABCD1","HuAgeMSNDsplit_05",3.2259595752345,0.245287964404715,2.98067161082978,-2.73538364642507
"33","ABCD3","ABCD3","HuAgeMSNDsplit_02",3.56135714645335,1.33763521819917,2.22372192825418,-0.886086710055007
"34","ABCD4","ABCD4","HuAgeMSNDsplit_10",2.87604807186662,0.144954599457046,2.73109347240957,-2.58613887295252
"35","ABCE1","ABCE1","HuAgeMSNDsplit_01",4.39039195498453,2.45367337806289,1.93671857692164,0.516954801141254
"36","ABCF1","ABCF1","HuAgeMSNDsplit_07",4.30187227320236,0.598033708721468,3.70383856448089,-3.10580485575942
"37","ABCF2","ABCF2","HuAgeMSNDsplit_03",2.92724227448599,0.508576802083322,2.41866547240266,-1.91008867031934
"38","ABCG1","ABCG1","HuAgeMSNDsplit_05",2.25145828762752,0.165992752911183,2.08546553471634,-1.91947278180515
"39","ABCG2","ABCG2","HuAgeMSNDsplit_14",2.69628096353864,0.316330949698972,2.37995001383966,-2.06361906414069
"40","ABCG4","ABCG4","HuAgeMSNDsplit_03",11.0810956208638,5.37386895421048,5.70722666665336,-0.333357712442886
"41","ABCG5","ABCG5","HuAgeMSNDsplit_02",2.64454239569686,0.585549892988185,2.05899250270868,-1.47344260972049
"42","ABHD2","ABHD2","HuAgeMSNDsplit_17",3.60901547780591,0.341648224040616,3.26736725376529,-2.92571902972468
"43","ABI1","ABI1","HuAgeMSNDsplit_01",3.72268197629998,1.14402419644015,2.57865777985983,-1.43463358341967
"44","ABI2","ABI2","HuAgeMSNDsplit_12",5.22100351461305,0.977800487519832,4.24320302709322,-3.26540253957339
"45","ABL1","ABL1","HuAgeMSNDsplit_11",6.28563016020518,0.581556108432417,5.70407405177276,-5.12251794334035
"46","ABL2","ABL2","HuAgeMSNDsplit_01",2.88122424669366,0.959651037899503,1.92157320879415,-0.961922170894652
"47","ABLIM1","ABLIM1","HuAgeMSNDsplit_10",4.12124015454585,0.421059870841863,3.70018028370398,-3.27912041286212
"48","ACAA1","ACAA1","HuAgeMSNDsplit_11",4.04757799169629,0.266373577268908,3.78120441442739,-3.51483083715848
"49","ACAA2","ACAA2","HuAgeMSNDsplit_10",3.15477753610451,0.247247934959687,2.90752960114482,-2.66028166618513
"50","ACACA","ACACA","HuAgeMSNDsplit_12",5.24226246273294,0.964056930677115,4.27820553205583,-3.31414860137871
"51","ACACB","ACACB","HuAgeMSNDsplit_10",2.96078817937116,0.280320360391711,2.68046781897945,-2.40014745858774
"52","ACAD8","ACAD8","HuAgeMSNDsplit_02",3.22735425405605,0.885733361216597,2.34162089283945,-1.45588753162285
"53","ACADL","ACADL","HuAgeMSNDsplit_08",4.71249535733445,1.62462016869028,3.08787518864417,-1.46325501995389
"54","ACADM","ACADM","HuAgeMSNDsplit_01",3.43939529394842,1.08041931381083,2.35897598013758,-1.27855666632675
"55","ACADSB","ACADSB","HuAgeMSNDsplit_01",3.45198964110517,1.8045254014005,1.64746423970466,0.15706116169584
"56","ACADVL","ACADVL","HuAgeMSNDsplit_01",4.14358516531841,0.712369256754978,3.43121590856343,-2.71884665180846
"57","ACAT1","ACAT1","HuAgeMSNDsplit_07",4.87851388217892,1.2954502895221,3.58306359265682,-2.28761330313472
"58","ACBD3","ACBD3","HuAgeMSNDsplit_01",5.67527591099091,2.7574655622307,2.91781034876021,-0.16034478652951
"59","ACE2","ACE2","HuAgeMSNDsplit_01",2.98014490837085,1.2513894897621,1.72875541860875,-0.477365928846656
"60","ACHE","ACHE","HuAgeMSNDsplit_18",7.57900374599815,0.990763165386326,6.58824058061183,-5.5974774152255
"61","ACLY","ACLY","HuAgeMSNDsplit_01",6.38427629915294,2.97414749897064,3.41012880018231,-0.435981301211671
"62","ACO1","ACO1","HuAgeMSNDsplit_02",5.76413558725091,2.50360498778157,3.26053059946933,-0.756925611687761
"63","ACO2","ACO2","HuAgeMSNDsplit_03",5.01439452099349,1.4150203075523,3.59937421344119,-2.18435390588888
