"","Var1","Freq"
"1","HuAgeMSNDsplit_00",2
"2","HuAgeMSNDsplit_01",2141
"3","HuAgeMSNDsplit_02",1486
"4","HuAgeMSNDsplit_03",783
"5","HuAgeMSNDsplit_04",335
"6","HuAgeMSNDsplit_05",297
"7","HuAgeMSNDsplit_06",245
"8","HuAgeMSNDsplit_07",194
"9","HuAgeMSNDsplit_08",186
"10","HuAgeMSNDsplit_09",172
"11","HuAgeMSNDsplit_10",139
"12","HuAgeMSNDsplit_11",134
"13","HuAgeMSNDsplit_12",108
"14","HuAgeMSNDsplit_13",107
"15","HuAgeMSNDsplit_14",99
"16","HuAgeMSNDsplit_15",99
"17","HuAgeMSNDsplit_16",80
"18","HuAgeMSNDsplit_17",80
"19","HuAgeMSNDsplit_18",66
"20","HuAgeMSNDsplit_19",53
"21","HuAgeMSNDsplit_20",52
"22","HuAgeMSNDsplit_21",37
"23","HuAgeMSNDsplit_22",29
