"","black","blue","brown","cyan","darkgreen","darkred","green","greenyellow","grey","grey60","lightcyan","lightgreen","lightyellow","magenta","midnightblue","pink","purple","red","royalblue","salmon","tan","turquoise","yellow"
"1","UQCRH","IL17RB","STMN2","VWF","SERPINA3","GPX1","CDKN1C","APLP1","SCN8A","PPIG","HSPA1A","SLC18A2","RPL23","FKBP8","VGF","CRABP1","GJA1","FA2H","ATP1A2","BAZ2B","SLC4A10","GNG3","C1QA"
"2","ATP5O","ITGB5","NEFL","CLDN5","CHI3L1","FKBP2","ERBB3","LTBP3","CDC42EP3","TMEM5","BAG3","DDC","RPL9","RAB3A","NEUROD6","SLC13A4","SLC1A3","MOG","SLC1A3","CTDSP2","GDAP1","DYNC1I1","FCGR2A"
"3","COX5A","ZNF217","SYNGR3","PODXL","CHI3L2","TPI1","SH3BP4","PTOV1","ZFPM2","ATG12","DNAJB1","SLC6A3","RPS14","MAPRE3","HSPB3","DSP","ABCA1","GJB1","SLC4A4","MYH9","PITPNB","MOAP1","TYROBP"
"4","UQCRFS1","PRKD3","INA","ICAM2","CD44","ATP5A1","TMC6","MYO18A","MATN1","ATP6V1D","SERPINH1","DLK1","RPL19","SMARCB1","CAMK4","SLC6A20","PLSCR4","ENPP2","NTSR2","FYCO1","SYN2","GOT1","LCP1"
"5","TCEB1","FBXL7","ACOT7","PECAM1","SERPINA5","RPL36AL","SIRT2","PRKCSH","SSTR2","ARL6IP5","CHORDC1","TH","RPL8","ATP6V0C","NRN1","FMOD","BBOX1","RNASE1","PPAP2B","PELI1","CDK5R1","COPS4","ITGB2"
"6","SLC25A5","INPPL1","SULT4A1","GNG11","F3","GUK1","CYP27A1","CDK5RAP3","NR3C1","CPNE3","DNAJA1","FOXA1","RPL6","CFL1","CA10","SERPIND1","SOX9","ELOVL1","CLDN10","LBR","DLG3","NDUFAB1","LY86"
"7","SSBP1","MAPKAPK2","AMPH","FLI1","GBP2","PARK7","MYO9B","MAN2C1","KPNA5","HADHA","SPR","KCNJ6","PFDN5","ARHGDIA","SLC30A3","FRZB","PRDX6","EFS","GPC5","SIRT1","SYNJ1","CMAS","HCK"
"8","PSMD10","STK38","SNX10","SLC2A1","DTNA","CUTA","MAP3K11","GPS2","HUS1","TOP1","AHSA1","CLSTN2","RPS15A","PEX14","FLRT1","PKP2","TP53BP2","GAL3ST1","SLC15A2","HDAC1","TOMM20","PCMT1","CD53"
"9","DDX1","NFKB1","TAGLN3","FOXF2","CNN3","PSMB7","SLCO3A1","TRIM28","TRIP11","LYPLA1","FKBP4","GBE1","RPS8","USP5","PAK1","PCOLCE","DHRS3","PAQR4","HEPH","SMAD4","SCN8A","MDH2","LAPTM5"
"10","COPS5","RAF1","AP3B2","PRKCH","TPST1","TUFM","SLC12A9","FAM3A","XPC","EPRS","PLOD1","EN1","RPS4X","SUPT5H","CCKBR","F10","TRPS1","FEZ1","ALDH2","TRIP4","HIVEP2","COPS7A","CYBA"
