"","logFC","logCPM","LR","PValue","adj.P.Val","Contrast","FC"
"Kcnj16",-2.42560834084345,1.45121533008677,8.07571911845563,0.00448623004312781,0.406757652639822,"preoligoBYo",0.186131180453897
"Aldh1l2",-2.32820506233957,2.09981543034367,8.06537901838166,0.0045119036229557,0.407415689186323,"preoligoBYo",0.199131717799465
"Gm5454",-2.15510790765007,5.04817177749002,8.03395225422985,0.00459085576421031,0.4128597645188,"preoligoBYo",0.224516299697974
"Unc5b",5.19388298725373,3.51970703036367,8.00171597148093,0.00467330412509754,0.418222841639437,"preoligoBYo",36.602822275
"Pcdh20",-3.1349817296358,3.7574375258665,7.99591500830175,0.00468830017296843,0.418222841639437,"preoligoBYo",0.113835170804327
"Pcmtd2",-1.87522590133386,4.95679656574185,7.98595499212379,0.0047141621906865,0.418841004596617,"preoligoBYo",0.272584247799943
"Pstpip2",-3.01285310853998,2.74795113181381,7.94385894014776,0.00482508322630316,0.425501227693384,"preoligoBYo",0.123891309056994
"S100a3",-2.64290705261224,1.44511770373782,7.94291842969545,0.00482759156312613,0.425501227693384,"preoligoBYo",0.160105297313021
"BB218582",-2.39380415152916,1.45079282334855,7.93540791991818,0.00484766977673491,0.425575390756771,"preoligoBYo",0.190280001707369
"Mesd",-1.48718782177937,4.68774820230192,7.91996646179662,0.00488921787237588,0.42752635174139,"preoligoBYo",0.35670718436271
"Gstt1",-2.42566559095395,2.0215088396883,7.83950713892919,0.00511165414656897,0.445217026317108,"preoligoBYo",0.186123794402847
"Mxd3",-2.07319288189344,2.77311972113914,7.81980871053585,0.00516766651328541,0.448330534405542,"preoligoBYo",0.237633002710808
"Gm45011",-2.98954360458278,1.30101886852773,7.80747315915082,0.00520306072425466,0.449008656205436,"preoligoBYo",0.125909268753478
"Acy3",5.21584406017162,4.13633250993131,7.80295897236953,0.00521607488337012,0.449008656205436,"preoligoBYo",37.1642621472043
"Cmtm4",-2.04798796198078,4.03297286111173,7.7681753733329,0.0053174735335036,0.454957611392455,"preoligoBYo",0.241821100179121
"Gm20667",-2.8219747222399,2.23620535735629,7.752294492791,0.00536443429137323,0.454957611392455,"preoligoBYo",0.141416785626967
"Ube2c",-2.50544994362139,4.40694613551353,7.75169300543569,0.00536622121424824,0.454957611392455,"preoligoBYo",0.176110161091396
"Gm45629",-1.98465683673098,2.34508686155024,7.7512819384065,0.0053674427778073,0.454957611392455,"preoligoBYo",0.252672955933797
"Gm25959",-3.92473666480963,1.44569855017469,7.7222815560969,0.00545434237929713,0.460558841439658,"preoligoBYo",0.0658470827212789
"Rbpjl",-3.02440124802994,2.07877222861468,7.71360891241255,0.00548060757586869,0.461017039547312,"preoligoBYo",0.122903572073579
"Traf4",-2.34818339949182,6.31136787180517,7.68741801217199,0.00556071254620257,0.465983498710756,"preoligoBYo",0.196393161523369
"Tmem121",-2.51426590913545,4.67873598823517,7.67590691000981,0.00559629601979347,0.467195686210909,"preoligoBYo",0.17503727528788
