"","DEG_edgeRnames","DEG_Limmanames","DEG_Simplenames"
"DEG_edgeRnames",0,9.61886410722133e-146,1
"DEG_Limmanames",9.61886410722064e-146,0,1
"DEG_Simplenames",1,1,0
