"","newoligoBYo","AveExpr","F","P.Value","adj.P.Val"
"Epcam",4.13751709132647,0.584687672526058,232.580746663647,2.22015543443337e-15,4.91164986759695e-11
"Mir6338",3.08867493579349,0.261849565337813,162.974771055192,2.007748174925e-13,2.22087064369329e-09
"Casr",3.77172237238735,0.483420086972709,132.880913663534,2.41276448801393e-12,1.7792529589444e-08
"B230206H07Rik",1.9008160057061,0.192374144175669,111.134456529942,1.98298113697834e-11,1.0967372923343e-07
"Dnah10",2.04611818513528,0.348680616399554,103.140767814977,4.67903300328689e-11,2.07028494263432e-07
"Gm44268",1.5745428398299,0.104969522655327,99.6795134659241,6.89804233434049e-11,2.54342317604358e-07
"Gm29127",3.48305564799233,0.358857450326628,90.8449205055869,1.9530116463087e-10,6.17235380732677e-07
"Tmem108",1.98973772440059,0.399548092170153,85.3841202706272,3.86621952763153e-10,1.0691546826224e-06
"Gm24183",3.72803041015238,0.390087805708004,80.7190380718018,7.1163204940962e-10,1.74927064767656e-06
"Matn1",4.43625504543257,0.671074791088987,70.9572318741078,2.79143232663642e-09,6.17548573621776e-06
"Gbp11",2.0628475241952,0.337778628489072,69.3234013642635,3.55555091140211e-09,6.97455857558294e-06
"Tmprss5",2.24635609989278,0.572295180972116,68.9088133548675,3.78315341079398e-09,6.97455857558294e-06
"Ffar3",1.28461377961166,0.111650668307817,57.7929785658807,2.22499721146781e-08,3.78643179302326e-05
"Dct",3.38110421463738,0.720906932559102,56.4954769927789,2.77743438432234e-08,4.38894149174023e-05
"4933430A20Rik",1.48782201520451,0.17868560029313,54.4188329902866,3.98981239692953e-08,5.8844413104848e-05
"Enpp6",5.82620175194146,0.838243890913809,53.8409259323161,4.42021886585672e-08,6.11178137308426e-05
"Cdv3-ps",2.59545362507463,3.03004429091747,51.8333122677785,6.34622181690287e-08,8.25867442678484e-05
"Gm15217",2.19825145424289,0.394303901073183,49.6374246157214,9.52727593021003e-08,0.000117095514113354
"Capn6",2.26590995001861,0.470075602110669,49.160104891541,1.04230291828024e-07,0.000121362460321651
