"","HuAgeMSNDsplit_15....MSbyCON_FC1.25__"
"1","ACTR3B"
"2","ADCYAP1"
"3","CCKBR"
"4","CRYM"
"5","DUSP2"
"6","DUSP4"
"7","DUSP6"
"8","EGR2"
"9","FLRT1"
"10","GABRD"
"11","HSPB3"
"12","KCNF1"
"13","KCNK1"
"14","NEUROD6"
"15","NRGN"
"16","NRN1"
"17","PPEF1"
"18","PRMT8"
"19","PRSS16"
"20","RASGRP1"
"21","SLC30A3"
"22","SST"
"23","STX1A"
"24","TYRP1"
"25","VGF"
"26","VIP"
