"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"tan","HDbyCON_FC1.25__","User",8.06194383587905e-51
"red","MSbyCON_FC1.25__","User",2.24714322795312e-31
"yellow","ADbyCON_FC1.25__","User",2.92593585264173e-26
"lightgreen","PDbyCON_FC1.25__","User",1.0567131718751e-24
"midnightblue","HDbyCON_FC1.25__","User",1.59232675492398e-23
"brown","PDbyCON_FC1.25__","User",1.64722905141139e-19
"pink","ADbyCON_FC1.25__","User",4.04817362515107e-16
"midnightblue","MSbyCON_FC1.25__","User",5.19998155486471e-12
"blue","ADbyCON_FC1.25__","User",2.01966824270608e-09
"turquoise","HDbyCON_FC1.25__","User",1.38958166514592e-05
"darkgreen","ADbyCON_FC1.25__","User",2.5900577722123e-05
"darkgreen","PDbyCON_FC1.25__","User",0.00207011623491442
"lightcyan","ADbyCON_FC1.25__","User",0.00659509491328637
