"","HuAgeMSNDsplit_15....HDbyCON_FC1.25__"
"1","ACTN2"
"2","ADCYAP1"
"3","ANK3"
"4","ATP2A2"
"5","BCL2L2"
"6","BDNF"
"7","CRHBP"
"8","CRYM"
"9","CYCS"
"10","DUSP2"
"11","DUSP4"
"12","DUSP6"
"13","EGR1"
"14","EGR2"
"15","ETV5"
"16","FBXO16"
"17","GABRD"
"18","GRIK1"
"19","HSPB3"
"20","IGF1"
"21","KCNK1"
"22","KRT5"
"23","NELL1"
"24","NEUROD6"
"25","NR4A1"
"26","NRN1"
"27","OCA2"
"28","PNOC"
"29","PTPRR"
"30","RASGRP1"
"31","SST"
"32","VGF"
"33","VIP"
"34","WSB2"
