"","HuAgeMSNDsplit_03....HDbyCON_FC1.25__"
"1","BASP1"
"2","CDC42"
"3","CHGB"
"4","CHN1"
"5","DYNC1I1"
"6","DYNLT3"
"7","ELAVL2"
"8","FGF9"
"9","GFRA3"
"10","GOT1"
"11","HPRT1"
"12","HTR2A"
"13","NDRG4"
"14","NEFL"
"15","NELL2"
"16","PVALB"
"17","RGS7"
"18","RTN3"
"19","SCG2"
"20","SNCB"
"21","SRD5A1"
"22","STMN2"
"23","VSNL1"
