Module,DiseaseAD,DiseaseHD,DiseasePD,DiseaseMS,p.value.DiseaseAD,p.value.DiseaseHD,p.value.DiseasePD,p.value.DiseaseMS
MEHuAgeMSNDsplitRnaseq_02,0.166543347,0.240583239,0.066878863,-0.522232968,0.055372144,0.005279861,0.44435426,1.14E-10
MEHuAgeMSNDsplitRnaseq_03,-0.277572245,-0.218128804,-0.072823651,-0.104446594,0.001217665,0.011659427,0.404832034,0.231524013
MEHuAgeMSNDsplitRnaseq_04,-0.166543347,0.142746055,0.046072105,-0.382970843,0.055372144,0.10119377,0.598475714,5.37E-06
MEHuAgeMSNDsplitRnaseq_05,-0.155440457,-0.226148245,-0.059943277,0.59186403,0.074005218,0.008858916,0.493097326,6.27E-14
MEHuAgeMSNDsplitRnaseq_06,0.321983804,0.143688943,-0.004458591,0.174077656,0.000157203,0.053348102,0.95937822,0.045076625
MEHuAgeMSNDsplitRnaseq_07,0.199926008,0.144349944,0.027246944,0.661495093,0.052461172,0.05377094,0.755558285,4.44E-18
MEHuAgeMSNDsplitRnaseq_08,-0.155514449,-0.140097207,-0.01932056,-0.731126155,0.052564351,0.054677793,0.825300389,1.67E-23
MEHuAgeMSNDsplitRnaseq_09,0.355292473,0.129914949,0.108492377,-0.661495093,2.71E-05,0.136110229,0.21384668,4.44E-18
MEHuAgeMSNDsplitRnaseq_10,0.166543347,-0.017642771,0.021302156,-0.243708718,0.055372144,0.840259588,0.807713276,0.004701452
MEHuAgeMSNDsplitRnaseq_11,0.222057796,0.242187127,0.068860459,-0.522232968,0.010202838,0.004975553,0.430944261,1.14E-10
MEHuAgeMSNDsplitRnaseq_12,0.266469355,-0.017642771,-0.104529186,-0.452601905,0.001933099,0.840259588,0.231153182,4.51E-08
MEHuAgeMSNDsplitRnaseq_13,0.02220578,0.001603888,0.069851257,-0.452601905,0.799724631,0.985381696,0.424327252,4.51E-08
MEHuAgeMSNDsplitRnaseq_14,-0.288675135,-0.24058324,0.086694822,-0.14446594,0.000752296,0.053412336,0.321077781,0.053152401
MEHuAgeMSNDsplitRnaseq_15,0.055514449,-0.213317139,-0.223424942,0.522232968,0.525643506,0.013689224,0.009734943,1.14E-10
MEHuAgeMSNDsplitRnaseq_16,-0.155440457,-0.14755772,-0.058952479,-0.452601905,0.074005218,0.090085531,0.500284524,4.51E-08
MEHuAgeMSNDsplitRnaseq_17,0.410806922,0.311154323,0.142179508,0.104446594,9.04E-07,0.000266917,0.102569756,0.231524013
MEHuAgeMSNDsplitRnaseq_18,0.377498253,0.22642771,0.002476995,0.313339781,7.49E-06,0.054025959,0.977425677,0.000240258
MEHuAgeMSNDsplitRnaseq_19,0.055514449,0.299927105,0.104529186,0.104446594,0.525643506,0.000452538,0.231153182,0.231524013
MEHuAgeMSNDsplitRnaseq_20,-0.421909812,0.088213854,0.031210136,0.034815531,4.24E-07,0.312639632,0.721374653,0.69074598
MEHuAgeMSNDsplitRnaseq_21,0.111028898,-0.006415553,0.031210136,0.59186403,0.203266996,0.941575255,0.721374653,6.27E-14
MEHuAgeMSNDsplitRnaseq_22,0.188749126,0.357667082,0.189737811,-0.87038828,0.029569436,2.37E-05,0.028711978,3.90E-42
MEHuAgeMSNDsplitRnaseq_23,-0.01110289,0.113876067,0.009412581,-0.731126155,0.899067027,0.191846474,0.914369402,1.67E-23
MEHuAgeMSNDsplitRnaseq_24,0.321983804,-0.102648849,-0.062915671,-0.382970843,0.000157203,0.23969939,0.471867958,5.37E-06
MEHuAgeMSNDsplitRnaseq_25,0.077720229,-0.011227218,-0.036164126,-0.522232968,0.373896293,0.897942878,0.679413613,1.14E-10
MEHuAgeMSNDsplitRnaseq_26,0.033308669,-0.466731484,-0.098584398,0.243708718,0.703489713,1.49E-08,0.258918357,0.004701452
MEHuAgeMSNDsplitRnaseq_27,-0.410806922,0.173219932,0.063906469,0.243708718,9.04E-07,0.04616163,0.4649038,0.004701452
MEHuAgeMSNDsplitRnaseq_28,-0.077720229,-0.076986637,-0.022292954,-0.522232968,0.373896293,0.378436613,0.798955027,1.14E-10
