"","Gene","modulesA1"
"1","FP236383.3","turquoise"
"2","RPL10P9","yellow"
"3","RNU4-2","skyblue"
"4","PNMA6B","yellow"
"5","FP236383.1","turquoise"
"6","MAPK8IP1P2","green"
"7","F8A3","brown"
"8","MTRNR2L8","green"
"9","RNU4-1","skyblue"
"10","RNY1","turquoise"
"11","RPL13P12","green"
"12","RNU6-2","brown"
"13","MTRNR2L12","brown"
"14","AC073539.7","purple"
"15","HBB","darkgrey"
"16","IGKJ1","red"
"17","AC007922.3","brown"
"18","TRGJP2","purple"
"19","RMRP","turquoise"
"20","TRBJ2-1","magenta"
"21","IGHG1","green"
"22","SLPI","tan"
"23","AC005829.2","green"
"24","IGLC2","green"
"25","AL731566.2","magenta"
"26","RNU6-322P","turquoise"
"27","MIR320D1","tan"
"28","MT-TN","pink"
"29","RNU7-67P","grey60"
"30","S100A8","tan"
"31","HBA2","darkgrey"
"32","MT-TF","tan"
"33","MICF","blue"
"34","TRBJ2-7","blue"
"35","AF228730.4","turquoise"
"36","AL591926.5","greenyellow"
"37","TRBJ2-2P","purple"
"38","HLA-DRB5","red"
"39","FP671120.1","magenta"
"40","IGLC3","green"
"41","SNORD3A","green"
"42","TRBJ2-3","turquoise"
"43","RNA5SP243","tan"
"44","MIR4682","turquoise"
"45","RNF5P1","red"
"46","RNU6ATAC32P","purple"
"47","NPAS4","midnightblue"
"48","FP671120.4","turquoise"
"49","IGKV1-5","green"
"50","RNU7-141P","brown"
"51","AC126544.1","green"
"52","MIR4666A","lightyellow"
"53","RNU6-892P","greenyellow"
"54","AC093909.6","turquoise"
"55","RNU6-722P","turquoise"
"56","MIR3149","turquoise"
"57","DES","darkgrey"
"58","MIR4645","red"
"59","CARTPT","tan"
"60","SFN","midnightblue"
"61","RN7SL3","brown"
"62","CSF3","midnightblue"
"63","TRGJP1","blue"
"64","RNU6-45P","pink"
"65","MT1H","black"
"66","TRBJ2-4","blue"
"67","AC084121.3","pink"
"68","MIR4678","purple"
"69","RNU6-794P","salmon"
"70","MIR4482","midnightblue"
"71","HSPA7","midnightblue"
"72","RNU6-483P","yellow"
"73","CCL2","midnightblue"
"74","AC233266.2","pink"
"75","RNU6-1011P","turquoise"
"76","S100A9","tan"
"77","RNU6-1085P","magenta"
"78","AC008060.4","pink"
"79","RNA5SP18","yellow"
"80","CYP4F29P","darkred"
"81","RNU6-925P","magenta"
"82","AF246928.1","turquoise"
"83","HLA-DQB1","red"
"84","HBA1","darkgrey"
"85","AP001542.1","yellow"
"86","BCRP9","purple"
"87","CHI3L1","turquoise"
"88","RNA5SP508","yellow"
"89","RNU6ATAC","skyblue"
"90","RNU6-703P","lightcyan"
"91","RNU7-160P","blue"
"92","MIR138-2","cyan"
"93","RNU5B-2P","cyan"
"94","RNU6-510P","tan"
"95","AC015726.2","orange"
"96","AL021997.1","yellow"
"97","IGLV3-19","green"
"98","RN7SL471P","brown"
"99","RNU6-325P","yellow"
"100","RNU4-39P","black"
"101","AC097493.4","magenta"
"102","MIR621","grey60"
"103","AC127455.1","blue"
"104","CR392039.2","blue"
"105","AL158151.4","grey60"
"106","AC024257.2","turquoise"
"107","RNA5SP490","pink"
"108","FOS","midnightblue"
"109","CCL19","darkgrey"
"110","MIR548AY","tan"
"111","MTCO1P40","midnightblue"
"112","MIR4521","magenta"
"113","RNVU1-19","brown"
"114","SOCS3","midnightblue"
"115","IGKV4-1","green"
"116","RPL39P38","blue"
"117","TRBJ2-2","blue"
"118","RNY4P37","cyan"
"119","CXCL8","tan"
"120","ISCA1P4","turquoise"
"121","AL355480.1","tan"
"122","IGKV3-11","green"
"123","RPL39P18","grey60"
"124","MIR4502","yellow"
"125","AL023803.1","purple"
"126","VN1R84P","lightcyan"
"127","MIR645","turquoise"
"128","MLLT10P1","pink"
"129","RNU4-65P","purple"
"130","MIR219A1","darkred"
"131","AC011904.1","yellow"
"132","MIR3671","grey60"
"133","RNU6-8","purple"
"134","MIR4787","turquoise"
"135","CXCL1","lightgreen"
"136","TRBJ2-6","pink"
"137","SMIM32","pink"
"138","KRT17","pink"
"139","RPS29P6","salmon"
"140","AC015813.4","pink"
"141","MIR4278","purple"
"142","RNU6-945P","turquoise"
"143","RNU6-1004P","magenta"
"144","RNY3P16","darkred"
"145","MIR4530","green"
"146","RNU6-29P","pink"
"147","RNU6-204P","pink"
"148","TRBD1","green"
"149","AQP1","pink"
"150","GJB2","tan"
"151","HLA-U","grey60"
"152","AL132822.1","yellow"
"153","S100A12","tan"
"154","IGHV4-39","green"
"155","CYP3A52P","purple"
"156","AC112204.1","yellow"
"157","RNU6-967P","tan"
"158","AC139426.1","turquoise"
"159","FOXC2","tan"
"160","MIR1208","greenyellow"
"161","AC092807.2","pink"
"162","DND1P1","green"
"163","AL133373.1","darkorange"
"164","MIR548A3","turquoise"
"165","AL357137.1","yellow"
"166","XIST","darkred"
"167","RNU1-23P","salmon"
"168","MIR4801","black"
"169","MIR3178","tan"
"170","AL627309.7","turquoise"
"171","MTRNR2L1","white"
"172","TAGLN","darkgrey"
"173","AC117490.1","tan"
"174","TRBJ2-5","blue"
"175","IGKV3-20","green"
"176","AL390729.2","magenta"
"177","RNY3P8","pink"
"178","AC100757.2","grey60"
"179","TTR","tan"
"180","RN7SL585P","black"
"181","ADM","tan"
"182","UQCRHP1","purple"
"183","AC109583.2","magenta"
"184","MT1XP1","turquoise"
"185","AL355480.3","purple"
"186","RPS29P5","grey60"
"187","AC233266.1","turquoise"
"188","AL161669.2","darkorange"
"189","MIR1179","turquoise"
"190","IGHV3-7","green"
"191","MIR331","blue"
"192","RNU6-1200P","darkred"
"193","RNU6-1017P","pink"
"194","AC007318.2","yellow"
"195","MFAP4","tan"
"196","VGF","brown"
"197","Z99497.1","purple"
"198","MT1G","black"
"199","CTGF","lightgreen"
"200","AL162574.1","pink"
"201","AL591926.8","yellow"
"202","EGR1","tan"
"203","AL033523.1","magenta"
"204","AC005000.1","pink"
"205","IGHJ5","green"
"206","NPY","cyan"
"207","HLA-DRB1","red"
"208","RNU1-59P","turquoise"
"209","AC092903.1","grey60"
"210","CRH","tan"
"211","RNU6-3P","grey60"
"212","LHB","green"
"213","IGHGP","green"
"214","IGLV3-1","green"
"215","AC009963.2","brown"
"216","AC005363.2","grey60"
"217","RNU6-781P","salmon"
"218","CRABP1","tan"
"219","EIF3FP3","blue"
"220","CXCL2","darkgrey"
"221","MIR3197","midnightblue"
"222","RNU6-1091P","yellow"
"223","AL732292.1","cyan"
"224","MIR892A","tan"
"225","PRSS3P4","blue"
"226","AP006289.1","yellow"
"227","DDX3Y","salmon"
"228","HAMP","red"
"229","EGR4","midnightblue"
"230","AC136628.3","tan"
"231","AL390728.3","greenyellow"
"232","RNU6-415P","magenta"
"233","AC006023.2","turquoise"
"234","SNORD3B-2","purple"
"235","GAPDHP35","royalblue"
"236","AL360181.4","turquoise"
"237","AC112204.3","yellow"
"238","APLNR","black"
"239","MIR4424","darkturquoise"
"240","SST","cyan"
"241","RNU6-158P","purple"
"242","LDHAP4","pink"
"243","HIST2H2AC","tan"
"244","IGLV2-11","green"
"245","RRAD","midnightblue"
"246","H19","tan"
"247","HIST2H2AA4","magenta"
"248","PTGES3P1","darkorange"
"249","MIR5695","green"
"250","MTCYBP2","salmon"
"251","RNU6-9","greenyellow"
"252","RPL7AP28","lightcyan"
"253","MIR3680-2","magenta"
"254","AC015722.2","yellow"
"255","WDR86-AS1","tan"
"256","CCL4","magenta"
"257","AP001059.3","turquoise"
"258","LSP1P2","turquoise"
"259","LINC02470","yellow"
"260","RNU7-113P","salmon"
"261","AC004947.2","darkturquoise"
"262","AF228730.6","greenyellow"
"263","RNVU1-6","blue"
"264","AL136380.1","darkorange"
"265","AP000350.6","turquoise"
"266","SERPINE1","darkgrey"
"267","AC139453.1","greenyellow"
"268","TMEM191B","pink"
"269","NAMPTP1","red"
"270","RNA5SP515","yellow"
"271","HNRNPKP5","midnightblue"
"272","RNASE2","red"
"273","AC022432.1","purple"
"274","RPL39P40","pink"
"275","AC135048.3","brown"
"276","AC067747.1","turquoise"
"277","IGHV3-23","green"
"278","ZNF603P","pink"
"279","RNU6-293P","pink"
"280","AC008759.3","red"
"281","AC103564.3","yellow"
"282","AC099513.1","turquoise"
"283","IGHG3","green"
"284","MIR892B","blue"
"285","AL353807.4","grey60"
"286","DYNLL1P4","cyan"
"287","DDX11L2","red"
"288","AC027020.2","turquoise"
"289","MIR138-1","turquoise"
"290","ZFP36","darkgrey"
"291","RNVU1-7","turquoise"
"292","KLF4","tan"
"293","RNU6-1148P","blue"
"294","RNU6-1086P","salmon"
"295","PSPHP1","yellow"
"296","RN7SL262P","pink"
"297","AC093424.1","orange"
"298","MIR4737","greenyellow"
"299","SIX3-AS1","yellow"
"300","GPR6","yellow"
"301","GAS1","tan"
"302","RNU6-242P","turquoise"
"303","Z99497.2","pink"
"304","IGKV1-9","green"
"305","AL512329.2","black"
"306","RF00086","orange"
"307","AC009220.1","blue"
"308","AC134684.3","lightcyan"
"309","RNU6-758P","turquoise"
"310","AC092013.1","pink"
"311","GJB6","black"
"312","AC012486.1","brown"
"313","KLF2","tan"
"314","HLA-Z","turquoise"
"315","HSPA1A","midnightblue"
"316","RPL31P12","yellow"
"317","AC024941.1","pink"
"318","AL450063.1","cyan"
"319","AC004890.1","greenyellow"
"320","AC141002.1","magenta"
"321","RNU6-1176P","lightcyan"
"322","ARC","midnightblue"
"323","AL592183.1","red"
"324","PTGS2","darkgrey"
"325","AC093899.1","salmon"
"326","AC061999.1","blue"
"327","PPIAP39","yellow"
"328","ADAMTS1","darkgrey"
"329","HSPA1B","midnightblue"
"330","PCK1","tan"
"331","RNU5D-1","yellow"
"332","AC009779.1","salmon"
"333","RNU5E-1","magenta"
"334","AC087741.2","greenyellow"
"335","AC073648.6","turquoise"
