"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues","StudyGSE53697","StudyGSE64810","StudyGSE68719","StudyGSE67333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissueprefrontal_cortex","p.value.StudyGSE53697","p.value.StudyGSE64810","p.value.StudyGSE68719","p.value.StudyGSE67333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissueprefrontal_cortex"
"35","lightgreen","endoBYoFC5__","User",8.24321226102787e-85,8.23993651088983e-17,3.68195057776077e-16,-2.2291196666302e-16,-2.82705716475595e-16,4.17634676841416e-16,-0.016697626960584,0.369780043304245,-0.029228408640824,0.0167534319006533,-0.28805879726448,-2.47414935761192e-16,2.90674602443364e-16,0.999999999999999,0.999999999999997,0.999999999999998,0.999999999999997,0.999999999999996,0.848712050766047,1.18377129021557e-05,0.73840369949442,0.848212496944943,0.000773075942301568,0.999999999999998,0.999999999999997
"36","lightgreen","MicroByMacro_Zhang_Cuffdiff2FCover20__","User",1.93183595757171e-07,8.23993651088983e-17,3.68195057776077e-16,-2.2291196666302e-16,-2.82705716475595e-16,4.17634676841416e-16,-0.016697626960584,0.369780043304245,-0.029228408640824,0.0167534319006533,-0.28805879726448,-2.47414935761192e-16,2.90674602443364e-16,0.999999999999999,0.999999999999997,0.999999999999998,0.999999999999997,0.999999999999996,0.848712050766047,1.18377129021557e-05,0.73840369949442,0.848212496944943,0.000773075942301568,0.999999999999998,0.999999999999997
"37","lightgreen","QNSCbyPNSC_Ben_FC5___","User",0.00160768450742694,8.23993651088983e-17,3.68195057776077e-16,-2.2291196666302e-16,-2.82705716475595e-16,4.17634676841416e-16,-0.016697626960584,0.369780043304245,-0.029228408640824,0.0167534319006533,-0.28805879726448,-2.47414935761192e-16,2.90674602443364e-16,0.999999999999999,0.999999999999997,0.999999999999998,0.999999999999997,0.999999999999996,0.848712050766047,1.18377129021557e-05,0.73840369949442,0.848212496944943,0.000773075942301568,0.999999999999998,0.999999999999997
"38","lightgreen","nscBYnpc_Walker_FC5___","User",0.00695639014136622,8.23993651088983e-17,3.68195057776077e-16,-2.2291196666302e-16,-2.82705716475595e-16,4.17634676841416e-16,-0.016697626960584,0.369780043304245,-0.029228408640824,0.0167534319006533,-0.28805879726448,-2.47414935761192e-16,2.90674602443364e-16,0.999999999999999,0.999999999999997,0.999999999999998,0.999999999999997,0.999999999999996,0.848712050766047,1.18377129021557e-05,0.73840369949442,0.848212496944943,0.000773075942301568,0.999999999999998,0.999999999999997
"39","lightgreen","EndotheByothers_Zhang_Cuffdiff2FCover20__","User",3.79059978174445e-80,8.23993651088983e-17,3.68195057776077e-16,-2.2291196666302e-16,-2.82705716475595e-16,4.17634676841416e-16,-0.016697626960584,0.369780043304245,-0.029228408640824,0.0167534319006533,-0.28805879726448,-2.47414935761192e-16,2.90674602443364e-16,0.999999999999999,0.999999999999997,0.999999999999998,0.999999999999997,0.999999999999996,0.848712050766047,1.18377129021557e-05,0.73840369949442,0.848212496944943,0.000773075942301568,0.999999999999998,0.999999999999997
"40","midnightblue","PSVZbyQSVZ_Morizur_FC5___","User",1.34230570067995e-07,1.44415729375069e-16,-9.84455572616838e-17,0,1.00342911063533e-16,-3.89445420356793e-16,-0.0409120476196137,0.0151631902456763,-0.139626344943903,-0.026671763171435,0.546148437194044,6.01949046163952e-16,-1.1817803680092e-17,0.999999999999999,0.999999999999999,1,0.999999999999999,0.999999999999996,0.64009720478555,0.862470859850944,0.108954083378277,0.76056074957753,1.05099394731378e-11,0.999999999999994,1
"41","pink","npcBYnsc_Walker_FC5___","User",3.04176347039552e-09,-1.73472347597681e-17,1.94289029309402e-16,-2.1987620058006e-16,1.08853898117545e-16,4.0766001685455e-16,0.0372256076270575,0.0875425068845351,0.0174610801481254,0.00830000959391301,-0.612314912575265,-2.60208521396521e-16,3.05745012640912e-17,1,0.999999999999998,0.999999999999998,0.999999999999999,0.999999999999996,0.670543822404413,0.316350964760349,0.841883074527562,0.924459018560598,4.8257241483518e-15,0.999999999999998,1
"42","pink","newoligoBYoFC5__","User",9.38772484041746e-08,-1.73472347597681e-17,1.94289029309402e-16,-2.1987620058006e-16,1.08853898117545e-16,4.0766001685455e-16,0.0372256076270575,0.0875425068845351,0.0174610801481254,0.00830000959391301,-0.612314912575265,-2.60208521396521e-16,3.05745012640912e-17,1,0.999999999999998,0.999999999999998,0.999999999999999,0.999999999999996,0.670543822404413,0.316350964760349,0.841883074527562,0.924459018560598,4.8257241483518e-15,0.999999999999998,1
"43","pink","QSVZbyPSVZ_Morizur_FC5___","User",0.00653881182622176,-1.73472347597681e-17,1.94289029309402e-16,-2.1987620058006e-16,1.08853898117545e-16,4.0766001685455e-16,0.0372256076270575,0.0875425068845351,0.0174610801481254,0.00830000959391301,-0.612314912575265,-2.60208521396521e-16,3.05745012640912e-17,1,0.999999999999998,0.999999999999998,0.999999999999999,0.999999999999996,0.670543822404413,0.316350964760349,0.841883074527562,0.924459018560598,4.8257241483518e-15,0.999999999999998,1
"44","pink","myeoligoBYoFC5__","User",1.8558970597629e-26,-1.73472347597681e-17,1.94289029309402e-16,-2.1987620058006e-16,1.08853898117545e-16,4.0766001685455e-16,0.0372256076270575,0.0875425068845351,0.0174610801481254,0.00830000959391301,-0.612314912575265,-2.60208521396521e-16,3.05745012640912e-17,1,0.999999999999998,0.999999999999998,0.999999999999999,0.999999999999996,0.670543822404413,0.316350964760349,0.841883074527562,0.924459018560598,4.8257241483518e-15,0.999999999999998,1
"45","pink","MyeOligoByothers_Zhang_Cuffdiff2FCover20__","User",7.13084436829245e-06,-1.73472347597681e-17,1.94289029309402e-16,-2.1987620058006e-16,1.08853898117545e-16,4.0766001685455e-16,0.0372256076270575,0.0875425068845351,0.0174610801481254,0.00830000959391301,-0.612314912575265,-2.60208521396521e-16,3.05745012640912e-17,1,0.999999999999998,0.999999999999998,0.999999999999999,0.999999999999996,0.670543822404413,0.316350964760349,0.841883074527562,0.924459018560598,4.8257241483518e-15,0.999999999999998,1
